	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713978.2	XM_713978.2	7	761	50.0	22.0
1	rna-XM_713978.2	XM_713978.2	8	760	54.0	22.0
2	rna-XM_713978.2	XM_713978.2	9	759	277.0	22.0
3	rna-XM_713978.2	XM_713978.2	14	754	30.0	22.0
4	rna-XM_713978.2	XM_713978.2	17	751	69.0	22.0
5	rna-XM_713978.2	XM_713978.2	250	518	29.0	22.0
6	rna-XM_713978.2	XM_713978.2	251	517	128.0	22.0
7	rna-XM_713978.2	XM_713978.2	252	516	23.0	22.0
8	rna-XM_713978.2	XM_713978.2	253	515	32.0	22.0
9	rna-XM_713978.2	XM_713978.2	255	513	28.0	22.0
10	rna-XM_713978.2	XM_713978.2	257	511	33.0	22.0
11	rna-XM_713978.2	XM_713978.2	262	506	31.0	22.0
12	rna-XM_713978.2	XM_713978.2	263	505	48.0	22.0
13	rna-XM_713978.2	XM_713978.2	266	502	27.0	22.0
14	rna-XM_713978.2	XM_713978.2	348	420	23.0	22.0
15	rna-XM_713975.2	XM_713975.2	73	1466	37.0	22.0
16	rna-XM_713957.1	XM_713957.1	0	1203	132.0	22.0
17	rna-XM_713957.1	XM_713957.1	1	1202	38.0	22.0
18	rna-XM_713957.1	XM_713957.1	19	1184	30.0	22.0
19	rna-XM_713957.1	XM_713957.1	20	1183	32.0	22.0
20	rna-XM_713957.1	XM_713957.1	28	1175	35.0	22.0
21	rna-XM_713957.1	XM_713957.1	40	1163	44.0	22.0
22	rna-XM_713957.1	XM_713957.1	43	1160	45.0	22.0
23	rna-XM_713957.1	XM_713957.1	44	1159	34.0	22.0
24	rna-XM_713957.1	XM_713957.1	46	1157	30.0	22.0
25	rna-XM_713957.1	XM_713957.1	47	1156	58.0	22.0
26	rna-XM_713957.1	XM_713957.1	48	1155	44.0	22.0
27	rna-XM_713957.1	XM_713957.1	49	1154	29.0	22.0
28	rna-XM_713957.1	XM_713957.1	50	1153	46.0	22.0
29	rna-XM_713957.1	XM_713957.1	52	1151	24.0	22.0
30	rna-XM_713957.1	XM_713957.1	54	1149	25.0	22.0
31	rna-XM_713957.1	XM_713957.1	55	1148	60.0	22.0
32	rna-XM_713957.1	XM_713957.1	71	1132	29.0	22.0
33	rna-XM_713957.1	XM_713957.1	74	1129	23.0	22.0
34	rna-XM_713957.1	XM_713957.1	84	1119	23.0	22.0
35	rna-XM_713957.1	XM_713957.1	89	1114	37.0	22.0
36	rna-XM_713957.1	XM_713957.1	90	1113	27.0	22.0
37	rna-XM_713957.1	XM_713957.1	92	1111	29.0	22.0
38	rna-XM_713957.1	XM_713957.1	94	1109	41.0	22.0
39	rna-XM_713957.1	XM_713957.1	95	1108	31.0	22.0
40	rna-XM_713957.1	XM_713957.1	96	1107	35.0	22.0
41	rna-XM_713957.1	XM_713957.1	97	1106	28.0	22.0
42	rna-XM_713957.1	XM_713957.1	100	1103	33.0	22.0
43	rna-XM_713957.1	XM_713957.1	102	1101	29.0	22.0
44	rna-XM_713957.1	XM_713957.1	114	1089	24.0	22.0
45	rna-XM_713957.1	XM_713957.1	122	1081	25.0	22.0
46	rna-XM_713957.1	XM_713957.1	203	1000	34.0	22.0
47	rna-XM_713957.1	XM_713957.1	254	949	31.0	22.0
48	rna-XM_713957.1	XM_713957.1	298	905	53.0	22.0
49	rna-XM_713957.1	XM_713957.1	703	500	23.0	22.0
50	rna-XM_713954.1	XM_713954.1	91	512	658.0	22.0
51	rna-XM_713954.1	XM_713954.1	92	511	23.0	22.0
52	rna-XM_713954.1	XM_713954.1	101	502	34.0	22.0
53	rna-XM_713954.1	XM_713954.1	127	476	98.0	22.0
54	rna-XM_713954.1	XM_713954.1	205	398	26.0	22.0
55	rna-XM_713954.1	XM_713954.1	349	254	33.0	22.0
56	rna-XM_713954.1	XM_713954.1	369	234	66.0	22.0
57	rna-XM_713948.2	XM_713948.2	23	877	28.0	22.0
58	rna-XM_713943.1	XM_713943.1	486	261	29.0	22.0
59	rna-XM_713942.1	XM_713942.1	16	860	24.0	22.0
60	rna-XM_713937.1	XM_713937.1	385	764	27.0	22.0
61	rna-XM_019475056.1	XM_019475056.1	886	551	23.0	22.0
62	rna-XM_713929.2	XM_713929.2	55	2201	26.0	22.0
63	rna-XM_713929.2	XM_713929.2	248	2008	24.0	22.0
64	rna-XM_713910.2	XM_713910.2	1274	2629	25.0	22.0
65	rna-XM_713909.1	XM_713909.1	455	226	28.0	22.0
66	rna-XM_713904.1	XM_713904.1	102	264	27.0	22.0
67	rna-XM_713900.2	XM_713900.2	1134	1392	33.0	22.0
68	rna-XM_019475060.1	XM_019475060.1	1637	2599	68.0	22.0
69	rna-XM_019475060.1	XM_019475060.1	2611	1625	75.0	22.0
70	rna-XM_713878.1	XM_713878.1	1350	1773	27.0	22.0
71	rna-XM_713024.2	XM_713024.2	4	452	30.0	22.0
72	rna-XM_713028.2	XM_713028.2	6113	652	31.0	22.0
73	rna-XM_713051.1	XM_713051.1	903	624	34.0	22.0
74	rna-XM_019475064.1	XM_019475064.1	14	250	23.0	22.0
75	rna-XM_019475064.1	XM_019475064.1	64	200	44.0	22.0
76	rna-XM_019475064.1	XM_019475064.1	101	163	28.0	22.0
77	rna-XM_019475064.1	XM_019475064.1	166	98	26.0	22.0
78	rna-XM_019475064.1	XM_019475064.1	206	58	56.0	22.0
79	rna-XM_019475064.1	XM_019475064.1	207	57	24.0	22.0
80	rna-XM_713063.2	XM_713063.2	1041	255	24.0	22.0
81	rna-XM_713064.2	XM_713064.2	4	746	33.0	22.0
82	rna-XM_713064.2	XM_713064.2	28	722	23.0	22.0
83	rna-XM_713064.2	XM_713064.2	43	707	41.0	22.0
84	rna-XM_713064.2	XM_713064.2	45	705	35.0	22.0
85	rna-XM_713064.2	XM_713064.2	46	704	34.0	22.0
86	rna-XM_713064.2	XM_713064.2	258	492	23.0	22.0
87	rna-XM_713064.2	XM_713064.2	280	470	24.0	22.0
88	rna-XM_713065.1	XM_713065.1	4	599	28.0	22.0
89	rna-XM_713065.1	XM_713065.1	587	16	60.0	22.0
90	rna-XM_713079.2	XM_713079.2	3664	41	30.0	22.0
91	rna-XM_019475067.1	XM_019475067.1	339	450	59.0	22.0
92	rna-XM_019475067.1	XM_019475067.1	353	436	28.0	22.0
93	rna-XM_019475067.1	XM_019475067.1	364	425	100.0	22.0
94	rna-XM_019475067.1	XM_019475067.1	365	424	41.0	22.0
95	rna-XM_019475067.1	XM_019475067.1	367	422	33.0	22.0
96	rna-XM_019475067.1	XM_019475067.1	405	384	25.0	22.0
97	rna-XM_019475067.1	XM_019475067.1	412	377	28.0	22.0
98	rna-XM_019475067.1	XM_019475067.1	757	32	44.0	22.0
99	rna-XM_019475068.1	XM_019475068.1	1861	1199	34.0	22.0
100	rna-XM_019475068.1	XM_019475068.1	2762	298	24.0	22.0
101	rna-XM_707876.1	XM_707876.1	302	418	23.0	22.0
102	rna-XM_707876.1	XM_707876.1	578	142	31.0	22.0
103	rna-XM_707863.2	XM_707863.2	308	3517	153.0	22.0
104	rna-XM_708679.2	XM_708679.2	1070	643	53.0	22.0
105	rna-XM_019475073.1	XM_019475073.1	134	250	27.0	22.0
106	rna-XM_019475073.1	XM_019475073.1	311	73	23.0	22.0
107	rna-XM_019475073.1	XM_019475073.1	366	18	41.0	22.0
108	rna-XM_716340.2	XM_716340.2	86	445	31.0	22.0
109	rna-XM_716340.2	XM_716340.2	241	290	27.0	22.0
110	rna-XM_716341.2	XM_716341.2	36	627	95.0	22.0
111	rna-XM_716341.2	XM_716341.2	48	615	34.0	22.0
112	rna-XM_716341.2	XM_716341.2	49	614	26.0	22.0
113	rna-XM_716341.2	XM_716341.2	63	600	52.0	22.0
114	rna-XM_716341.2	XM_716341.2	72	591	23.0	22.0
115	rna-XM_716341.2	XM_716341.2	75	588	23.0	22.0
116	rna-XM_716341.2	XM_716341.2	95	568	34.0	22.0
117	rna-XM_716341.2	XM_716341.2	107	556	34.0	22.0
118	rna-XM_716341.2	XM_716341.2	144	519	32.0	22.0
119	rna-XM_716341.2	XM_716341.2	147	516	349.0	22.0
120	rna-XM_716341.2	XM_716341.2	184	479	25.0	22.0
121	rna-XM_716341.2	XM_716341.2	221	442	26.0	22.0
122	rna-XM_716341.2	XM_716341.2	296	367	25.0	22.0
123	rna-XM_716341.2	XM_716341.2	307	356	86.0	22.0
124	rna-XM_716341.2	XM_716341.2	346	317	47.0	22.0
125	rna-XM_716341.2	XM_716341.2	393	270	29.0	22.0
126	rna-XM_716341.2	XM_716341.2	440	223	37.0	22.0
127	rna-XM_716341.2	XM_716341.2	559	104	28.0	22.0
128	rna-XM_716371.1	XM_716371.1	216	837	108.0	22.0
129	rna-XM_716388.2	XM_716388.2	80	1033	63.0	22.0
130	rna-XM_716397.1	XM_716397.1	141	180	129.0	22.0
131	rna-XM_716397.1	XM_716397.1	163	158	36.0	22.0
132	rna-XM_716399.1	XM_716399.1	353	256	67.0	22.0
133	rna-XM_716399.1	XM_716399.1	361	248	32.0	22.0
134	rna-XM_716399.1	XM_716399.1	428	181	241.0	22.0
135	rna-XM_716399.1	XM_716399.1	475	134	77.0	22.0
136	rna-XM_716399.1	XM_716399.1	517	92	99.0	22.0
137	rna-XM_716399.1	XM_716399.1	522	87	254.0	22.0
138	rna-XM_716399.1	XM_716399.1	538	71	40.0	22.0
139	rna-XM_716399.1	XM_716399.1	539	70	38.0	22.0
140	rna-XM_716399.1	XM_716399.1	545	64	34.0	22.0
141	rna-XM_019475076.1	XM_019475076.1	370	59	37.0	22.0
142	rna-XM_716403.1	XM_716403.1	532	98	64.0	22.0
143	rna-XM_716405.2	XM_716405.2	464	1954	42.0	22.0
144	rna-XM_716407.2	XM_716407.2	552	219	31.0	22.0
145	rna-XM_716407.2	XM_716407.2	655	116	26.0	22.0
146	rna-XM_716407.2	XM_716407.2	668	103	66.0	22.0
147	rna-XM_716407.2	XM_716407.2	676	95	32.0	22.0
148	rna-XM_019475079.1	XM_019475079.1	425	106	26.0	22.0
149	rna-XM_019475081.1	XM_019475081.1	533	739	62.0	22.0
150	rna-XM_019475081.1	XM_019475081.1	1027	245	36.0	22.0
151	rna-XM_019475082.1	XM_019475082.1	475	719	46.0	22.0
152	rna-XM_716439.1	XM_716439.1	545	1324	32.0	22.0
153	rna-XM_716442.2	XM_716442.2	524	1366	30.0	22.0
154	rna-XM_716442.2	XM_716442.2	529	1361	67.0	22.0
155	rna-XM_716442.2	XM_716442.2	537	1353	27.0	22.0
156	rna-XM_716442.2	XM_716442.2	539	1351	27.0	22.0
157	rna-XM_716442.2	XM_716442.2	540	1350	25.0	22.0
158	rna-XM_716442.2	XM_716442.2	556	1334	23.0	22.0
159	rna-XM_716442.2	XM_716442.2	558	1332	23.0	22.0
160	rna-XM_716442.2	XM_716442.2	559	1331	24.0	22.0
161	rna-XM_716442.2	XM_716442.2	562	1328	23.0	22.0
162	rna-XM_716442.2	XM_716442.2	563	1327	58.0	22.0
163	rna-XM_716442.2	XM_716442.2	564	1326	24.0	22.0
164	rna-XM_716442.2	XM_716442.2	565	1325	39.0	22.0
165	rna-XM_716442.2	XM_716442.2	567	1323	24.0	22.0
166	rna-XM_716442.2	XM_716442.2	571	1319	35.0	22.0
167	rna-XM_716442.2	XM_716442.2	572	1318	24.0	22.0
168	rna-XM_716442.2	XM_716442.2	577	1313	23.0	22.0
169	rna-XM_716442.2	XM_716442.2	581	1309	24.0	22.0
170	rna-XM_716442.2	XM_716442.2	582	1308	94.0	22.0
171	rna-XM_716442.2	XM_716442.2	583	1307	44.0	22.0
172	rna-XM_716442.2	XM_716442.2	591	1299	24.0	22.0
173	rna-XM_716442.2	XM_716442.2	592	1298	29.0	22.0
174	rna-XM_716442.2	XM_716442.2	593	1297	31.0	22.0
175	rna-XM_716442.2	XM_716442.2	594	1296	24.0	22.0
176	rna-XM_716442.2	XM_716442.2	595	1295	34.0	22.0
177	rna-XM_716442.2	XM_716442.2	598	1292	26.0	22.0
178	rna-XM_716442.2	XM_716442.2	601	1289	23.0	22.0
179	rna-XM_716442.2	XM_716442.2	604	1286	23.0	22.0
180	rna-XM_716442.2	XM_716442.2	605	1285	28.0	22.0
181	rna-XM_716442.2	XM_716442.2	606	1284	23.0	22.0
182	rna-XM_716442.2	XM_716442.2	609	1281	26.0	22.0
183	rna-XM_716442.2	XM_716442.2	610	1280	34.0	22.0
184	rna-XM_716442.2	XM_716442.2	612	1278	25.0	22.0
185	rna-XM_716442.2	XM_716442.2	613	1277	23.0	22.0
186	rna-XM_716442.2	XM_716442.2	614	1276	23.0	22.0
187	rna-XM_716442.2	XM_716442.2	615	1275	30.0	22.0
188	rna-XM_716442.2	XM_716442.2	616	1274	56.0	22.0
189	rna-XM_716442.2	XM_716442.2	617	1273	26.0	22.0
190	rna-XM_716442.2	XM_716442.2	626	1264	172.0	22.0
191	rna-XM_716442.2	XM_716442.2	627	1263	25.0	22.0
192	rna-XM_716442.2	XM_716442.2	628	1262	26.0	22.0
193	rna-XM_716442.2	XM_716442.2	631	1259	24.0	22.0
194	rna-XM_716442.2	XM_716442.2	659	1231	28.0	22.0
195	rna-XM_716442.2	XM_716442.2	671	1219	23.0	22.0
196	rna-XM_716442.2	XM_716442.2	677	1213	34.0	22.0
197	rna-XM_716442.2	XM_716442.2	680	1210	26.0	22.0
198	rna-XM_716442.2	XM_716442.2	1520	370	32.0	22.0
199	rna-XM_716442.2	XM_716442.2	1583	307	23.0	22.0
200	rna-XM_716442.2	XM_716442.2	1615	275	35.0	22.0
201	rna-XM_716442.2	XM_716442.2	1663	227	23.0	22.0
202	rna-XM_716442.2	XM_716442.2	1833	57	79.0	22.0
203	rna-XM_716447.2	XM_716447.2	552	273	24.0	22.0
204	rna-XM_019475086.1	XM_019475086.1	116	277	46.0	22.0
205	rna-XM_716469.1	XM_716469.1	109	398	57.0	22.0
206	rna-XM_708542.1	XM_708542.1	0	1281	26.0	22.0
207	rna-XM_708542.1	XM_708542.1	74	1207	33.0	22.0
208	rna-XM_708542.1	XM_708542.1	94	1187	26.0	22.0
209	rna-XM_708542.1	XM_708542.1	122	1159	36.0	22.0
210	rna-XM_708542.1	XM_708542.1	134	1147	118.0	22.0
211	rna-XM_708542.1	XM_708542.1	168	1113	38.0	22.0
212	rna-XM_708542.1	XM_708542.1	170	1111	30.0	22.0
213	rna-XM_708542.1	XM_708542.1	178	1103	1434.0	22.0
214	rna-XM_708542.1	XM_708542.1	179	1102	53.0	22.0
215	rna-XM_708542.1	XM_708542.1	194	1087	54.0	22.0
216	rna-XM_708542.1	XM_708542.1	196	1085	54.0	22.0
217	rna-XM_708542.1	XM_708542.1	197	1084	23.0	22.0
218	rna-XM_708542.1	XM_708542.1	230	1051	55.0	22.0
219	rna-XM_708542.1	XM_708542.1	233	1048	26.0	22.0
220	rna-XM_708542.1	XM_708542.1	239	1042	23.0	22.0
221	rna-XM_708542.1	XM_708542.1	242	1039	33.0	22.0
222	rna-XM_708542.1	XM_708542.1	245	1036	113.0	22.0
223	rna-XM_708542.1	XM_708542.1	246	1035	32.0	22.0
224	rna-XM_708542.1	XM_708542.1	250	1031	23.0	22.0
225	rna-XM_708542.1	XM_708542.1	253	1028	23.0	22.0
226	rna-XM_708542.1	XM_708542.1	257	1024	24.0	22.0
227	rna-XM_708542.1	XM_708542.1	260	1021	66.0	22.0
228	rna-XM_708542.1	XM_708542.1	263	1018	63.0	22.0
229	rna-XM_708542.1	XM_708542.1	266	1015	30.0	22.0
230	rna-XM_708542.1	XM_708542.1	269	1012	27.0	22.0
231	rna-XM_708542.1	XM_708542.1	271	1010	71.0	22.0
232	rna-XM_708542.1	XM_708542.1	272	1009	31.0	22.0
233	rna-XM_708542.1	XM_708542.1	281	1000	88.0	22.0
234	rna-XM_708542.1	XM_708542.1	284	997	47.0	22.0
235	rna-XM_708542.1	XM_708542.1	287	994	36.0	22.0
236	rna-XM_708542.1	XM_708542.1	288	993	36.0	22.0
237	rna-XM_708542.1	XM_708542.1	289	992	42.0	22.0
238	rna-XM_708542.1	XM_708542.1	291	990	24.0	22.0
239	rna-XM_708542.1	XM_708542.1	295	986	27.0	22.0
240	rna-XM_708542.1	XM_708542.1	296	985	23.0	22.0
241	rna-XM_708542.1	XM_708542.1	298	983	28.0	22.0
242	rna-XM_708542.1	XM_708542.1	304	977	28.0	22.0
243	rna-XM_708542.1	XM_708542.1	306	975	29.0	22.0
244	rna-XM_708542.1	XM_708542.1	307	974	77.0	22.0
245	rna-XM_708542.1	XM_708542.1	308	973	29.0	22.0
246	rna-XM_708542.1	XM_708542.1	310	971	25.0	22.0
247	rna-XM_708542.1	XM_708542.1	313	968	30.0	22.0
248	rna-XM_708542.1	XM_708542.1	314	967	24.0	22.0
249	rna-XM_708542.1	XM_708542.1	340	941	24.0	22.0
250	rna-XM_708542.1	XM_708542.1	341	940	30.0	22.0
251	rna-XM_708542.1	XM_708542.1	342	939	26.0	22.0
252	rna-XM_708542.1	XM_708542.1	343	938	29.0	22.0
253	rna-XM_708542.1	XM_708542.1	344	937	30.0	22.0
254	rna-XM_708542.1	XM_708542.1	345	936	35.0	22.0
255	rna-XM_708542.1	XM_708542.1	346	935	39.0	22.0
256	rna-XM_708542.1	XM_708542.1	347	934	68.0	22.0
257	rna-XM_708542.1	XM_708542.1	348	933	44.0	22.0
258	rna-XM_708542.1	XM_708542.1	349	932	52.0	22.0
259	rna-XM_708542.1	XM_708542.1	350	931	75.0	22.0
260	rna-XM_708542.1	XM_708542.1	351	930	48.0	22.0
261	rna-XM_708542.1	XM_708542.1	352	929	31.0	22.0
262	rna-XM_708542.1	XM_708542.1	353	928	36.0	22.0
263	rna-XM_708542.1	XM_708542.1	354	927	27.0	22.0
264	rna-XM_708542.1	XM_708542.1	355	926	31.0	22.0
265	rna-XM_708542.1	XM_708542.1	356	925	54.0	22.0
266	rna-XM_708542.1	XM_708542.1	357	924	44.0	22.0
267	rna-XM_708542.1	XM_708542.1	358	923	33.0	22.0
268	rna-XM_708542.1	XM_708542.1	359	922	43.0	22.0
269	rna-XM_708542.1	XM_708542.1	360	921	30.0	22.0
270	rna-XM_708542.1	XM_708542.1	361	920	25.0	22.0
271	rna-XM_708542.1	XM_708542.1	362	919	61.0	22.0
272	rna-XM_708542.1	XM_708542.1	363	918	32.0	22.0
273	rna-XM_708542.1	XM_708542.1	364	917	42.0	22.0
274	rna-XM_708542.1	XM_708542.1	365	916	32.0	22.0
275	rna-XM_708542.1	XM_708542.1	366	915	39.0	22.0
276	rna-XM_708542.1	XM_708542.1	367	914	43.0	22.0
277	rna-XM_708542.1	XM_708542.1	368	913	78.0	22.0
278	rna-XM_708542.1	XM_708542.1	369	912	30.0	22.0
279	rna-XM_708542.1	XM_708542.1	370	911	42.0	22.0
280	rna-XM_708542.1	XM_708542.1	371	910	39.0	22.0
281	rna-XM_708542.1	XM_708542.1	372	909	39.0	22.0
282	rna-XM_708542.1	XM_708542.1	373	908	39.0	22.0
283	rna-XM_708542.1	XM_708542.1	374	907	117.0	22.0
284	rna-XM_708542.1	XM_708542.1	375	906	35.0	22.0
285	rna-XM_708542.1	XM_708542.1	376	905	39.0	22.0
286	rna-XM_708542.1	XM_708542.1	377	904	24.0	22.0
287	rna-XM_708542.1	XM_708542.1	378	903	27.0	22.0
288	rna-XM_708542.1	XM_708542.1	379	902	34.0	22.0
289	rna-XM_708542.1	XM_708542.1	380	901	55.0	22.0
290	rna-XM_708542.1	XM_708542.1	381	900	30.0	22.0
291	rna-XM_708542.1	XM_708542.1	382	899	35.0	22.0
292	rna-XM_708542.1	XM_708542.1	383	898	23.0	22.0
293	rna-XM_708542.1	XM_708542.1	385	896	36.0	22.0
294	rna-XM_708542.1	XM_708542.1	386	895	54.0	22.0
295	rna-XM_708542.1	XM_708542.1	387	894	29.0	22.0
296	rna-XM_708542.1	XM_708542.1	390	891	27.0	22.0
297	rna-XM_708542.1	XM_708542.1	391	890	30.0	22.0
298	rna-XM_708542.1	XM_708542.1	392	889	23.0	22.0
299	rna-XM_708542.1	XM_708542.1	393	888	38.0	22.0
300	rna-XM_708542.1	XM_708542.1	395	886	23.0	22.0
301	rna-XM_708542.1	XM_708542.1	396	885	26.0	22.0
302	rna-XM_708542.1	XM_708542.1	397	884	31.0	22.0
303	rna-XM_708542.1	XM_708542.1	398	883	24.0	22.0
304	rna-XM_708542.1	XM_708542.1	399	882	23.0	22.0
305	rna-XM_708542.1	XM_708542.1	400	881	28.0	22.0
306	rna-XM_708542.1	XM_708542.1	408	873	30.0	22.0
307	rna-XM_708542.1	XM_708542.1	414	867	25.0	22.0
308	rna-XM_708542.1	XM_708542.1	416	865	23.0	22.0
309	rna-XM_708542.1	XM_708542.1	417	864	35.0	22.0
310	rna-XM_708542.1	XM_708542.1	419	862	34.0	22.0
311	rna-XM_708542.1	XM_708542.1	420	861	33.0	22.0
312	rna-XM_708542.1	XM_708542.1	421	860	33.0	22.0
313	rna-XM_708542.1	XM_708542.1	422	859	27.0	22.0
314	rna-XM_708542.1	XM_708542.1	423	858	28.0	22.0
315	rna-XM_708542.1	XM_708542.1	424	857	47.0	22.0
316	rna-XM_708542.1	XM_708542.1	425	856	23.0	22.0
317	rna-XM_708542.1	XM_708542.1	426	855	32.0	22.0
318	rna-XM_708542.1	XM_708542.1	427	854	29.0	22.0
319	rna-XM_708542.1	XM_708542.1	428	853	36.0	22.0
320	rna-XM_708542.1	XM_708542.1	429	852	36.0	22.0
321	rna-XM_708542.1	XM_708542.1	430	851	37.0	22.0
322	rna-XM_708542.1	XM_708542.1	431	850	36.0	22.0
323	rna-XM_708542.1	XM_708542.1	432	849	45.0	22.0
324	rna-XM_708542.1	XM_708542.1	433	848	38.0	22.0
325	rna-XM_708542.1	XM_708542.1	434	847	44.0	22.0
326	rna-XM_708542.1	XM_708542.1	435	846	44.0	22.0
327	rna-XM_708542.1	XM_708542.1	436	845	80.0	22.0
328	rna-XM_708542.1	XM_708542.1	437	844	47.0	22.0
329	rna-XM_708542.1	XM_708542.1	438	843	68.0	22.0
330	rna-XM_708542.1	XM_708542.1	439	842	72.0	22.0
331	rna-XM_708542.1	XM_708542.1	440	841	73.0	22.0
332	rna-XM_708542.1	XM_708542.1	441	840	62.0	22.0
333	rna-XM_708542.1	XM_708542.1	442	839	38.0	22.0
334	rna-XM_708542.1	XM_708542.1	443	838	36.0	22.0
335	rna-XM_708542.1	XM_708542.1	444	837	65.0	22.0
336	rna-XM_708542.1	XM_708542.1	445	836	52.0	22.0
337	rna-XM_708542.1	XM_708542.1	446	835	47.0	22.0
338	rna-XM_708542.1	XM_708542.1	447	834	39.0	22.0
339	rna-XM_708542.1	XM_708542.1	448	833	34.0	22.0
340	rna-XM_708542.1	XM_708542.1	450	831	60.0	22.0
341	rna-XM_708542.1	XM_708542.1	451	830	36.0	22.0
342	rna-XM_708542.1	XM_708542.1	452	829	55.0	22.0
343	rna-XM_708542.1	XM_708542.1	453	828	38.0	22.0
344	rna-XM_708542.1	XM_708542.1	454	827	46.0	22.0
345	rna-XM_708542.1	XM_708542.1	455	826	53.0	22.0
346	rna-XM_708542.1	XM_708542.1	456	825	68.0	22.0
347	rna-XM_708542.1	XM_708542.1	457	824	48.0	22.0
348	rna-XM_708542.1	XM_708542.1	458	823	43.0	22.0
349	rna-XM_708542.1	XM_708542.1	459	822	47.0	22.0
350	rna-XM_708542.1	XM_708542.1	460	821	33.0	22.0
351	rna-XM_708542.1	XM_708542.1	461	820	28.0	22.0
352	rna-XM_708542.1	XM_708542.1	462	819	69.0	22.0
353	rna-XM_708542.1	XM_708542.1	463	818	75.0	22.0
354	rna-XM_708542.1	XM_708542.1	464	817	54.0	22.0
355	rna-XM_708542.1	XM_708542.1	465	816	27.0	22.0
356	rna-XM_708542.1	XM_708542.1	466	815	37.0	22.0
357	rna-XM_708542.1	XM_708542.1	467	814	73.0	22.0
358	rna-XM_708542.1	XM_708542.1	468	813	35.0	22.0
359	rna-XM_708542.1	XM_708542.1	469	812	32.0	22.0
360	rna-XM_708542.1	XM_708542.1	470	811	104.0	22.0
361	rna-XM_708542.1	XM_708542.1	471	810	39.0	22.0
362	rna-XM_708542.1	XM_708542.1	472	809	33.0	22.0
363	rna-XM_708542.1	XM_708542.1	473	808	66.0	22.0
364	rna-XM_708542.1	XM_708542.1	474	807	29.0	22.0
365	rna-XM_708542.1	XM_708542.1	475	806	55.0	22.0
366	rna-XM_708542.1	XM_708542.1	476	805	33.0	22.0
367	rna-XM_708542.1	XM_708542.1	477	804	28.0	22.0
368	rna-XM_708542.1	XM_708542.1	479	802	37.0	22.0
369	rna-XM_708542.1	XM_708542.1	480	801	34.0	22.0
370	rna-XM_708542.1	XM_708542.1	481	800	25.0	22.0
371	rna-XM_708542.1	XM_708542.1	484	797	28.0	22.0
372	rna-XM_708542.1	XM_708542.1	486	795	24.0	22.0
373	rna-XM_708542.1	XM_708542.1	490	791	33.0	22.0
374	rna-XM_708542.1	XM_708542.1	491	790	28.0	22.0
375	rna-XM_708542.1	XM_708542.1	494	787	25.0	22.0
376	rna-XM_708542.1	XM_708542.1	495	786	29.0	22.0
377	rna-XM_708542.1	XM_708542.1	496	785	31.0	22.0
378	rna-XM_708542.1	XM_708542.1	497	784	36.0	22.0
379	rna-XM_708542.1	XM_708542.1	498	783	25.0	22.0
380	rna-XM_708542.1	XM_708542.1	499	782	25.0	22.0
381	rna-XM_708542.1	XM_708542.1	501	780	38.0	22.0
382	rna-XM_708542.1	XM_708542.1	502	779	29.0	22.0
383	rna-XM_708542.1	XM_708542.1	503	778	25.0	22.0
384	rna-XM_708542.1	XM_708542.1	504	777	26.0	22.0
385	rna-XM_708542.1	XM_708542.1	505	776	34.0	22.0
386	rna-XM_708542.1	XM_708542.1	506	775	29.0	22.0
387	rna-XM_708542.1	XM_708542.1	507	774	30.0	22.0
388	rna-XM_708542.1	XM_708542.1	509	772	24.0	22.0
389	rna-XM_708542.1	XM_708542.1	510	771	30.0	22.0
390	rna-XM_708542.1	XM_708542.1	511	770	29.0	22.0
391	rna-XM_708542.1	XM_708542.1	514	767	34.0	22.0
392	rna-XM_708542.1	XM_708542.1	515	766	39.0	22.0
393	rna-XM_708542.1	XM_708542.1	516	765	24.0	22.0
394	rna-XM_708542.1	XM_708542.1	517	764	28.0	22.0
395	rna-XM_708542.1	XM_708542.1	518	763	34.0	22.0
396	rna-XM_708542.1	XM_708542.1	519	762	34.0	22.0
397	rna-XM_708542.1	XM_708542.1	520	761	30.0	22.0
398	rna-XM_708542.1	XM_708542.1	521	760	41.0	22.0
399	rna-XM_708542.1	XM_708542.1	522	759	31.0	22.0
400	rna-XM_708542.1	XM_708542.1	523	758	31.0	22.0
401	rna-XM_708542.1	XM_708542.1	526	755	33.0	22.0
402	rna-XM_708542.1	XM_708542.1	527	754	241.0	22.0
403	rna-XM_708542.1	XM_708542.1	528	753	33.0	22.0
404	rna-XM_708542.1	XM_708542.1	529	752	40.0	22.0
405	rna-XM_708542.1	XM_708542.1	530	751	31.0	22.0
406	rna-XM_708542.1	XM_708542.1	531	750	32.0	22.0
407	rna-XM_708542.1	XM_708542.1	532	749	33.0	22.0
408	rna-XM_708542.1	XM_708542.1	534	747	283.0	22.0
409	rna-XM_708542.1	XM_708542.1	535	746	36.0	22.0
410	rna-XM_708542.1	XM_708542.1	536	745	25.0	22.0
