	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	128352	125615	123844	0.04130305643548124	0.0	33.97254182646879	-9	1.0480787210172027	377811	137788	0.050183433144418865	0.0627817062126946
ARG	98683	96143	92831	0.06268572507504885	0.0	34.305787795881905	-18	1.034038284202953	287657	104057	0.03789834748097653	0.06329560543866421
ASN	112769	109749	107087	0.05676622919456799	0.0	34.21337661746636	-15	1.042148108079348	329605	183917	0.06698396430474413	0.04103380869049655
ASP	137267	133795	134021	0.035742679172893185	0.0	33.886141852410496	-9	1.0184312325613585	405083	163466	0.059535555218056535	0.05673962934893123
CYS	16485	16246	15698	0.045608909924701804	0.0	34.039521774143594	-30	1.0575068243858052	48429	28416	0.010349322410019787	0.03902226463088991
GLN	91173	90145	89157	0.024286971959205768	0.0	33.708475829559106	-6	1.0257313020302063	270475	124537	0.045357318587297094	0.04972773084760013
GLU	181697	176523	179153	0.030970970678518648	0.0	33.81208211056379	-24	1.0129501312624865	537373	179874	0.06551147308487822	0.06840334845226852
GLY	116457	114432	110877	0.04789241631872364	0.0	34.07506890679588	-15	1.021741930497952	341766	138242	0.05034878338281093	0.05660551677524876
HIS	37238	36904	35347	0.043758034306791566	0.0	34.010722538337184	-21	1.0165422417960148	109489	57318	0.020875649700785266	0.0437370385522415
ILE	120342	117307	115561	0.04762783618310702	0.0	34.07094929362136	-15	1.0379667946352895	353210	193863	0.07060637283128048	0.04171651055623284
LEU	167676	162770	160646	0.05228515271835774	0.0	34.143500606810946	-12	1.019931296070994	491092	252345	0.09190596014767889	0.04455927005372851
LYS	184459	180640	177918	0.04109367498291105	0.0	33.96928641276424	-12	1.0188605597991967	543017	202503	0.07375312626675946	0.06139766811910774
PHE	70090	68881	67812	0.03634116444898119	0.0	33.895436278610916	-27	1.033799400770438	206783	118853	0.043287162739234296	0.039835896543674344
PRO	84121	81413	80282	0.05726283763513828	0.0	34.221124743710746	-12	1.056299853782052	245816	123255	0.04489040447800496	0.04566416427254711
SER	148935	144963	143280	0.047397257402184874	0.0	34.06735929072369	-18	1.0169604189747206	437178	245533	0.08942497815665078	0.040767900007914366
THR	110592	106599	106059	0.05671189887051407	0.0	34.21252900232019	-6	1.0437825520833333	323250	167878	0.06114243903256271	0.04408741743034663
TRP	16650	16310	15974	0.04470283713661102	0.0	34.02542199697552	-18	1.1054054054054054	48934	25889	0.009428969871656893	0.04327781783268875
TYR	58631	57883	56716	0.0331411133312236	0.0	33.845754199619	-27	1.0280056625334721	173230	95949	0.034945352474626566	0.04133829545901807
VAL	119128	116762	115468	0.03695819110513151	0.0	33.905019951160924	-9	1.036078839567524	351358	147692	0.05379054495286607	0.054470678768508946
TERM	1729	1742	1495	0.11189288007089714	1.0	35.07853403141361	-17	2.0200918484500576	4966	5494	0.0020009564090881444	0.020696074189126813
MET	29671	28827	28581	0.04780175533542859	0.0	34.073657253758086	-15	1.0152337299046206	87079	48818	0.01777988532560339	0.04084165781807036
