	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713980.1	XM_713980.1	233	79	25.0	22.0
1	rna-XM_713978.2	XM_713978.2	247	521	39.0	22.0
2	rna-XM_713975.2	XM_713975.2	73	1466	39.0	22.0
3	rna-XM_713957.1	XM_713957.1	0	1203	133.0	22.0
4	rna-XM_713957.1	XM_713957.1	55	1148	39.0	22.0
5	rna-XM_713957.1	XM_713957.1	118	1085	29.0	22.0
6	rna-XM_713957.1	XM_713957.1	121	1082	32.0	22.0
7	rna-XM_713957.1	XM_713957.1	133	1070	23.0	22.0
8	rna-XM_713957.1	XM_713957.1	136	1067	24.0	22.0
9	rna-XM_713957.1	XM_713957.1	157	1046	23.0	22.0
10	rna-XM_713957.1	XM_713957.1	175	1028	36.0	22.0
11	rna-XM_713954.1	XM_713954.1	91	512	177.0	22.0
12	rna-XM_713954.1	XM_713954.1	142	461	86.0	22.0
13	rna-XM_713954.1	XM_713954.1	186	417	32.0	22.0
14	rna-XM_713954.1	XM_713954.1	216	387	24.0	22.0
15	rna-XM_713954.1	XM_713954.1	261	342	71.0	22.0
16	rna-XM_713954.1	XM_713954.1	291	312	253.0	22.0
17	rna-XM_713954.1	XM_713954.1	292	311	42.0	22.0
18	rna-XM_713954.1	XM_713954.1	382	221	23.0	22.0
19	rna-XM_713954.1	XM_713954.1	411	192	23.0	22.0
20	rna-XM_713954.1	XM_713954.1	504	99	32.0	22.0
21	rna-XM_713954.1	XM_713954.1	505	98	42.0	22.0
22	rna-XM_713954.1	XM_713954.1	582	21	30.0	22.0
23	rna-XM_713943.1	XM_713943.1	411	336	24.0	22.0
24	rna-XM_713943.1	XM_713943.1	412	335	35.0	22.0
25	rna-XM_713943.1	XM_713943.1	441	306	122.0	22.0
26	rna-XM_713923.2	XM_713923.2	1252	917	23.0	22.0
27	rna-XM_713921.1	XM_713921.1	301	872	30.0	22.0
28	rna-XM_713916.1	XM_713916.1	1260	21	23.0	22.0
29	rna-XM_713910.2	XM_713910.2	3663	240	42.0	22.0
30	rna-XM_713900.2	XM_713900.2	1062	1464	23.0	22.0
31	rna-XM_019475060.1	XM_019475060.1	2611	1625	30.0	22.0
32	rna-XM_713024.2	XM_713024.2	4	452	37.0	22.0
33	rna-XM_713031.2	XM_713031.2	1038	1170	23.0	22.0
34	rna-XM_713031.2	XM_713031.2	1071	1137	24.0	22.0
35	rna-XM_713051.1	XM_713051.1	1003	524	39.0	22.0
36	rna-XM_713051.1	XM_713051.1	1032	495	83.0	22.0
37	rna-XM_713051.1	XM_713051.1	1033	494	26.0	22.0
38	rna-XM_713051.1	XM_713051.1	1194	333	36.0	22.0
39	rna-XM_713051.1	XM_713051.1	1236	291	30.0	22.0
40	rna-XM_713051.1	XM_713051.1	1296	231	30.0	22.0
41	rna-XM_713051.1	XM_713051.1	1326	201	24.0	22.0
42	rna-XM_713051.1	XM_713051.1	1327	200	27.0	22.0
43	rna-XM_713054.1	XM_713054.1	481	713	34.0	22.0
44	rna-XM_019475064.1	XM_019475064.1	14	250	24.0	22.0
45	rna-XM_019475064.1	XM_019475064.1	166	98	82.0	22.0
46	rna-XM_019475064.1	XM_019475064.1	176	88	48.0	22.0
47	rna-XM_019475064.1	XM_019475064.1	208	56	27.0	22.0
48	rna-XM_019475064.1	XM_019475064.1	216	48	32.0	22.0
49	rna-XM_713061.2	XM_713061.2	1680	21	34.0	22.0
50	rna-XM_713064.2	XM_713064.2	1	749	25.0	22.0
51	rna-XM_713064.2	XM_713064.2	3	747	46.0	22.0
52	rna-XM_713064.2	XM_713064.2	10	740	29.0	22.0
53	rna-XM_713064.2	XM_713064.2	11	739	26.0	22.0
54	rna-XM_713064.2	XM_713064.2	12	738	53.0	22.0
55	rna-XM_713064.2	XM_713064.2	13	737	28.0	22.0
56	rna-XM_713064.2	XM_713064.2	25	725	25.0	22.0
57	rna-XM_713064.2	XM_713064.2	26	724	35.0	22.0
58	rna-XM_713064.2	XM_713064.2	27	723	51.0	22.0
59	rna-XM_713064.2	XM_713064.2	28	722	90.0	22.0
60	rna-XM_713064.2	XM_713064.2	46	704	55.0	22.0
61	rna-XM_713064.2	XM_713064.2	58	692	42.0	22.0
62	rna-XM_713064.2	XM_713064.2	70	680	27.0	22.0
63	rna-XM_713064.2	XM_713064.2	691	59	45.0	22.0
64	rna-XM_713065.1	XM_713065.1	459	144	23.0	22.0
65	rna-XM_713077.2	XM_713077.2	388	134	39.0	22.0
66	rna-XM_713077.2	XM_713077.2	418	104	41.0	22.0
67	rna-XM_713080.2	XM_713080.2	139	743	90.0	22.0
68	rna-XM_019475067.1	XM_019475067.1	139	650	156.0	22.0
69	rna-XM_019475067.1	XM_019475067.1	330	459	26.0	22.0
70	rna-XM_019475067.1	XM_019475067.1	360	429	63.0	22.0
71	rna-XM_019475067.1	XM_019475067.1	361	428	78.0	22.0
72	rna-XM_019475067.1	XM_019475067.1	364	425	23.0	22.0
73	rna-XM_019475067.1	XM_019475067.1	435	354	49.0	22.0
74	rna-XM_019475067.1	XM_019475067.1	438	351	65.0	22.0
75	rna-XM_019475067.1	XM_019475067.1	439	350	44.0	22.0
76	rna-XM_019475067.1	XM_019475067.1	441	348	124.0	22.0
77	rna-XM_019475067.1	XM_019475067.1	442	347	90.0	22.0
78	rna-XM_019475067.1	XM_019475067.1	443	346	69.0	22.0
79	rna-XM_019475067.1	XM_019475067.1	444	345	75.0	22.0
80	rna-XM_019475067.1	XM_019475067.1	445	344	107.0	22.0
81	rna-XM_019475067.1	XM_019475067.1	446	343	32.0	22.0
82	rna-XM_019475067.1	XM_019475067.1	450	339	32.0	22.0
83	rna-XM_019475067.1	XM_019475067.1	452	337	28.0	22.0
84	rna-XM_019475067.1	XM_019475067.1	453	336	38.0	22.0
85	rna-XM_713089.2	XM_713089.2	939	2262	27.0	22.0
86	rna-XM_713090.2	XM_713090.2	1938	66	23.0	22.0
87	rna-XM_713090.2	XM_713090.2	1962	42	28.0	22.0
88	rna-XM_019475068.1	XM_019475068.1	2820	240	42.0	22.0
89	rna-XM_019475068.1	XM_019475068.1	2821	239	58.0	22.0
90	rna-XM_019475068.1	XM_019475068.1	2851	209	41.0	22.0
91	rna-XM_019475068.1	XM_019475068.1	2853	207	28.0	22.0
92	rna-XM_019475068.1	XM_019475068.1	2880	180	43.0	22.0
93	rna-XM_019475068.1	XM_019475068.1	2881	179	46.0	22.0
94	rna-XM_707870.1	XM_707870.1	477	354	53.0	22.0
