	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713978.2	XM_713978.2	9	759	75.0	20.0
1	rna-XM_713978.2	XM_713978.2	53	715	96.0	20.0
2	rna-XM_713978.2	XM_713978.2	251	517	58.0	20.0
3	rna-XM_713978.2	XM_713978.2	263	505	23.0	20.0
4	rna-XM_713957.1	XM_713957.1	0	1203	83.0	20.0
5	rna-XM_713957.1	XM_713957.1	11	1192	24.0	20.0
6	rna-XM_713957.1	XM_713957.1	14	1189	27.0	20.0
7	rna-XM_713957.1	XM_713957.1	18	1185	22.0	20.0
8	rna-XM_713957.1	XM_713957.1	28	1175	21.0	20.0
9	rna-XM_713957.1	XM_713957.1	38	1165	24.0	20.0
10	rna-XM_713957.1	XM_713957.1	40	1163	30.0	20.0
11	rna-XM_713957.1	XM_713957.1	41	1162	21.0	20.0
12	rna-XM_713957.1	XM_713957.1	42	1161	21.0	20.0
13	rna-XM_713957.1	XM_713957.1	43	1160	26.0	20.0
14	rna-XM_713957.1	XM_713957.1	45	1158	28.0	20.0
15	rna-XM_713957.1	XM_713957.1	47	1156	38.0	20.0
16	rna-XM_713957.1	XM_713957.1	48	1155	33.0	20.0
17	rna-XM_713957.1	XM_713957.1	49	1154	23.0	20.0
18	rna-XM_713957.1	XM_713957.1	50	1153	27.0	20.0
19	rna-XM_713957.1	XM_713957.1	55	1148	44.0	20.0
20	rna-XM_713957.1	XM_713957.1	77	1126	22.0	20.0
21	rna-XM_713957.1	XM_713957.1	89	1114	22.0	20.0
22	rna-XM_713957.1	XM_713957.1	93	1110	22.0	20.0
23	rna-XM_713957.1	XM_713957.1	94	1109	56.0	20.0
24	rna-XM_713957.1	XM_713957.1	102	1101	21.0	20.0
25	rna-XM_713957.1	XM_713957.1	122	1081	27.0	20.0
26	rna-XM_713957.1	XM_713957.1	254	949	23.0	20.0
27	rna-XM_713957.1	XM_713957.1	298	905	26.0	20.0
28	rna-XM_713954.1	XM_713954.1	91	512	305.0	20.0
29	rna-XM_713954.1	XM_713954.1	127	476	69.0	20.0
30	rna-XM_713954.1	XM_713954.1	369	234	42.0	20.0
31	rna-XM_713954.1	XM_713954.1	397	206	22.0	20.0
32	rna-XM_019475056.1	XM_019475056.1	833	604	24.0	20.0
33	rna-XM_019475060.1	XM_019475060.1	2611	1625	40.0	20.0
34	rna-XM_713024.2	XM_713024.2	4	452	22.0	20.0
35	rna-XM_019475064.1	XM_019475064.1	14	250	32.0	20.0
36	rna-XM_019475064.1	XM_019475064.1	15	249	27.0	20.0
37	rna-XM_019475064.1	XM_019475064.1	166	98	40.0	20.0
38	rna-XM_713064.2	XM_713064.2	11	739	21.0	20.0
39	rna-XM_713064.2	XM_713064.2	43	707	25.0	20.0
40	rna-XM_713064.2	XM_713064.2	45	705	31.0	20.0
41	rna-XM_019475067.1	XM_019475067.1	81	708	26.0	20.0
42	rna-XM_019475067.1	XM_019475067.1	339	450	66.0	20.0
43	rna-XM_019475067.1	XM_019475067.1	353	436	21.0	20.0
44	rna-XM_019475067.1	XM_019475067.1	364	425	67.0	20.0
45	rna-XM_019475067.1	XM_019475067.1	380	409	23.0	20.0
46	rna-XM_019475067.1	XM_019475067.1	405	384	25.0	20.0
47	rna-XM_019475067.1	XM_019475067.1	490	299	24.0	20.0
48	rna-XM_019475067.1	XM_019475067.1	491	298	33.0	20.0
49	rna-XM_019475068.1	XM_019475068.1	2762	298	24.0	20.0
50	rna-XM_707863.2	XM_707863.2	308	3517	119.0	20.0
51	rna-XM_708692.1	XM_708692.1	681	126	28.0	20.0
52	rna-XM_716341.2	XM_716341.2	36	627	66.0	20.0
53	rna-XM_716341.2	XM_716341.2	49	614	40.0	20.0
