	count	F	f_count	f_perc	fpi
0	39	2	17	43.58974358974359	0.6280312226130421
1	0	0	0		
2	24	1	11	45.83333333333333	0.7589919004962051
3	113	0	42	37.16814159292036	0.24257030327407822
4	54	0	21	38.88888888888889	0.3479233034203068
5	41	1	16	39.02439024390244	0.35614381022527536
6	8	0	4	50.0	1.0
7	40	2	16	40.0	0.4150374992788437
8	43	1	24	55.81395348837209	1.3370349872775706
9	23	2	13	56.52173913043478	1.3785116232537298
10	71	0	31	43.66197183098591	0.632268215499513
11	59	1	25	42.3728813559322	0.5563933485243854
12	57	0	28	49.122807017543856	0.9493739269300321
13	292	1	107	36.64383561643836	0.21008552588483478
14	7	0	3	42.857142857142854	0.5849625007211562
15	772	0	292	37.82383419689119	0.2829339632714986
16	0	0	0		
17	1	0	1	100.0	1.0
18	134	0	52	38.80597014925373	0.3428877135230085
19	41	0	16	39.02439024390244	0.35614381022527536
20	25	0	11	44.0	0.6520766965796931
21	1	0	1	100.0	1.0
22	0	0	0		
23	5	2	3	60.0	1.584962500721156
24	21	1	10	47.61904761904761	0.8624964762500651
25	16	1	6	37.5	0.2630344058337938
26	16	0	8	50.0	1.0
27	143	0	71	49.65034965034965	0.9798221180623697
28	1	1	1	100.0	1.0
29	10	2	5	50.0	1.0
30	0	0	0		
31	36	0	17	47.22222222222222	0.8395353278067539
32	26	0	13	50.0	1.0
33	31	0	11	35.483870967741936	0.13750352374993502
34	9	0	5	55.55555555555556	1.3219280948873624
35	18	0	8	44.44444444444444	0.6780719051126377
36	27	0	15	55.55555555555556	1.3219280948873624
37	99	1	38	38.38383838383838	0.3171901758806993
38	25	1	10	40.0	0.4150374992788437
39	13	0	5	38.46153846153847	0.32192809488736235
40	8	1	3	37.5	0.2630344058337938
41	154	0	56	36.36363636363637	0.19264507794239583
42	10	0	6	60.0	1.584962500721156
43	52	1	19	36.53846153846153	0.20353339408513216
44	23	0	9	39.130434782608695	0.3625700793847084
45	11	0	6	54.54545454545454	1.263034405833794
46	18	0	13	72.22222222222221	2.37851162325373
47	27	1	11	40.74074074074074	0.45943161863729726
48	8	0	4	50.0	1.0
49	82	0	34	41.46341463414634	0.5025003405291832
50	37	0	16	43.24324324324324	0.6076825772212396
51	10	1	4	40.0	0.4150374992788437
52	271	0	104	38.37638376383764	0.31673542566704
53	31	0	14	45.16129032258064	0.7198920808072646
54	31	0	15	48.38709677419355	0.9068905956085185
55	15	0	9	60.0	1.584962500721156
56	1	0	1	100.0	1.0
57	134	0	60	44.776119402985074	0.6974372299795688
58	67	0	32	47.76119402985074	0.8707169830550335
59	17	0	6	35.294117647058826	0.12553088208385882
60	10	0	6	60.0	1.584962500721156
61	3	0	2	66.66666666666666	2.0
62	17	0	8	47.05882352941176	0.8300749985576875
63	27	0	12	44.44444444444444	0.6780719051126377
64	27	0	11	40.74074074074074	0.45943161863729726
65	25	0	10	40.0	0.4150374992788437
66	44	0	17	38.63636363636363	0.3325753390868709
67	58	0	30	51.724137931034484	1.0995356735509143
68	12	1	5	41.66666666666667	0.5145731728297582
69	7	2	3	42.857142857142854	0.5849625007211562
70	1	2	1	100.0	1.0
71	19	0	8	42.10526315789473	0.5405683813627027
72	74	0	35	47.2972972972973	0.8438807980827181
73	2	0	1	50.0	1.0
74	7	0	4	57.14285714285714	1.4150374992788437
75	6	0	3	50.0	1.0
76	73	0	37	50.68493150684932	1.0395283641866373
77	1	0	1	100.0	1.0
78	9	0	4	44.44444444444444	0.6780719051126377
79	54	0	31	57.407407407407405	1.4306343543298623
80	3	0	2	66.66666666666666	2.0
81	31	0	15	48.38709677419355	0.9068905956085185
82	54	0	25	46.2962962962963	0.7858751946471525
83	12	0	5	41.66666666666667	0.5145731728297582
84	28	0	16	57.14285714285714	1.4150374992788437
85	149	0	59	39.59731543624161	0.39078995303216657
86	14	2	6	42.857142857142854	0.5849625007211562
87	45	0	22	48.888888888888886	0.9358696625802845
88	97	0	46	47.42268041237113	0.8511366140855173
89	1	1	1	100.0	1.0
90	14	0	9	64.28571428571429	1.84799690655495
91	45	0	23	51.11111111111111	1.0641303374197155
92	25	0	12	48.0	0.8845227825800641
93	32	0	16	50.0	1.0
94	67	0	27	40.298507462686565	0.4329594072761063
95	11	1	5	45.45454545454545	0.7369655941662062
96	20	1	9	45.0	0.7104933828050152
97	95	1	36	37.89473684210527	0.28728195208047125
98	70	0	46	65.71428571428571	1.9385994553358568
99	15	0	7	46.666666666666664	0.8073549220576041
100	4	2	3	75.0	2.584962500721156
101	77	1	33	42.857142857142854	0.5849625007211562
102	66	0	24	36.36363636363637	0.19264507794239583
103	71	0	35	49.29577464788733	0.9593580155026541
104	44	0	22	50.0	1.0
105	27	0	17	62.96296296296296	1.765534746362977
106	48	0	22	45.83333333333333	0.7589919004962051
107	18	0	9	50.0	1.0
108	0	0	0		
109	17	0	9	52.94117647058824	1.1699250014423124
110	11	2	5	45.45454545454545	0.7369655941662062
111	15	0	8	53.333333333333336	1.1926450779423958
112	0	0	0		
113	15	0	8	53.333333333333336	1.1926450779423958
114	47	0	23	48.93617021276596	0.9385994553358568
115	1	1	1	100.0	1.0
116	46	0	20	43.47826086956522	0.6214883767462702
117	2	1	2	100.0	2.0
118	23	0	15	65.21739130434783	1.9068905956085185
119	43	0	20	46.51162790697674	0.7983661388303493
120	224	0	89	39.732142857142854	0.3989178339155668
121	47	0	21	44.680851063829785	0.6918777046376681
122	16	0	6	37.5	0.2630344058337938
123	536	0	200	37.3134328358209	0.2515387669959644
124	147	0	58	39.455782312925166	0.38224756416117445
125	304	2	113	37.17105263157895	0.24275013437943904
126	10	0	6	60.0	1.584962500721156
127	26	0	15	57.692307692307686	1.4474589769712212
128	12	1	5	41.66666666666667	0.5145731728297582
129	28	0	14	50.0	1.0
130	2	0	1	50.0	1.0
131	45	0	25	55.55555555555556	1.3219280948873624
132	23	1	11	47.82608695652174	0.874469117916141
133	51	1	27	52.94117647058824	1.1699250014423124
134	393	1	143	36.38676844783715	0.19408705211630226
135	113	0	49	43.36283185840708	0.6147098441152081
136	2	1	1	50.0	1.0
137	14	0	8	57.14285714285714	1.4150374992788437
138	146	0	68	46.57534246575342	0.8020606223880911
139	9	0	5	55.55555555555556	1.3219280948873624
140	21	0	11	52.38095238095239	1.1375035237499351
141	121	0	61	50.413223140495866	1.0238467419543678
142	51	1	20	39.21568627450981	0.3677317845004871
143	32	0	14	43.75	0.6374299206152918
144	183	0	75	40.98360655737705	0.4739311883324123
145	105	0	55	52.38095238095239	1.1375035237499351
146	1	0	1	100.0	1.0
147	1	0	1	100.0	1.0
148	8	0	3	37.5	0.2630344058337938
149	745	0	314	42.14765100671141	0.5430766898025289
150	45	1	17	37.77777777777778	0.2801079191927352
151	33	0	17	51.515151515151516	1.0874628412503393
152	65	0	33	50.76923076923077	1.0443941193584534
153	92	1	36	39.130434782608695	0.3625700793847084
154	169	1	62	36.68639053254438	0.21272932398572816
155	121	0	61	50.413223140495866	1.0238467419543678
156	2	0	2	100.0	2.0
157	7	1	3	42.857142857142854	0.5849625007211562
158	6	0	4	66.66666666666666	2.0
159	2	1	1	50.0	1.0
160	14	2	6	42.857142857142854	0.5849625007211562
161	222	0	111	50.0	1.0
162	56	0	26	46.42857142857143	0.7935491225325737
163	4	1	2	50.0	1.0
164	44	1	21	47.72727272727273	0.8687554667217473
165	3	0	3	100.0	2.584962500721156
166	5	1	3	60.0	1.584962500721156
167	29	0	16	55.172413793103445	1.2995602818589078
168	53	0	29	54.71698113207547	1.2730184944064158
169	48	1	19	39.58333333333333	0.3899465183160134
170	5	0	3	60.0	1.584962500721156
171	35	0	15	42.857142857142854	0.5849625007211562
172	35	0	14	40.0	0.4150374992788437
173	44	0	19	43.18181818181818	0.6040713236688608
174	184	1	75	40.76086956521739	0.4606343657189545
175	10	1	6	60.0	1.584962500721156
176	34	0	19	55.88235294117647	1.341036917835067
177	16	2	7	43.75	0.6374299206152918
178	0	0	0		
179	3	2	2	66.66666666666666	2.0
180	0	0	0		
181	16	0	8	50.0	1.0
182	9	1	5	55.55555555555556	1.3219280948873624
183	2	0	2	100.0	2.0
184	19	1	10	52.63157894736842	1.15200309344505
185	24	0	12	50.0	1.0
186	53	0	21	39.62264150943396	0.3923174227787603
187	95	1	61	64.21052631578948	1.843274496312547
188	0	0	0		
189	8	1	6	75.0	2.584962500721156
190	9	0	4	44.44444444444444	0.6780719051126377
191	7	1	4	57.14285714285714	1.4150374992788437
192	0	0	0		
193	1589	0	796	50.094398993077405	1.0054475648396706
194	12	1	7	58.333333333333336	1.4854268271702415
195	14	0	5	35.714285714285715	0.15200309344505006
196	2	0	2	100.0	2.0
197	1	1	1	100.0	1.0
198	18	0	9	50.0	1.0
199	24	0	11	45.83333333333333	0.7589919004962051
200	4	1	2	50.0	1.0
201	105	0	47	44.761904761904766	0.6966078565500652
202	2	0	2	100.0	2.0
203	94	1	39	41.48936170212766	0.5040425053375888
204	66	0	27	40.909090909090914	0.4694852833012202
205	48	0	20	41.66666666666667	0.5145731728297582
206	26	0	13	50.0	1.0
207	0	0	0		
208	22	0	10	45.45454545454545	0.7369655941662062
209	25	0	12	48.0	0.8845227825800641
210	14	0	8	57.14285714285714	1.4150374992788437
211	3	1	2	66.66666666666666	2.0
212	18	2	8	44.44444444444444	0.6780719051126377
213	236	0	96	40.67796610169492	0.4556794837761897
214	124	0	56	45.16129032258064	0.7198920808072646
215	1	0	1	100.0	1.0
216	85	0	42	49.411764705882355	0.9660526680766622
217	2	0	1	50.0	1.0
218	29	1	15	51.724137931034484	1.0995356735509143
219	48	0	22	45.83333333333333	0.7589919004962051
220	25	0	13	52.0	1.1154772174199359
221	308	0	115	37.33766233766234	0.2530330136762948
222	95	0	44	46.31578947368421	0.7870062766658017
223	29	0	16	55.172413793103445	1.2995602818589078
224	31	0	19	61.29032258064516	1.6629650127224291
225	527	0	225	42.69449715370019	0.5753764518919582
226	10	0	4	40.0	0.4150374992788437
227	75	0	32	42.66666666666667	0.5737352452979021
228	27	0	16	59.25925925925925	1.5405683813627027
229	16	0	11	68.75	2.137503523749935
230	13	0	7	53.84615384615385	1.222392421336448
231	0	0	0		
232	17	0	10	58.82352941176471	1.5145731728297582
233	0	0	0		
234	0	0	0		
235	45	0	19	42.22222222222222	0.5474877953024933
236	27	2	10	37.03703703703704	0.23446525363702297
237	50	0	24	48.0	0.8845227825800641
238	30	1	16	53.333333333333336	1.1926450779423958
239	4	2	3	75.0	2.584962500721156
240	42	0	21	50.0	1.0
241	15	0	8	53.333333333333336	1.1926450779423958
242	7	1	4	57.14285714285714	1.4150374992788437
243	1	2	1	100.0	1.0
244	2	1	2	100.0	2.0
245	0	0	0		
246	3	0	3	100.0	2.584962500721156
247	118	0	55	46.61016949152542	0.8040797900247432
248	19	1	10	52.63157894736842	1.15200309344505
249	0	0	0		
