	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713957.1	XM_713957.1	0	1203	57.0	20.0
1	rna-XM_713957.1	XM_713957.1	17	1186	22.0	20.0
2	rna-XM_713957.1	XM_713957.1	40	1163	31.0	20.0
3	rna-XM_713957.1	XM_713957.1	43	1160	35.0	20.0
4	rna-XM_713957.1	XM_713957.1	46	1157	24.0	20.0
5	rna-XM_713957.1	XM_713957.1	47	1156	44.0	20.0
6	rna-XM_713957.1	XM_713957.1	48	1155	26.0	20.0
7	rna-XM_713957.1	XM_713957.1	49	1154	24.0	20.0
8	rna-XM_713957.1	XM_713957.1	50	1153	37.0	20.0
9	rna-XM_713957.1	XM_713957.1	55	1148	55.0	20.0
10	rna-XM_713957.1	XM_713957.1	78	1125	24.0	20.0
11	rna-XM_713957.1	XM_713957.1	89	1114	28.0	20.0
12	rna-XM_713957.1	XM_713957.1	92	1111	23.0	20.0
13	rna-XM_713957.1	XM_713957.1	94	1109	40.0	20.0
14	rna-XM_713957.1	XM_713957.1	149	1054	21.0	20.0
15	rna-XM_713957.1	XM_713957.1	298	905	43.0	20.0
16	rna-XM_713954.1	XM_713954.1	91	512	289.0	20.0
17	rna-XM_713954.1	XM_713954.1	127	476	59.0	20.0
18	rna-XM_713954.1	XM_713954.1	349	254	22.0	20.0
19	rna-XM_713954.1	XM_713954.1	369	234	35.0	20.0
20	rna-XM_019475060.1	XM_019475060.1	1637	2599	22.0	20.0
21	rna-XM_019475060.1	XM_019475060.1	2611	1625	62.0	20.0
22	rna-XM_713024.2	XM_713024.2	4	452	29.0	20.0
23	rna-XM_019475064.1	XM_019475064.1	14	250	37.0	20.0
24	rna-XM_019475064.1	XM_019475064.1	15	249	26.0	20.0
25	rna-XM_019475064.1	XM_019475064.1	166	98	46.0	20.0
26	rna-XM_019475067.1	XM_019475067.1	339	450	42.0	20.0
27	rna-XM_019475067.1	XM_019475067.1	364	425	77.0	20.0
28	rna-XM_019475067.1	XM_019475067.1	412	377	33.0	20.0
29	rna-XM_019475067.1	XM_019475067.1	757	32	22.0	20.0
30	rna-XM_019475068.1	XM_019475068.1	1861	1199	23.0	20.0
31	rna-XM_707863.2	XM_707863.2	308	3517	116.0	20.0
32	rna-XM_716341.2	XM_716341.2	36	627	29.0	20.0
33	rna-XM_716341.2	XM_716341.2	147	516	89.0	20.0
34	rna-XM_716341.2	XM_716341.2	346	317	21.0	20.0
35	rna-XM_716371.1	XM_716371.1	216	837	43.0	20.0
36	rna-XM_716387.1	XM_716387.1	796	635	26.0	20.0
37	rna-XM_716388.2	XM_716388.2	80	1033	21.0	20.0
38	rna-XM_716397.1	XM_716397.1	141	180	33.0	20.0
39	rna-XM_716399.1	XM_716399.1	353	256	30.0	20.0
40	rna-XM_716399.1	XM_716399.1	428	181	165.0	20.0
41	rna-XM_716399.1	XM_716399.1	475	134	36.0	20.0
42	rna-XM_716399.1	XM_716399.1	517	92	39.0	20.0
43	rna-XM_716399.1	XM_716399.1	522	87	122.0	20.0
44	rna-XM_716399.1	XM_716399.1	539	70	37.0	20.0
45	rna-XM_716399.1	XM_716399.1	545	64	32.0	20.0
46	rna-XM_716403.1	XM_716403.1	519	111	26.0	20.0
47	rna-XM_716403.1	XM_716403.1	532	98	24.0	20.0
48	rna-XM_716405.2	XM_716405.2	464	1954	28.0	20.0
49	rna-XM_716407.2	XM_716407.2	661	110	24.0	20.0
50	rna-XM_716407.2	XM_716407.2	668	103	24.0	20.0
51	rna-XM_716442.2	XM_716442.2	529	1361	41.0	20.0
52	rna-XM_716442.2	XM_716442.2	563	1327	26.0	20.0
53	rna-XM_716442.2	XM_716442.2	582	1308	75.0	20.0
54	rna-XM_716442.2	XM_716442.2	616	1274	23.0	20.0
55	rna-XM_716442.2	XM_716442.2	626	1264	40.0	20.0
56	rna-XM_716442.2	XM_716442.2	677	1213	22.0	20.0
57	rna-XM_716442.2	XM_716442.2	680	1210	24.0	20.0
58	rna-XM_716442.2	XM_716442.2	1710	180	22.0	20.0
59	rna-XM_716442.2	XM_716442.2	1833	57	51.0	20.0
60	rna-XM_716447.2	XM_716447.2	619	206	129.0	20.0
61	rna-XM_708542.1	XM_708542.1	134	1147	31.0	20.0
62	rna-XM_708542.1	XM_708542.1	168	1113	32.0	20.0
63	rna-XM_708542.1	XM_708542.1	175	1106	22.0	20.0
64	rna-XM_708542.1	XM_708542.1	178	1103	792.0	20.0
65	rna-XM_708542.1	XM_708542.1	179	1102	38.0	20.0
66	rna-XM_708542.1	XM_708542.1	194	1087	25.0	20.0
67	rna-XM_708542.1	XM_708542.1	196	1085	21.0	20.0
68	rna-XM_708542.1	XM_708542.1	221	1060	33.0	20.0
69	rna-XM_708542.1	XM_708542.1	230	1051	70.0	20.0
70	rna-XM_708542.1	XM_708542.1	233	1048	22.0	20.0
71	rna-XM_708542.1	XM_708542.1	245	1036	65.0	20.0
72	rna-XM_708542.1	XM_708542.1	246	1035	27.0	20.0
73	rna-XM_708542.1	XM_708542.1	257	1024	47.0	20.0
74	rna-XM_708542.1	XM_708542.1	269	1012	43.0	20.0
75	rna-XM_708542.1	XM_708542.1	271	1010	25.0	20.0
76	rna-XM_708542.1	XM_708542.1	272	1009	24.0	20.0
77	rna-XM_708542.1	XM_708542.1	281	1000	22.0	20.0
78	rna-XM_708542.1	XM_708542.1	301	980	30.0	20.0
79	rna-XM_708542.1	XM_708542.1	307	974	28.0	20.0
80	rna-XM_708542.1	XM_708542.1	308	973	26.0	20.0
81	rna-XM_708542.1	XM_708542.1	311	970	22.0	20.0
82	rna-XM_708542.1	XM_708542.1	332	949	58.0	20.0
83	rna-XM_708542.1	XM_708542.1	335	946	28.0	20.0
84	rna-XM_708542.1	XM_708542.1	338	943	73.0	20.0
85	rna-XM_708542.1	XM_708542.1	341	940	23.0	20.0
86	rna-XM_708542.1	XM_708542.1	344	937	40.0	20.0
87	rna-XM_708542.1	XM_708542.1	347	934	31.0	20.0
88	rna-XM_708542.1	XM_708542.1	353	928	29.0	20.0
89	rna-XM_708542.1	XM_708542.1	359	922	24.0	20.0
90	rna-XM_708542.1	XM_708542.1	368	913	21.0	20.0
91	rna-XM_708542.1	XM_708542.1	374	907	22.0	20.0
92	rna-XM_708542.1	XM_708542.1	380	901	28.0	20.0
93	rna-XM_708542.1	XM_708542.1	408	873	21.0	20.0
94	rna-XM_708542.1	XM_708542.1	423	858	21.0	20.0
95	rna-XM_708542.1	XM_708542.1	424	857	24.0	20.0
96	rna-XM_708542.1	XM_708542.1	435	846	22.0	20.0
97	rna-XM_708542.1	XM_708542.1	438	843	22.0	20.0
98	rna-XM_708542.1	XM_708542.1	440	841	21.0	20.0
99	rna-XM_708542.1	XM_708542.1	450	831	25.0	20.0
100	rna-XM_708542.1	XM_708542.1	452	829	26.0	20.0
101	rna-XM_708542.1	XM_708542.1	456	825	31.0	20.0
102	rna-XM_708542.1	XM_708542.1	457	824	21.0	20.0
103	rna-XM_708542.1	XM_708542.1	458	823	28.0	20.0
104	rna-XM_708542.1	XM_708542.1	464	817	35.0	20.0
105	rna-XM_708542.1	XM_708542.1	467	814	24.0	20.0
106	rna-XM_708542.1	XM_708542.1	470	811	45.0	20.0
107	rna-XM_708542.1	XM_708542.1	473	808	41.0	20.0
108	rna-XM_708542.1	XM_708542.1	501	780	21.0	20.0
109	rna-XM_708542.1	XM_708542.1	519	762	24.0	20.0
110	rna-XM_708542.1	XM_708542.1	521	760	26.0	20.0
111	rna-XM_708542.1	XM_708542.1	527	754	166.0	20.0
112	rna-XM_708542.1	XM_708542.1	534	747	88.0	20.0
113	rna-XM_708542.1	XM_708542.1	548	733	21.0	20.0
114	rna-XM_708542.1	XM_708542.1	554	727	21.0	20.0
115	rna-XM_708542.1	XM_708542.1	566	715	75.0	20.0
116	rna-XM_708542.1	XM_708542.1	572	709	24.0	20.0
117	rna-XM_706866.2	XM_706866.2	1549	503	22.0	20.0
118	rna-XM_706869.2	XM_706869.2	372	138	25.0	20.0
119	rna-XM_708553.2	XM_708553.2	798	690	93.0	20.0
120	rna-XM_708557.1	XM_708557.1	220	842	25.0	20.0
121	rna-XM_708562.1	XM_708562.1	275	121	22.0	20.0
122	rna-XM_708563.1	XM_708563.1	226	167	27.0	20.0
123	rna-XM_708570.1	XM_708570.1	164	154	30.0	20.0
124	rna-XM_708576.2	XM_708576.2	239	1699	57.0	20.0
125	rna-XM_708576.2	XM_708576.2	367	1571	32.0	20.0
126	rna-XM_708576.2	XM_708576.2	629	1309	49.0	20.0
127	rna-XM_708576.2	XM_708576.2	1205	733	29.0	20.0
128	rna-XM_708576.2	XM_708576.2	1264	674	24.0	20.0
129	rna-XM_707150.2	XM_707150.2	212	1519	43.0	20.0
130	rna-XM_707150.2	XM_707150.2	341	1390	25.0	20.0
131	rna-XM_707150.2	XM_707150.2	619	1112	29.0	20.0
132	rna-XM_707150.2	XM_707150.2	620	1111	21.0	20.0
133	rna-XM_705770.2	XM_705770.2	1950	2142	46.0	20.0
134	rna-XM_705770.2	XM_705770.2	2111	1981	23.0	20.0
135	rna-XM_705770.2	XM_705770.2	2114	1978	39.0	20.0
136	rna-XM_705770.2	XM_705770.2	2150	1942	21.0	20.0
137	rna-XM_705770.2	XM_705770.2	2174	1918	38.0	20.0
138	rna-XM_705773.2	XM_705773.2	676	1289	27.0	20.0
139	rna-XM_705773.2	XM_705773.2	1364	601	63.0	20.0
140	rna-XM_019475109.1	XM_019475109.1	708	18	43.0	20.0
141	rna-XM_713365.1	XM_713365.1	1441	665	43.0	20.0
142	rna-XM_019475113.1	XM_019475113.1	80	319	71.0	20.0
143	rna-XM_019475113.1	XM_019475113.1	90	309	26.0	20.0
144	rna-XM_019475113.1	XM_019475113.1	101	298	24.0	20.0
145	rna-XM_019475113.1	XM_019475113.1	108	291	21.0	20.0
146	rna-XM_019475113.1	XM_019475113.1	124	275	26.0	20.0
147	rna-XM_019475113.1	XM_019475113.1	128	271	71.0	20.0
148	rna-XM_019475113.1	XM_019475113.1	198	201	32.0	20.0
149	rna-XM_019475113.1	XM_019475113.1	200	199	27.0	20.0
150	rna-XM_019475113.1	XM_019475113.1	202	197	23.0	20.0
151	rna-XM_019475113.1	XM_019475113.1	203	196	23.0	20.0
152	rna-XM_019475113.1	XM_019475113.1	206	193	45.0	20.0
153	rna-XM_019475113.1	XM_019475113.1	207	192	22.0	20.0
154	rna-XM_019475113.1	XM_019475113.1	214	185	21.0	20.0
155	rna-XM_019475113.1	XM_019475113.1	216	183	26.0	20.0
156	rna-XM_019475113.1	XM_019475113.1	235	164	25.0	20.0
157	rna-XM_019475113.1	XM_019475113.1	240	159	27.0	20.0
158	rna-XM_019475113.1	XM_019475113.1	257	142	25.0	20.0
159	rna-XM_019475113.1	XM_019475113.1	261	138	23.0	20.0
160	rna-XM_019475113.1	XM_019475113.1	262	137	22.0	20.0
161	rna-XM_019475113.1	XM_019475113.1	263	136	22.0	20.0
162	rna-XM_019475113.1	XM_019475113.1	277	122	24.0	20.0
163	rna-XM_019475113.1	XM_019475113.1	294	105	25.0	20.0
164	rna-XM_019475114.1	XM_019475114.1	77	79	21.0	20.0
165	rna-XM_713748.2	XM_713748.2	0	438	31.0	20.0
166	rna-XM_713748.2	XM_713748.2	4	434	43.0	20.0
167	rna-XM_713748.2	XM_713748.2	16	422	21.0	20.0
168	rna-XM_713748.2	XM_713748.2	28	410	35.0	20.0
169	rna-XM_713748.2	XM_713748.2	40	398	31.0	20.0
170	rna-XM_713748.2	XM_713748.2	41	397	34.0	20.0
171	rna-XM_713748.2	XM_713748.2	42	396	50.0	20.0
172	rna-XM_713748.2	XM_713748.2	43	395	45.0	20.0
173	rna-XM_713748.2	XM_713748.2	45	393	32.0	20.0
174	rna-XM_713748.2	XM_713748.2	48	390	37.0	20.0
175	rna-XM_713748.2	XM_713748.2	57	381	96.0	20.0
176	rna-XM_713748.2	XM_713748.2	58	380	25.0	20.0
177	rna-XM_713748.2	XM_713748.2	59	379	26.0	20.0
178	rna-XM_713748.2	XM_713748.2	60	378	61.0	20.0
179	rna-XM_713748.2	XM_713748.2	61	377	26.0	20.0
180	rna-XM_713748.2	XM_713748.2	62	376	51.0	20.0
181	rna-XM_713748.2	XM_713748.2	63	375	21.0	20.0
182	rna-XM_713748.2	XM_713748.2	66	372	31.0	20.0
183	rna-XM_713748.2	XM_713748.2	69	369	26.0	20.0
184	rna-XM_713748.2	XM_713748.2	106	332	23.0	20.0
185	rna-XM_713748.2	XM_713748.2	118	320	29.0	20.0
186	rna-XM_713748.2	XM_713748.2	127	311	33.0	20.0
187	rna-XM_713748.2	XM_713748.2	128	310	25.0	20.0
188	rna-XM_713748.2	XM_713748.2	133	305	33.0	20.0
189	rna-XM_713748.2	XM_713748.2	142	296	33.0	20.0
190	rna-XM_713748.2	XM_713748.2	144	294	84.0	20.0
191	rna-XM_713748.2	XM_713748.2	145	293	27.0	20.0
192	rna-XM_713748.2	XM_713748.2	148	290	22.0	20.0
193	rna-XM_713748.2	XM_713748.2	153	285	23.0	20.0
194	rna-XM_713748.2	XM_713748.2	154	284	22.0	20.0
195	rna-XM_713748.2	XM_713748.2	156	282	51.0	20.0
196	rna-XM_713748.2	XM_713748.2	157	281	37.0	20.0
197	rna-XM_713748.2	XM_713748.2	161	277	28.0	20.0
198	rna-XM_713748.2	XM_713748.2	179	259	22.0	20.0
199	rna-XM_713748.2	XM_713748.2	195	243	31.0	20.0
200	rna-XM_713748.2	XM_713748.2	206	232	24.0	20.0
