	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	1406326	1247057	1060786	0.28538598149698535	0.0	37.86381287442763	-9	1.056435705519204	3714169	144976	0.050268059796300904	0.05775618417708859
ARG	1143196	1022362	807948	0.32098475484418343	0.0	38.446063333990246	-18	1.1886308209615848	2973506	108585	0.03765007499849171	0.061735067638389145
ASN	1325754	1154110	931995	0.34600132640602266	0.0	38.8572329630269	-21	1.035667250485384	3411859	192939	0.0668984465638347	0.03986612247007915
ASP	1583170	1404878	1151215	0.3088758519073199	0.0	38.247630073276326	-9	1.1509610465079556	4139263	170558	0.05913820041067135	0.054712161351994124
CYS	211997	195279	155520	0.2733992139570132	0.0	37.66853353613032	-18	1.0829445699703297	562796	30413	0.010545210949294363	0.041718115769903905
GLN	1016343	902149	763624	0.28719555787232703	0.0	37.89332750708769	-21	1.064652386054708	2682116	129955	0.04505977341648469	0.04652833461681469
GLU	2037502	1786838	1514618	0.3036990568571343	0.0	38.16291493583579	-9	1.0613407986838785	5338958	186988	0.06483503452427102	0.06436884445163872
GLY	1404607	1289711	1035086	0.2730617837371549	0.0	37.66304213756408	-15	1.0640848294220375	3729404	145978	0.050615486928487566	0.05759502457205326
HIS	450146	406341	328017	0.2939094505946799	0.0	38.00291092305302	-15	1.075471069386377	1184504	60282	0.020901798784906545	0.04429776591317059
ILE	1414369	1260436	1040552	0.29790509963208855	0.0	38.06818564137982	-15	1.0293848352162696	3715357	204358	0.0708577982828362	0.040986596054964845
LEU	2092637	1819715	1494418	0.3366905749571317	0.0	38.70401367174857	-18	1.174327415600508	5406770	276832	0.09598697390967866	0.044030594556446576
LYS	2025751	1777058	1441834	0.33189268030398583	0.0	38.62514569628476	-12	1.1026888299697248	5244643	211220	0.07323708469108457	0.055977543728342745
PHE	832809	752729	621052	0.2779055281316134	0.0	37.74190039835221	-15	1.050583026840488	2206590	125769	0.04360834629539351	0.039553141475494234
PRO	1048571	899475	749317	0.3470151413565034	0.0	38.8739298344346	-12	1.22265540435507	2697363	129286	0.044827808594695394	0.04703496680052291
SER	1722264	1510600	1252749	0.31788852520022587	0.0	38.39528733308023	-9	1.0353952704115048	4485613	246632	0.08551561723099882	0.04100202648489539
THR	1253412	1081291	927167	0.3197724177879195	0.0	38.426178848329336	-6	1.0419622598156073	3261870	177198	0.06144051194532149	0.041499300604810135
TRP	235446	207242	166180	0.3345892870119159	0.0	38.66946530282426	-18	1.1759639152926786	608868	27564	0.009557366738116918	0.049798223865407554
TYR	725454	655268	529982	0.2917646500124942	0.0	37.967890369204234	-27	1.0308413765724636	1910704	101664	0.03525033130401677	0.04237006833776076
VAL	1364261	1218425	1032048	0.27789142004355105	0.0	37.74167061808698	-9	1.048207051290039	3614734	155703	0.05398747181922139	0.05233741981144898
TERM	36190	34184	20151	0.41370929531752104	0.0	39.97790665562	-18	3.785023487151147	90525	5886	0.0020408743513479965	0.03467218574307145
MET	366546	318702	273603	0.30765399711974367	0.0	38.22762869309205	-6	1.0653533253670753	958851	51272	0.017777728464545443	0.04216031157570222
