	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713978.2	XM_713978.2	8	760	33.0	21.0
1	rna-XM_713978.2	XM_713978.2	9	759	125.0	21.0
2	rna-XM_713978.2	XM_713978.2	17	751	35.0	21.0
3	rna-XM_713978.2	XM_713978.2	251	517	91.0	21.0
4	rna-XM_713978.2	XM_713978.2	263	505	28.0	21.0
5	rna-XM_713978.2	XM_713978.2	355	413	22.0	21.0
6	rna-XM_713975.2	XM_713975.2	73	1466	25.0	21.0
7	rna-XM_713957.1	XM_713957.1	0	1203	87.0	21.0
8	rna-XM_713957.1	XM_713957.1	1	1202	23.0	21.0
9	rna-XM_713957.1	XM_713957.1	19	1184	22.0	21.0
10	rna-XM_713957.1	XM_713957.1	28	1175	25.0	21.0
11	rna-XM_713957.1	XM_713957.1	40	1163	33.0	21.0
12	rna-XM_713957.1	XM_713957.1	43	1160	24.0	21.0
13	rna-XM_713957.1	XM_713957.1	47	1156	34.0	21.0
14	rna-XM_713957.1	XM_713957.1	50	1153	26.0	21.0
15	rna-XM_713957.1	XM_713957.1	55	1148	51.0	21.0
16	rna-XM_713957.1	XM_713957.1	89	1114	27.0	21.0
17	rna-XM_713957.1	XM_713957.1	298	905	36.0	21.0
18	rna-XM_713954.1	XM_713954.1	91	512	355.0	21.0
19	rna-XM_713954.1	XM_713954.1	101	502	25.0	21.0
20	rna-XM_713954.1	XM_713954.1	127	476	51.0	21.0
21	rna-XM_713954.1	XM_713954.1	291	312	24.0	21.0
22	rna-XM_713954.1	XM_713954.1	349	254	22.0	21.0
23	rna-XM_713954.1	XM_713954.1	369	234	45.0	21.0
24	rna-XM_713943.1	XM_713943.1	486	261	24.0	21.0
25	rna-XM_713929.2	XM_713929.2	248	2008	25.0	21.0
26	rna-XM_713910.2	XM_713910.2	1274	2629	28.0	21.0
27	rna-XM_713900.2	XM_713900.2	1134	1392	28.0	21.0
28	rna-XM_019475060.1	XM_019475060.1	1637	2599	32.0	21.0
29	rna-XM_019475060.1	XM_019475060.1	2611	1625	42.0	21.0
30	rna-XM_713051.1	XM_713051.1	903	624	23.0	21.0
31	rna-XM_019475064.1	XM_019475064.1	64	200	26.0	21.0
32	rna-XM_019475064.1	XM_019475064.1	206	58	43.0	21.0
33	rna-XM_713064.2	XM_713064.2	4	746	33.0	21.0
34	rna-XM_713064.2	XM_713064.2	43	707	25.0	21.0
35	rna-XM_713065.1	XM_713065.1	4	599	29.0	21.0
36	rna-XM_713065.1	XM_713065.1	587	16	26.0	21.0
37	rna-XM_713079.2	XM_713079.2	3664	41	27.0	21.0
38	rna-XM_019475067.1	XM_019475067.1	81	708	23.0	21.0
39	rna-XM_019475067.1	XM_019475067.1	339	450	68.0	21.0
40	rna-XM_019475067.1	XM_019475067.1	353	436	31.0	21.0
41	rna-XM_019475067.1	XM_019475067.1	364	425	108.0	21.0
42	rna-XM_019475067.1	XM_019475067.1	365	424	34.0	21.0
43	rna-XM_019475067.1	XM_019475067.1	412	377	36.0	21.0
44	rna-XM_019475067.1	XM_019475067.1	757	32	32.0	21.0
45	rna-XM_019475068.1	XM_019475068.1	2762	298	26.0	21.0
46	rna-XM_707863.2	XM_707863.2	308	3517	75.0	21.0
47	rna-XM_708679.2	XM_708679.2	1070	643	29.0	21.0
48	rna-XM_716341.2	XM_716341.2	36	627	67.0	21.0
49	rna-XM_716341.2	XM_716341.2	63	600	37.0	21.0
50	rna-XM_716341.2	XM_716341.2	147	516	175.0	21.0
51	rna-XM_716341.2	XM_716341.2	221	442	22.0	21.0
52	rna-XM_716341.2	XM_716341.2	296	367	24.0	21.0
53	rna-XM_716341.2	XM_716341.2	307	356	66.0	21.0
54	rna-XM_716341.2	XM_716341.2	346	317	35.0	21.0
55	rna-XM_716341.2	XM_716341.2	440	223	29.0	21.0
56	rna-XM_716341.2	XM_716341.2	559	104	23.0	21.0
57	rna-XM_716354.1	XM_716354.1	220	530	33.0	21.0
58	rna-XM_716371.1	XM_716371.1	216	837	77.0	21.0
59	rna-XM_716388.2	XM_716388.2	80	1033	26.0	21.0
60	rna-XM_716397.1	XM_716397.1	141	180	46.0	21.0
61	rna-XM_716399.1	XM_716399.1	353	256	51.0	21.0
62	rna-XM_716399.1	XM_716399.1	428	181	184.0	21.0
63	rna-XM_716399.1	XM_716399.1	475	134	76.0	21.0
64	rna-XM_716399.1	XM_716399.1	517	92	40.0	21.0
65	rna-XM_716399.1	XM_716399.1	522	87	202.0	21.0
66	rna-XM_716399.1	XM_716399.1	539	70	23.0	21.0
67	rna-XM_716399.1	XM_716399.1	545	64	35.0	21.0
68	rna-XM_716403.1	XM_716403.1	532	98	40.0	21.0
69	rna-XM_716407.2	XM_716407.2	552	219	31.0	21.0
70	rna-XM_716407.2	XM_716407.2	668	103	36.0	21.0
71	rna-XM_716407.2	XM_716407.2	676	95	22.0	21.0
72	rna-XM_019475081.1	XM_019475081.1	533	739	23.0	21.0
73	rna-XM_019475082.1	XM_019475082.1	475	719	25.0	21.0
74	rna-XM_716439.1	XM_716439.1	545	1324	36.0	21.0
75	rna-XM_716442.2	XM_716442.2	529	1361	53.0	21.0
76	rna-XM_716442.2	XM_716442.2	582	1308	31.0	21.0
77	rna-XM_716442.2	XM_716442.2	583	1307	22.0	21.0
78	rna-XM_716442.2	XM_716442.2	616	1274	36.0	21.0
79	rna-XM_716442.2	XM_716442.2	626	1264	57.0	21.0
80	rna-XM_716442.2	XM_716442.2	1697	193	24.0	21.0
81	rna-XM_716442.2	XM_716442.2	1833	57	50.0	21.0
82	rna-XM_716469.1	XM_716469.1	109	398	24.0	21.0
83	rna-XM_708542.1	XM_708542.1	74	1207	28.0	21.0
84	rna-XM_708542.1	XM_708542.1	134	1147	89.0	21.0
85	rna-XM_708542.1	XM_708542.1	168	1113	36.0	21.0
86	rna-XM_708542.1	XM_708542.1	178	1103	1102.0	21.0
87	rna-XM_708542.1	XM_708542.1	179	1102	42.0	21.0
88	rna-XM_708542.1	XM_708542.1	180	1101	25.0	21.0
89	rna-XM_708542.1	XM_708542.1	194	1087	34.0	21.0
