	count	F	f_count	f_perc	fpi
0	175	0	65	37.142857142857146	0.24100809950379498
1	0	0	0		
2	304	1	102	33.55263157894737	0.014213859219700866
3	528	2	188	35.60606060606061	0.14519791553993572
4	140	0	55	39.285714285714285	0.3719687773869579
5	88	2	32	36.36363636363637	0.19264507794239583
6	9	0	5	55.55555555555556	1.3219280948873624
7	49	1	22	44.89795918367347	0.7045441164738286
8	93	1	34	36.55913978494624	0.2048197918884982
9	20	2	8	40.0	0.4150374992788437
10	145	0	62	42.758620689655174	0.5791568790399504
11	266	1	92	34.58646616541353	0.08061846020828463
12	119	2	43	36.134453781512605	0.1783372412585124
13	3392	1	1148	33.84433962264151	0.03304996606689498
14	22	2	8	36.36363636363637	0.19264507794239583
15	1532	1	556	36.29242819843342	0.18820373516062122
16	0	0	0		
17	2	0	1	50.0	1.0
18	295	0	109	36.94915254237288	0.22902551366889504
19	107	0	41	38.31775700934579	0.31315788525963023
20	64	0	25	39.0625	0.3584539709124765
21	20	1	7	35.0	0.1069152039165119
22	0	0	0		
23	22	0	9	40.909090909090914	0.4694852833012202
24	7	0	5	71.42857142857143	2.321928094887362
25	53	0	19	35.84905660377358	0.16046467219324612
26	19	0	10	52.63157894736842	1.15200309344505
27	615	0	228	37.073170731707314	0.23670025802033148
28	40	2	16	40.0	0.4150374992788437
29	19	0	11	57.89473684210527	1.4594316186372973
30	2	0	2	100.0	2.0
31	70	2	26	37.142857142857146	0.24100809950379498
32	137	0	52	37.95620437956204	0.2910487820033905
33	123	1	42	34.146341463414636	0.05246741989413548
34	10	0	6	60.0	1.584962500721156
35	24	0	9	37.5	0.2630344058337938
36	47	2	20	42.5531914893617	0.5670405927238937
37	505	2	200	39.603960396039604	0.391190757324476
38	43	2	18	41.86046511627907	0.5260688116675876
39	30	1	11	36.666666666666664	0.21150410519371185
40	15	2	8	53.333333333333336	1.1926450779423958
41	789	1	275	34.85424588086185	0.09766325921814381
42	9	0	4	44.44444444444444	0.6780719051126377
43	180	1	68	37.77777777777778	0.2801079191927352
44	27	0	10	37.03703703703704	0.23446525363702297
45	59	0	23	38.983050847457626	0.3536369546147004
46	27	2	10	37.03703703703704	0.23446525363702297
47	89	0	39	43.82022471910113	0.6415460290875237
48	25	2	13	52.0	1.1154772174199359
49	351	1	122	34.75783475783476	0.0915335494659424
50	216	0	87	40.27777777777778	0.43171624042547413
51	2	0	1	50.0	1.0
52	463	0	158	34.12526997840173	0.051115315726854293
53	111	2	50	45.04504504504504	0.7131188522118385
