	count	period	signal
0	1042		
1	28	171.0	26.77223129148054
2	523		
3	1636	580.0	564.4613182901962
4	640	430.0	239.15270213201
5	792		
6	42	2.190909090909091	16.976898302470588
7	516		
8	678		
9	252	98.0	78.07859443224928
10	805		
11	1182		
12	2256	690.0	635.8251907982547
13	5485		
14	413	647.0	157.4261470423831
15	8213		
16	3	2.019230769230769	2.995907294491813
17	118	183.0	92.83288273095393
18	2305		
19	1231	612.0	471.98532842212563
20	433		
21	35	367.0	22.149321805629498
22	0		
23	46		
24	147		
25	226		
26	316		
27	2616		
28	116		
29	121		
30	22	3.018633540372671	10.158007903015639
31	491		
32	130		
33	498		
34	138		
35	271	391.0	93.39759885650385
36	474	375.6	211.7494743548613
37	1656		
38	633		
39	399		
40	294		
41	2109		
42	194		
43	689		
44	240		
45	437		
46	247	3.0	67.65886290666494
47	611	790.0	320.96597361273683
48	104		
49	1098		
50	532		
51	358		
52	3899		
53	489	801.5	201.62470645644623
54	740		
55	435		
56	37	3.2833052276559864	16.614961419772786
57	2624	1368.0	1240.72957325041
58	1805		
59	611		
60	178		
61	31		
62	364	1081.0	129.88908108939134
63	735		
64	551		
65	331		
66	527		
67	805		
68	358		
69	136		
70	7	639.75	6.706737388373827
71	255		
72	1339		
73	89		
74	249		
75	147		
76	473		
77	52		
78	133	3.0	48.41891896411233
79	719		
80	82	5.25	28.56521810232352
81	550	784.0	241.58462566799736
82	1228		
83	522		
84	592		
85	2244		
86	345		
87	766	721.0	121.83974334776134
88	1423		
89	132		
90	757		
91	830		
92	470		
93	661		
94	1212		
95	205		
96	283		
97	2220		
98	1064		
99	367		
100	412		
101	1453		
102	1177		
103	1319		
104	733		
105	378		
106	1084		
107	316		
108	1	3.886756238003839	1.0000000000000002
109	344		
110	210	177.0	80.66264357482223
111	378		
112	38		
113	85		
114	667		
115	23	2.4402985074626864	11.6378036294395
116	412		
117	62	5.967391304347826	24.310891761061285
118	215	618.75	74.33101564976371
119	536		
120	2773		
121	474		
122	292		
123	7949		
124	2585		
125	4616		
126	341		
127	455		
128	231		
129	1051		
130	7	15.0	6.301370209373002
131	1056		
132	402		
133	736		
134	4752		
135	1644		
136	21	2.2953216374269005	11.197564124044266
137	123		
138	3411		
139	169		
140	670		
141	1478	691.2857142857143	386.2932480425621
142	1032		
143	977		
144	2771	781.2	786.5024130570266
145	2253		
146	17	13.296296296296296	10.521405656402873
147	49		
148	192		
149	4747	330.0	2530.416875657407
150	779		
151	635		
152	1328		
153	1533		
154	2715		
155	1801		
156	14		
157	285		
158	115		
159	154		
160	200		
161	3051		
162	1131		
163	60		
164	861		
165	61		
166	225		
167	791		
168	1032		
169	924		
170	160		
171	408		
172	520		
173	1067		
174	425		
175	218	434.0	88.42193933534428
176	933		
177	338		
178	0		
179	4	2.0231023102310233	3.9480958712203056
180	1	4.861660079051384	1.0000000000000007
181	195		
182	170		
183	68		
184	266		
185	236	892.0	114.65663452955032
186	889		
187	582		
188	3	4.003344481605351	3.0000000000000004
189	300		
190	188	563.0	67.21867227865398
191	149	606.0	74.21171026348482
192	4	12.178807947019868	3.980941555389267
193	14150		
194	173	349.8	42.89328180265102
195	249		
196	40		
197	17	2.056537102473498	11.165897618750716
198	330		
199	825		
200	42	3.193846153846154	16.899384187160017
201	1113		
202	69		
203	1203		
204	646	943.0	241.66256340435544
205	565		
206	432	447.0	94.61925075972349
207	1	2.0037105751391464	1.0
208	507		
209	387		
210	254		
211	78	6.593023255813954	34.50920134751028
212	287		
213	2672	195.0	1046.3134150393043
214	1574		
215	16		
216	957	1277.0	474.9923182912832
217	47	11.166666666666666	17.807093741479697
218	501		
219	986	512.0	467.9176383309999
220	651		
221	7185	982.5	2010.8441740921774
222	1591		
223	361		
224	887		
225	6206		
226	166		
227	983		
228	525		
229	208		
230	364		
231	2	8.38961038961039	1.9999973694872641
232	957		
233	36		
234	7	7.1375	6.173179584377184
235	3156		
236	2806		
237	663	1143.75	280.70446598107526
238	601		
239	42		
240	1285		
241	537		
242	641		
243	10	2.023094688221709	9.117830484051867
244	46	4.857651245551601	20.122975953820458
245	1	168.0	1.0000000000000007
246	30		
247	1988		
248	348		
249	5	6.980769230769231	4.75266655974681
250	267		
251	892		
252	626		
253	475		
254	767		
255	2009		
256	15	20.1	8.120106057453619
257	492	460.0	158.6798039035341
258	2213	1472.0	1014.9201477678986
259	595	394.2	230.5883738231331
260	665	639.0	249.82524225634253
261	469	747.0	299.62680333569364
262	988		
263	202		
264	1572		
265	673		
266	386		
267	343		
268	670		
269	226		
270	212		
271	14		
272	463	663.0	159.97456521832402
273	835		
274	988		
275	75	5.111111111111111	24.078551867650518
276	77		
277	2649		
278	8568		
279	3977		
280	173		
281	288	559.5	83.03279603417465
282	1661		
283	763	523.8	181.813546211725
284	541		
285	5494		
286	1302		
287	1981		
288	744		
289	904	652.0	309.42997490625345
290	82		
291	203		
292	657		
293	182		
294	162		
295	3062		
296	217	485.57142857142856	82.38854370249652
297	1730		
298	1949		
299	884		
300	156		
301	516		
302	378		
303	38	20.49230769230769	18.50067007969593
304	1339		
305	1270		
306	952		
307	489		
308	56	570.0	27.56292480219263
309	118		
310	1474		
311	1932	690.0	463.00732418824117
312	2450		
313	14464		
314	1861		
315	689		
316	479	717.0	164.85420131860192
317	1051		
318	182		
319	399		
320	768	957.75	234.87819775924052
321	746		
322	1	2.3113342898134865	1.0000000000000002
323	506	1026.0	234.0046214702248
324	504		
325	550		
326	845		
327	1758		
328	320		
329	430		
330	292		
331	327		
332	0		
333	264		
334	61		
335	1482		
336	237	748.2	73.70195430043323
337	751		
338	1426		
339	39		
340	373		
341	533		
342	244		
343	979	677.5	485.77844650535246
344	354	329.0	127.44586898955521
345	370	683.0	115.40266042358179
346	191		
347	427	188.25	141.21365719645547
348	1024		
349	654		
350	780		
351	8671		
352	754		
353	47	3.2242990654205608	22.026482280300982
