	count	F	f_count	f_perc	fpi
0	114	2	48	42.10526315789473	0.5405683813627027
1	3	1	2	66.66666666666666	2.0
2	274	2	100	36.496350364963504	0.20091269392599634
3	551	1	208	37.74954627949184	0.27837495196827994
4	125	2	46	36.8	0.21978120787990993
5	129	2	52	40.310077519379846	0.4336531774461908
6	20	0	8	40.0	0.4150374992788437
7	74	1	27	36.486486486486484	0.20029865048583131
8	120	1	53	44.166666666666664	0.6618312641054267
9	21	0	10	47.61904761904761	0.8624964762500651
10	135	0	55	40.74074074074074	0.45943161863729726
11	300	1	107	35.66666666666667	0.14900994913306645
12	171	0	60	35.08771929824561	0.11247472925841266
13	3099	2	1063	34.30138754436915	0.0624040354554094
14	24	2	12	50.0	1.0
15	1628	1	589	36.17936117936118	0.18114388492624905
16	0	0	0		
17	2	1	1	50.0	1.0
18	259	2	97	37.45173745173745	0.26006283930250296
19	103	0	38	36.89320388349515	0.2255597004151311
20	66	1	28	42.42424242424242	0.5594274086140185
21	17	1	8	47.05882352941176	0.8300749985576875
22	0	0	0		
23	20	1	10	50.0	1.0
24	15	1	7	46.666666666666664	0.8073549220576041
25	51	1	19	37.254901960784316	0.24792751344358552
26	22	0	9	40.909090909090914	0.4694852833012202
27	679	0	243	35.7879234167894	0.15662817882885466
28	30	1	12	40.0	0.4150374992788437
29	15	0	8	53.333333333333336	1.1926450779423958
30	0	0	0		
31	97	2	35	36.08247422680412	0.1750867065580914
32	129	1	55	42.63565891472868	0.5719063478957097
33	82	2	36	43.90243902439025	0.6463630453852995
34	18	0	12	66.66666666666666	2.0
35	18	1	9	50.0	1.0
36	45	0	15	33.33333333333333	0.0
37	540	1	187	34.629629629629626	0.08337008661645645
38	43	2	15	34.883720930232556	0.09953567355091437
39	32	1	14	43.75	0.6374299206152918
40	29	1	13	44.827586206896555	0.7004397181410922
41	682	1	241	35.33724340175953	0.128254490672441
42	19	1	7	36.84210526315789	0.22239242133644802
43	176	1	64	36.36363636363637	0.19264507794239583
44	28	2	13	46.42857142857143	0.7935491225325737
45	46	0	18	39.130434782608695	0.3625700793847084
46	40	0	15	37.5	0.2630344058337938
47	112	0	50	44.642857142857146	0.6896598793878495
48	20	0	7	35.0	0.1069152039165119
49	382	1	134	35.07853403141361	0.11189288007089714
50	249	0	97	38.95582329317269	0.3519853287435423
51	7	2	6	85.71428571428571	3.584962500721156
52	472	0	166	35.16949152542373	0.11765158865427289
53	83	2	33	39.75903614457831	0.40053792958372886
54	85	0	38	44.70588235294118	0.693338661765948
55	29	0	13	44.827586206896555	0.7004397181410922
56	5	2	4	80.0	3.0
57	582	2	206	35.39518900343643	0.13191167550558097
58	361	1	124	34.34903047091413	0.06545306148861625
59	55	0	21	38.18181818181819	0.30485458152842093
60	12	0	4	33.33333333333333	0.0
61	6	1	4	66.66666666666666	2.0
62	45	1	17	37.77777777777778	0.2801079191927352
63	80	0	41	51.24999999999999	1.0721497857558355
64	69	0	28	40.57971014492754	0.44980291743952056
65	59	0	23	38.983050847457626	0.3536369546147004
66	45	0	19	42.22222222222222	0.5474877953024933
67	583	0	233	39.96569468267582	0.4129750328219514
68	45	1	18	40.0	0.4150374992788437
69	5	1	2	40.0	0.4150374992788437
70	0	0	0		
71	43	0	15	34.883720930232556	0.09953567355091437
72	275	1	110	40.0	0.4150374992788437
73	20	1	9	45.0	0.7104933828050152
74	28	2	11	39.285714285714285	0.3719687773869579
75	15	0	10	66.66666666666666	2.0
76	235	0	95	40.42553191489361	0.4405725913859815
77	1	1	1	100.0	1.0
78	6	0	2	33.33333333333333	0.0
79	146	1	54	36.986301369863014	0.2313255461064558
80	14	0	7	50.0	1.0
81	40	1	16	40.0	0.4150374992788437
82	130	0	51	39.23076923076923	0.3686445937943926
83	47	0	17	36.17021276595745	0.18057224564182084
84	95	1	36	37.89473684210527	0.28728195208047125
85	974	1	353	36.24229979466119	0.18507491505069879
86	27	1	11	40.74074074074074	0.45943161863729726
87	169	1	68	40.23668639053255	0.4292513584985448
88	662	0	263	39.72809667673716	0.39867405306995657
89	7	1	6	85.71428571428571	3.584962500721156
90	30	2	12	40.0	0.4150374992788437
91	259	0	102	39.38223938223938	0.3778045930798685
92	83	1	33	39.75903614457831	0.40053792958372886
93	128	0	50	39.0625	0.3584539709124765
94	214	2	81	37.850467289719624	0.2845675673834352
95	40	0	16	40.0	0.4150374992788437
96	25	1	12	48.0	0.8845227825800641
97	224	2	82	36.607142857142854	0.20780488511340164
98	151	1	64	42.384105960264904	0.5570565041512716
99	66	1	27	40.909090909090914	0.4694852833012202
100	13	1	6	46.15384615384615	0.777607578663552
101	661	0	265	40.09077155824508	0.420491929370952
102	208	0	73	35.09615384615385	0.11300896182918635
103	206	0	84	40.77669902912621	0.461580085215874
104	28	0	13	46.42857142857143	0.7935491225325737
105	68	1	26	38.23529411764706	0.30812229536233193
106	123	0	48	39.02439024390244	0.35614381022527536
107	36	0	14	38.88888888888889	0.3479233034203068
108	0	0	0		
109	25	0	12	48.0	0.8845227825800641
110	13	0	8	61.53846153846154	1.6780719051126378
111	59	0	28	47.45762711864407	0.8531586116707288
112	0	0	0		
113	12	1	5	41.66666666666667	0.5145731728297582
114	118	1	47	39.83050847457627	0.4048417321729553
115	1	0	1	100.0	1.0
116	32	0	14	43.75	0.6374299206152918
117	1	0	1	100.0	1.0
118	38	0	16	42.10526315789473	0.5405683813627027
119	82	0	30	36.58536585365854	0.20645087746742624
120	817	0	298	36.4749082007344	0.19957779210428078
121	34	0	15	44.11764705882353	0.658963082164933
122	2	1	1	50.0	1.0
123	1495	1	515	34.448160535117054	0.07179068306801009
124	206	2	74	35.92233009708738	0.16505924627049623
125	481	2	175	36.38253638253639	0.19382326913967696
126	49	2	18	36.734693877551024	0.21572869105543724
127	108	0	41	37.96296296296296	0.2914628141603112
128	25	1	15	60.0	1.584962500721156
129	90	1	39	43.333333333333336	0.6129768768907526
130	0	0	0		
131	129	1	56	43.41085271317829	0.6175303631775868
132	47	0	18	38.297872340425535	0.3119440063147403
133	129	0	61	47.286821705426355	0.8432744963125469
134	800	1	279	34.875	0.0989817495506793
135	154	0	62	40.25974025974026	0.43063435432986236
136	2	1	1	50.0	1.0
137	17	2	8	47.05882352941176	0.8300749985576875
138	537	0	199	37.05772811918063	0.23574518426146457
139	33	1	15	45.45454545454545	0.7369655941662062
140	54	2	21	38.88888888888889	0.3479233034203068
141	615	1	217	35.28455284552845	0.1249266119008304
142	47	1	17	36.17021276595745	0.18057224564182084
143	57	2	22	38.59649122807017	0.3301486016923308
144	1006	0	351	34.890656063618295	0.09997612387974797
145	171	0	69	40.35087719298245	0.43609911480667357
146	0	0	0		
147	1	2	1	100.0	1.0
148	20	1	10	50.0	1.0
149	992	0	365	36.79435483870967	0.21943102096534067
150	27	1	14	51.85185185185185	1.106915203916512
151	91	0	36	39.56043956043956	0.3885652879176527
152	62	1	30	48.38709677419355	0.9068905956085185
153	128	1	51	39.84375	0.40563880127659424
154	669	0	226	33.78176382660688	0.029016073860169286
155	165	1	59	35.75757575757576	0.15472259479864203
156	7	0	4	57.14285714285714	1.4150374992788437
157	11	1	5	45.45454545454545	0.7369655941662062
158	27	1	12	44.44444444444444	0.6780719051126377
159	5	0	4	80.0	3.0
160	33	1	18	54.54545454545454	1.263034405833794
161	757	1	281	37.12021136063408	0.2396085569129826
162	243	2	122	50.20576131687243	1.0118741002882918
163	5	2	4	80.0	3.0
164	55	0	23	41.81818181818181	0.5235619560570128
165	5	0	3	60.0	1.584962500721156
166	10	1	6	60.0	1.584962500721156
167	87	2	32	36.7816091954023	0.2186402864753403
168	198	0	68	34.34343434343434	0.06509502822188498
169	92	2	33	35.869565217391305	0.16175106999661207
170	18	2	9	50.0	1.0
171	71	2	27	38.028169014084504	0.2954558835261713
172	51	0	22	43.13725490196079	0.601450623509725
173	165	0	62	37.57575757575757	0.2676957832036567
174	782	0	282	36.0613810741688	0.1737670677367064
175	3	1	2	66.66666666666666	2.0
176	65	1	24	36.92307692307693	0.2274104961030724
177	8	2	5	62.5	1.736965594166206
178	0	0	0		
179	28	1	13	46.42857142857143	0.7935491225325737
180	0	0	0		
181	6	1	3	50.0	1.0
182	27	0	15	55.55555555555556	1.3219280948873624
183	11	1	5	45.45454545454545	0.7369655941662062
184	5	0	3	60.0	1.584962500721156
185	72	0	25	34.72222222222222	0.0892673380970873
186	81	0	30	37.03703703703704	0.23446525363702297
187	69	1	28	40.57971014492754	0.44980291743952056
188	0	0	0		
189	25	0	12	48.0	0.8845227825800641
190	44	0	25	56.81818181818182	1.3959286763311394
191	12	2	5	41.66666666666667	0.5145731728297582
192	7	0	3	42.857142857142854	0.5849625007211562
193	374	0	125	33.42245989304813	0.005782352594006178
194	7	2	4	57.14285714285714	1.4150374992788437
195	11	2	7	63.63636363636363	1.8073549220576042
196	3	0	2	66.66666666666666	2.0
197	0	0	0		
198	13	1	7	53.84615384615385	1.222392421336448
199	103	0	38	36.89320388349515	0.2255597004151311
200	2	2	2	100.0	2.0
201	451	0	167	37.028824833702885	0.23395717296937016
202	9	2	6	66.66666666666666	2.0
203	463	0	169	36.50107991360691	0.20120709144581986
204	269	0	98	36.43122676579926	0.19685732922931026
205	36	0	15	41.66666666666667	0.5145731728297582
206	53	2	20	37.735849056603776	0.27753397552890896
207	0	0	0		
208	84	0	41	48.80952380952381	0.9312872499159858
209	37	2	15	40.54054054054054	0.44745897697122117
210	27	1	10	37.03703703703704	0.23446525363702297
211	9	1	4	44.44444444444444	0.6780719051126377
212	38	0	14	36.84210526315789	0.22239242133644802
213	319	2	122	38.24451410658307	0.30868551810650996
214	432	1	172	39.81481481481482	0.40389694167364343
215	8	1	4	50.0	1.0
216	118	0	53	44.91525423728814	0.7055526415347446
217	2	2	2	100.0	2.0
218	103	2	42	40.77669902912621	0.461580085215874
219	104	0	42	40.38461538461539	0.43812111239188495
220	44	1	19	43.18181818181818	0.6040713236688608
221	1164	1	401	34.450171821305844	0.07191917962038989
222	233	0	83	35.622317596566525	0.14622074085104392
223	34	1	14	41.17647058823529	0.48542682717024166
224	163	1	60	36.809815950920246	0.2203900684253001
225	1676	0	626	37.3508353221957	0.2538452343791333
226	24	1	12	50.0	1.0
227	178	1	64	35.95505617977528	0.16710998583525824
228	83	0	33	39.75903614457831	0.40053792958372886
229	24	0	11	45.83333333333333	0.7589919004962051
230	47	2	18	38.297872340425535	0.3119440063147403
231	0	0	0		
232	91	0	34	37.362637362637365	0.2545728270855977
233	0	0	0		
234	0	0	0		
235	117	1	43	36.75213675213676	0.21681138907314804
236	111	1	52	46.846846846846844	0.8177966687792508
237	185	1	67	36.21621621621622	0.1834461410959313
238	43	2	18	41.86046511627907	0.5260688116675876
239	6	1	4	66.66666666666666	2.0
240	70	0	29	41.42857142857143	0.5004289905094883
241	51	0	24	47.05882352941176	0.8300749985576875
242	32	0	13	40.625	0.4525122046975067
243	2	0	1	50.0	1.0
244	7	2	4	57.14285714285714	1.4150374992788437
245	0	0	0		
246	2	2	2	100.0	2.0
247	201	0	68	33.83084577114428	0.032180405749149724
248	59	0	26	44.06779661016949	0.6560455987826386
249	1	2	1	100.0	1.0
250	46	0	20	43.47826086956522	0.6214883767462702
251	162	0	55	33.95061728395062	0.03989272712351251
252	83	0	42	50.602409638554214	1.0347654181606767
253	22	0	8	36.36363636363637	0.19264507794239583
254	31	2	13	41.935483870967744	0.5305147166987798
255	303	2	110	36.303630363036305	0.18890267625657925
256	4	1	2	50.0	1.0
257	63	0	25	39.682539682539684	0.3959286763311393
258	152	1	56	36.84210526315789	0.22239242133644802
259	111	1	51	45.94594594594595	0.765534746362977
260	25	1	11	44.0	0.6520766965796931
261	53	1	22	41.509433962264154	0.5052353082504222
262	141	2	51	36.17021276595745	0.18057224564182084
263	21	1	9	42.857142857142854	0.5849625007211562
264	131	1	45	34.35114503816794	0.06558834162757689
265	38	2	15	39.473684210526315	0.38332863955150565
266	69	1	30	43.47826086956522	0.6214883767462702
267	153	1	65	42.48366013071895	0.5629361943911573
268	75	1	30	40.0	0.4150374992788437
269	19	1	7	36.84210526315789	0.22239242133644802
270	21	0	10	47.61904761904761	0.8624964762500651
271	1	1	1	100.0	1.0
272	87	1	32	36.7816091954023	0.2186402864753403
273	28	2	12	42.857142857142854	0.5849625007211562
274	10	0	6	60.0	1.584962500721156
275	1	2	1	100.0	1.0
276	6	2	3	50.0	1.0
277	489	1	179	36.60531697341513	0.20769137199001883
278	1886	0	650	34.4644750795334	0.07283288001144236
279	610	1	223	36.55737704918033	0.20471014377589442
280	16	1	7	43.75	0.6374299206152918
281	59	0	25	42.3728813559322	0.5563933485243854
282	508	1	177	34.84251968503937	0.0969181432757797
283	240	0	93	38.75	0.3394864662716671
284	94	1	36	38.297872340425535	0.3119440063147403
285	790	1	283	35.822784810126585	0.15881630582854173
286	250	0	95	38.0	0.29373120305671035
287	190	1	66	34.73684210526316	0.09019780897157814
288	116	0	42	36.206896551724135	0.18286405714981044
289	276	1	100	36.231884057971016	0.18442457113742758
290	1	2	1	100.0	1.0
291	11	0	4	36.36363636363637	0.19264507794239583
292	81	0	35	43.20987654320987	0.6057210608879536
293	13	1	6	46.15384615384615	0.777607578663552
294	10	0	6	60.0	1.584962500721156
295	546	0	197	36.08058608058608	0.174968593246724
296	42	2	18	42.857142857142854	0.5849625007211562
297	370	1	144	38.91891891891892	0.34974603902712464
298	414	2	151	36.473429951690825	0.1994857500327766
299	161	2	63	39.130434782608695	0.3625700793847084
300	10	0	4	40.0	0.4150374992788437
301	70	0	28	40.0	0.4150374992788437
302	51	0	24	47.05882352941176	0.8300749985576875
303	1	0	1	100.0	1.0
304	285	1	110	38.59649122807017	0.3301486016923308
305	279	1	101	36.200716845878134	0.1824780517853971
306	107	0	43	40.18691588785047	0.42626475470209796
307	46	0	17	36.95652173913043	0.22948184612276717
308	6	0	3	50.0	1.0
309	28	0	15	53.57142857142857	1.2064508774674263
310	111	2	46	41.44144144144144	0.5011941430285585
311	487	1	174	35.728952772073924	0.15292464891611
312	895	0	341	38.100558659217874	0.2998857629749841
313	3757	1	1309	34.841628959276015	0.09686153925258897
314	113	1	45	39.823008849557525	0.4043902550793353
315	26	1	10	38.46153846153847	0.32192809488736235
316	24	0	9	37.5	0.2630344058337938
317	137	1	56	40.87591240875913	0.46750491917297926
318	14	0	7	50.0	1.0
319	39	2	14	35.8974358974359	0.16349873228287956
320	120	1	49	40.833333333333336	0.4649627246105261
321	64	0	28	43.75	0.6374299206152918
322	0	0	0		
323	53	1	21	39.62264150943396	0.3923174227787603
324	18	2	8	44.44444444444444	0.6780719051126377
325	68	1	30	44.11764705882353	0.658963082164933
326	26	0	12	46.15384615384615	0.777607578663552
327	421	1	154	36.57957244655582	0.20609060900734735
328	41	0	14	34.146341463414636	0.05246741989413548
329	20	1	10	50.0	1.0
330	50	1	19	38.0	0.29373120305671035
331	76	0	28	36.84210526315789	0.22239242133644802
332	0	0	0		
333	24	2	12	50.0	1.0
334	4	2	2	50.0	1.0
335	131	2	49	37.404580152671755	0.25715783949712445
336	90	0	32	35.55555555555556	0.14201900487242788
337	48	0	23	47.91666666666667	0.8797057662822882
338	133	1	49	36.84210526315789	0.22239242133644802
339	3	1	2	66.66666666666666	2.0
340	37	0	15	40.54054054054054	0.44745897697122117
341	136	2	52	38.23529411764706	0.30812229536233193
342	36	0	14	38.88888888888889	0.3479233034203068
343	456	0	177	38.81578947368421	0.34348423825380986
344	30	2	13	43.333333333333336	0.6129768768907526
345	53	2	19	35.84905660377358	0.16046467219324612
346	38	1	18	47.368421052631575	0.84799690655495
347	4	0	3	75.0	2.584962500721156
348	111	0	42	37.83783783783784	0.28379296600059134
349	150	1	55	36.666666666666664	0.21150410519371185
350	169	0	70	41.42011834319527	0.4999263968653569
351	7074	2	2671	37.75798699462822	0.2788931316982165
352	51	1	20	39.21568627450981	0.3677317845004871
353	8	2	4	50.0	1.0
354	6	0	3	50.0	1.0
355	36	2	14	38.88888888888889	0.3479233034203068
356	66	0	25	37.878787878787875	0.28630418515664097
357	314	0	132	42.038216560509554	0.5365994791597571
358	6	1	3	50.0	1.0
359	0	0	0		
360	0	0	0		
361	6	2	4	66.66666666666666	2.0
362	432	1	171	39.58333333333333	0.3899465183160134
363	16	0	7	43.75	0.6374299206152918
364	141	0	54	38.297872340425535	0.3119440063147403
365	168	0	67	39.88095238095239	0.4078777077059778
366	0	0	0		
367	210	0	84	40.0	0.4150374992788437
368	11	2	5	45.45454545454545	0.7369655941662062
369	30	0	12	40.0	0.4150374992788437
370	58	1	26	44.827586206896555	0.7004397181410922
371	4	1	2	50.0	1.0
372	9	2	5	55.55555555555556	1.3219280948873624
373	30	0	14	46.666666666666664	0.8073549220576041
374	836	2	311	37.20095693779905	0.24459715757711747
375	0	0	0		
376	0	0	0		
377	19	0	7	36.84210526315789	0.22239242133644802
378	7	2	3	42.857142857142854	0.5849625007211562
379	129	0	65	50.3875968992248	1.0223678130284546
380	99	1	35	35.35353535353536	0.12928301694496647
381	2	0	2	100.0	2.0
382	555	1	207	37.2972972972973	0.250543461650597
383	1074	0	409	38.08193668528864	0.29874650255319685
384	5	0	2	40.0	0.4150374992788437
385	1	0	1	100.0	1.0
386	33	0	15	45.45454545454545	0.7369655941662062
387	307	2	125	40.71661237785016	0.4579896444633908
388	303	1	132	43.56435643564357	0.6265416044725556
389	49	0	21	42.857142857142854	0.5849625007211562
390	475	0	206	43.368421052631575	0.6150381646265943
391	667	2	240	35.98200899550225	0.16879833598802804
392	14	2	6	42.857142857142854	0.5849625007211562
393	179	1	66	36.87150837988827	0.2242151569432658
394	241	2	91	37.75933609958506	0.2789759497028154
395	320	1	125	39.0625	0.3584539709124765
396	1	0	1	100.0	1.0
397	27	0	13	48.148148148148145	0.8930847960834881
398	478	2	165	34.51882845188285	0.07630336731319735
399	2096	2	749	35.73473282442748	0.15328777299644786
400	3	2	2	66.66666666666666	2.0
401	22	0	11	50.0	1.0
402	495	1	200	40.4040404040404	0.43928504552552106
403	11	0	6	54.54545454545454	1.263034405833794
404	69	0	26	37.68115942028986	0.27417496343899417
405	71	2	29	40.845070422535215	0.46566357234881184
406	33	1	18	54.54545454545454	1.263034405833794
