Position	Raw_counts	CPM
-97	2431	2130
-96	2714	2378
-95	3958	3468
-94	2623	2299
-93	2952	2587
-92	4009	3513
-91	2405	2107
-90	2756	2415
-89	4137	3625
-88	2503	2193
-87	2811	2463
-86	4078	3574
-85	2446	2143
-84	2757	2416
-83	4130	3619
-82	2343	2053
-81	2895	2537
-80	4054	3552
-79	2684	2352
-78	2961	2595
-77	4178	3661
-76	2421	2122
-75	2703	2369
-74	3957	3467
-73	2614	2291
-72	2866	2511
-71	3902	3419
-70	2550	2235
-69	2656	2327
-68	4095	3588
-67	2517	2206
-66	2813	2465
-65	3999	3504
-64	2575	2256
-63	2781	2437
-62	3983	3490
-61	2655	2327
-60	2689	2356
-59	4034	3535
-58	2649	2321
-57	2759	2418
-56	3854	3377
-55	2429	2129
-54	2823	2474
-53	4132	3621
-52	2530	2217
-51	3005	2633
-50	4658	4082
-49	2643	2316
-48	2886	2529
-47	4493	3937
-46	2563	2246
-45	2643	2316
-44	3616	3169
-43	2207	1934
-42	2512	2201
-41	3368	2951
-40	2334	2045
-39	2518	2207
-38	3543	3105
-37	2186	1916
-36	2248	1970
-35	3234	2834
-34	2115	1853
-33	2425	2125
-32	3485	3054
-31	2160	1893
-30	2217	1943
-29	3123	2737
-28	1997	1750
-27	2272	1991
-26	3365	2949
-25	1959	1717
-24	2135	1871
-23	3007	2635
-22	2039	1787
-21	2081	1824
-20	2884	2527
-19	2247	1969
-18	6888	6036
-17	11788	10330
-16	3814	3342
-15	1985	1739
-14	1748	1532
-13	1697	1487
-12	1336	1171
-11	1634	1432
-10	1631	1429
-9	1359	1191
-8	1454	1274
-7	1407	1233
-6	1295	1135
-5	1375	1205
-4	1396	1223
-3	1121	982
-2	1493	1308
-1	1370	1201
0	1048	918
1	963	844
2	1307	1145
3	1849	1620
4	986	864
5	1104	967
6	1067	935
7	1082	948
8	1004	880
9	1022	896
10	959	840
11	1031	903
12	1152	1009
13	928	813
14	936	820
15	984	862
16	1033	905
17	1041	912
18	1064	932
19	1018	892
20	1080	946
21	917	804
22	947	830
23	1016	890
24	895	784
25	967	847
26	994	871
27	1021	895
28	946	829
29	925	811
30	912	799
31	1009	884
32	953	835
33	932	817
34	942	825
35	842	738
36	928	813
37	852	747
38	879	770
39	886	776
40	950	832
41	801	702
42	954	836
43	865	758
44	766	671
45	846	741
46	843	739
47	824	722
48	802	703
49	822	720
50	795	697
51	816	715
52	733	642
53	738	647
54	829	726
55	763	669
56	733	642
57	774	678
58	784	687
59	724	634
60	755	662
61	726	636
62	684	599
63	827	725
64	748	655
65	852	747
66	657	576
67	720	631
68	665	583
69	648	568
70	582	510
71	667	584
72	696	610
73	732	641
74	684	599
75	664	582
76	664	582
77	647	567
78	577	506
79	592	519
80	559	490
81	587	514
82	565	495
83	611	535
84	603	528
85	555	486
86	539	472
87	596	522
88	610	535
89	582	510
90	617	541
91	595	521
92	575	504
93	565	495
94	586	514
95	503	441
96	571	500
97	572	501
98	513	450
99	495	434
100	506	443
101	563	493
102	557	488
