	count	period	signal
0	205		
1	3	27.0	2.999949800806103
2	195	242.25	161.14187985515045
3	322		
4	109	80.625	32.95588536573527
5	78		
6	18	180.75	10.665109447699589
7	64		
8	110	26.823529411764707	35.2786519294733
9	20	11.454545454545455	11.213604573502117
10	90		
11	251		
12	126		
13	2759		
14	21	2.662551440329218	11.14450354415071
15	1530		
16	1	4.221105527638191	1.0000000000000007
17	4	4.990909090909091	3.9934303830129
18	253		
19	80	612.0	25.17849159061312
20	81	10.47887323943662	24.730568019966096
21	22	367.0	11.926450462244208
22	0		
23	22	3.6537162162162162	11.092989821153866
24	8	35.87755102040816	6.806801779597093
25	48		
26	19	12.295081967213115	12.643254294616407
27	587		
28	31	71.8	14.21947964875006
29	9	2.23589001447178	7.5562587569089
30	3	19.44	2.998601558218572
31	90		
32	100		
33	155		
34	13	4.0131578947368425	10.036035115661228
35	22	3.0467532467532465	11.825868800758705
36	32		
37	437		
38	35	130.8	15.60196144787685
39	40	174.0	20.86073310009791
40	27	14.682692307692308	14.995183147650517
41	658		
42	11	2.093283582089552	7.398877882353365
43	100		
44	23	6.389830508474576	11.57354089129423
45	65		
46	27	3.533422459893048	15.602409598018323
47	69		
48	13	2.0405797101449274	9.476751745756305
49	273		
50	209		
51	4	4.053763440860215	3.918011567763155
52	424	52.92857142857143	97.93996144880414
53	68	3.0513959390862944	24.8265077513729
54	75	658.0	21.75066978239205
55	28	4.430232558139535	15.045264016599564
56	2	4.223427331887201	1.999997393762561
57	532		
58	249		
59	42		
60	15	14.466666666666667	10.614251775419687
61	5	2.0008605851979344	5.0
62	31	3.0280112044817926	13.39320300490601
63	96	3.7549668874172184	30.257216456350747
64	36	9.123529411764705	15.436933408392267
65	39	5.261658031088083	20.439884432344407
66	43	202.875	17.11797128353483
67	385		
68	20	23.916666666666668	14.09471696261258
69	10		
70	0		
71	64		
72	298		
73	20	4.856502242152466	10.927087777551952
74	36		
75	12		
76	131		
77	4	2.125560538116592	3.9517244935070766
78	7	2.2444029850746268	6.174018040883499
79	128		
80	9	2.088	7.516878335070396
81	31	5.640287769784172	16.000986616134156
82	138		
83	53		
84	68		
85	742		
86	34	3.130434782608696	17.127963785257577
87	168		
88	491		
89	11	34.73684210526316	8.923383190466447
90	38		
91	212		
92	74		
93	105		
94	185		
95	21		
96	21		
97	284		
98	159		
99	44		
100	31	4.473684210526316	14.9948785963232
101	559		
102	274	577.0	153.775903899218
103	168		
104	24	4.47378640776699	12.525418642292092
105	56		
106	101		
107	39		
108	1	4.34549356223176	1.0000000000000002
109	28		
110	24	2.7022900763358777	14.647861801297658
111	34		
112	0		
113	16	2.2024647887323945	9.719939226849762
114	90		
115	1	2.782978723404255	1.0000000000000004
116	32		
117	8	137.25	7.927286969229794
118	35	9.744094488188976	15.131393424390115
119	72		
120	604		
121	29		
122	9	3.077809798270893	7.693884024268818
123	1174		
124	171		
125	553		
126	50	3.2408376963350785	20.224274081174368
127	58	18.577981651376145	19.38446663321092
128	32		
129	82		
130	0		
131	71	34.58181818181818	27.794528679612505
132	53	3.7411764705882353	21.260185318435095
133	115	15.121212121212121	32.0681908700288
134	1633		
135	161		
136	1	2.247137404580153	1.0000000000000002
137	19	3.1241379310344826	12.084528215875846
138	388		
139	21	15.906976744186046	12.748022358132932
140	63	176.1	21.753653304300755
141	409		
142	43		
143	78	2.0165289256198347	26.763085876346764
144	867		
145	206		
146	0		
147	7	2.1352313167259784	6.818791016573472
148	28	3.127208480565371	11.881072633256357
149	870		
150	47	2.622516556291391	19.63861431057993
151	65	17.475524475524477	26.076389360508795
152	79	6.865384615384615	25.390093950974265
153	131		
154	585		
155	145		
156	4	14.544943820224718	3.980949403646532
157	8	6.762057877813505	6.959954883062691
158	28	4.848547717842323	18.36580005211412
159	10	19.880597014925375	7.83974357334044
160	34	2.019455252918288	15.338731773562882
161	549		
162	193		
163	5	4.438461538461539	4.842246831128647
164	49	463.0	20.221312184515767
165	4	6.504201680672269	3.9121858231549496
166	10	11.117647058823529	8.023512531183854
167	88		
168	155		
169	109		
170	7	2.2970027247956404	6.197518061679069
171	77		
172	37		
173	125		
174	749		
175	0		
176	54		
177	6	2.797752808988764	5.637218294708453
178	0		
179	21	3.349726775956284	11.498470437871598
180	0		
181	6	2.121693121693122	5.640346661796267
182	26		
183	3	22.916666666666668	2.9885372068005585
184	4	2.0031055900621118	4.0
185	67		
186	109		
187	57		
188	0		
189	27		
190	56	2.001184834123223	20.0
191	10	2.5391061452513966	8.173615337334756
192	3	3.1597938144329896	2.9937862284248746
193	359		
194	15	2.3635135135135137	10.762773057000645
195	5	4.0234657039711195	4.8995216643129975
196	2	3.0256410256410255	1.9999802548606451
197	0		
198	12	9.869565217391305	9.532922269863866
199	69		
200	6	37.07142857142857	5.27911822288125
201	374		
202	4	5.092436974789916	3.9300526105442457
203	293		
204	208		
205	27	17.826923076923077	13.521402313983407
206	50	2.019578313253012	18.637427036359583
207	0		
208	81		
209	28		
210	21	2.465217391304348	12.51569461971097
211	12	4.05	10.415413450662587
212	46	2.4086727989487517	16.328263962200968
213	329	19.5	83.55173672392223
214	421		
215	4	3.0870827285921627	3.976287529330212
216	120		
217	4	2.7254237288135594	3.9535946497269467
218	78	673.5	31.021376601916256
219	81	512.0	21.376700104865847
220	37	3.522099447513812	17.7058868118935
221	957	1473.75	312.90500905268846
222	217		
223	32		
224	175		
225	934		
226	29		
227	156		
228	80		
229	26	2.8850174216027873	15.966687477269694
230	47		
231	0		
232	102	2.2194570135746607	29.992856857316244
233	1	6.019047619047619	1.0000000000000007
234	1	3.583682008368201	1.0000000000000002
235	115	6.033519553072626	35.794632109052515
236	112		
237	167	1143.75	50.855272013033016
238	58		
239	8	6.287356321839081	6.505183848655601
240	84		
241	53	268.0	23.530532863267272
242	41	2.9739884393063583	18.796090355717386
243	0		
244	4	2.5779036827195467	3.9504004977384204
245	0		
246	1	3.676470588235294	1.0000000000000002
247	193		
248	46		
249	0		
250	38		
251	105	4.2234910277324635	28.079990320848218
252	84	2.936768149882904	41.475910185072
253	49	2.827338129496403	23.42648839855043
254	51		
255	257		
256	1	2.7534246575342465	1.0000000000000002
257	92		
258	150	1472.0	43.097196536569705
259	72	657.0	32.694548693429276
260	19		
261	31	3.4161585365853657	15.091290738924476
262	163		
263	32	2.6501240694789083	13.062315030355686
264	128		
265	34	9.931034482758621	13.548763600403706
266	59		
267	156		
268	78	6.111627906976744	36.40478251302898
269	20	2.6503378378378377	11.54813532678921
270	21	2.696629213483146	10.954816405246177
271	1	12.866666666666667	1.0000000000000002
272	66		
273	37		
274	15	4.979757085020243	9.192333714011623
275	8	2.848030018761726	6.884782980769258
276	4	2.4132841328413286	3.9471390230258168
277	463		
278	1637		
279	554		
280	9	4.0	6.992953979784157
281	45	11.042763157894736	16.929723917606733
282	446		
283	229		
284	131		
285	879		
286	216	3.0326752893124573	52.32894216771782
287	245	183.0	69.96099896258372
288	76		
289	149		
290	8	8.475	6.747469582649379
291	8	2.580357142857143	6.862676172011821
292	67		
293	7	3.4927536231884058	6.761974737007308
294	7	2.1471774193548385	6.596570158733813
295	652		
296	33	2.386938202247191	15.106943013867381
297	299		
298	245		
299	127		
300	12	2.9857142857142858	8.114098326760406
301	72		
302	42	4.995535714285714	19.354266443281695
303	3	3.233009708737864	2.999413202541809
304	228		
305	217		
306	108		
307	45		
308	3	4.776536312849162	2.996500156150356
309	29	2.205665024630542	12.365962482731545
310	105		
311	463		
312	816		
313	3409		
314	102	573.6	36.3238245960454
315	22	2.975855130784708	12.465581913265408
316	38	430.2	18.720945785086613
317	236		
318	15	2.060655737704918	10.553747808719883
319	32		
320	110	957.75	39.73259135041026
321	39	1058.0	16.332515420608473
322	1	2.0012422360248445	1.0000000000000002
323	42		
324	23	14.25	12.34854390847483
325	68		
326	22	5.374100719424461	11.477516531896361
327	402		
328	23	3.092833876221498	13.019586965950303
329	20	10.372881355932204	11.64790192310307
330	41		
331	75		
332	0		
333	33	17.74137931034483	16.99051658490155
334	10	3.5687203791469195	7.538220395820618
335	94		
336	66	1247.0	35.92189128759823
337	51		
338	117		
339	3	2.8823529411764706	2.9767307701852945
340	45	5.2105263157894735	19.10307130164456
341	114		
342	33		
343	325		
344	26	2.7531380753138075	14.15745055964456
345	46	4.878571428571429	18.104585839255552
346	44		
347	9	2.002659574468085	7.0
348	114		
349	98		
350	125	2.0326603325415675	33.293719559284995
351	6274		
352	55		
353	7	2.8870292887029287	5.977100623584818
354	14	2.4923954372623576	10.72562093753787
355	36		
356	71	2.0042553191489363	27.000000000000004
357	194		
358	4	2.0010570824524314	4.0
359	0		
360	0		
361	7	3.621212121212121	5.84459403264463
362	404		
363	11	2.210126582278481	7.566936393232467
364	137		
365	228		
366	3	9.88	2.987396898806743
367	202		
368	7	4.391566265060241	5.753240328988435
369	33		
370	44		
371	3	68.66666666666667	2.9919038806087546
372	12		
373	20	7.114551083591332	11.722577194847448
374	659		
375	0		
376	4	5.43646408839779	3.950165046248435
377	22	42.193548387096776	12.383539520977335
378	21		
379	157		
380	114		
381	4	5.228971962616822	3.953981274770531
382	536		
383	1173	687.75	629.1341222943751
384	5	2.1200686106346485	4.836812379206576
385	0		
386	30		
387	348		
388	349	84.85714285714286	81.75402752887634
389	40	3.806094182825485	17.59962862200898
390	492		
391	594		
392	13	154.2	8.432439086728346
393	246	258.75	73.14377775458419
394	251		
395	319		
396	0		
397	22		
398	477		
399	1867		
400	3	5.4576271186440675	2.99563499962154
401	24	2.1933333333333334	12.094402459358324
402	430		
403	5	7.0	4.673844269554335
404	36	2.2298352124891587	18.38455793739599
405	152	113.25	72.17982866768541
406	35	3.177865612648221	16.467132182350685
407	39	4.2444444444444445	17.638351816026738
408	1573		
409	250	992.0	88.7268879698484
410	43		
411	292		
412	5	10.7	4.822249961539762
413	0		
414	41	4.223684210526316	16.33041110356737
415	2	2.001980198019802	2.0
416	10	5.561538461538461	6.8806930551731265
417	45	5.028604118993135	20.30374614721777
418	137	7.875	37.77053386166496
419	6	7.386454183266932	5.606552144824585
420	14	4.284595300261096	8.67705720572798
421	39		
422	48	352.2	17.049048351740584
423	34	7.225653206650831	16.430862902477536
424	6	8.129032258064516	5.607947359119683
425	21	11.517857142857142	12.054340078830117
426	24	2.5220820189274447	12.859707366982203
427	30		
