	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713978.2	XM_713978.2	9	759	66.0	19.0
1	rna-XM_713978.2	XM_713978.2	53	715	74.0	19.0
2	rna-XM_713978.2	XM_713978.2	251	517	35.0	19.0
3	rna-XM_713957.1	XM_713957.1	0	1203	54.0	19.0
4	rna-XM_713957.1	XM_713957.1	1	1202	24.0	19.0
5	rna-XM_713957.1	XM_713957.1	14	1189	20.0	19.0
6	rna-XM_713957.1	XM_713957.1	17	1186	20.0	19.0
7	rna-XM_713957.1	XM_713957.1	20	1183	20.0	19.0
8	rna-XM_713957.1	XM_713957.1	28	1175	22.0	19.0
9	rna-XM_713957.1	XM_713957.1	40	1163	24.0	19.0
10	rna-XM_713957.1	XM_713957.1	43	1160	33.0	19.0
11	rna-XM_713957.1	XM_713957.1	47	1156	30.0	19.0
12	rna-XM_713957.1	XM_713957.1	48	1155	31.0	19.0
13	rna-XM_713957.1	XM_713957.1	50	1153	33.0	19.0
14	rna-XM_713957.1	XM_713957.1	51	1152	21.0	19.0
15	rna-XM_713957.1	XM_713957.1	53	1150	24.0	19.0
16	rna-XM_713957.1	XM_713957.1	54	1149	21.0	19.0
17	rna-XM_713957.1	XM_713957.1	55	1148	49.0	19.0
18	rna-XM_713957.1	XM_713957.1	94	1109	52.0	19.0
19	rna-XM_713954.1	XM_713954.1	91	512	219.0	19.0
20	rna-XM_713954.1	XM_713954.1	127	476	51.0	19.0
21	rna-XM_713954.1	XM_713954.1	369	234	34.0	19.0
22	rna-XM_713954.1	XM_713954.1	397	206	20.0	19.0
23	rna-XM_019475060.1	XM_019475060.1	1637	2599	20.0	19.0
24	rna-XM_019475060.1	XM_019475060.1	2611	1625	20.0	19.0
25	rna-XM_019475064.1	XM_019475064.1	14	250	48.0	19.0
26	rna-XM_019475064.1	XM_019475064.1	166	98	45.0	19.0
27	rna-XM_713064.2	XM_713064.2	28	722	26.0	19.0
28	rna-XM_713064.2	XM_713064.2	43	707	20.0	19.0
29	rna-XM_713064.2	XM_713064.2	46	704	22.0	19.0
30	rna-XM_019475067.1	XM_019475067.1	339	450	32.0	19.0
31	rna-XM_019475067.1	XM_019475067.1	364	425	29.0	19.0
32	rna-XM_019475067.1	XM_019475067.1	491	298	30.0	19.0
33	rna-XM_707863.2	XM_707863.2	308	3517	87.0	19.0
34	rna-XM_716341.2	XM_716341.2	9	654	23.0	19.0
35	rna-XM_716341.2	XM_716341.2	36	627	59.0	19.0
36	rna-XM_716341.2	XM_716341.2	49	614	54.0	19.0
37	rna-XM_716341.2	XM_716341.2	63	600	27.0	19.0
38	rna-XM_716341.2	XM_716341.2	70	593	20.0	19.0
39	rna-XM_716341.2	XM_716341.2	72	591	31.0	19.0
40	rna-XM_716341.2	XM_716341.2	94	569	20.0	19.0
41	rna-XM_716341.2	XM_716341.2	95	568	21.0	19.0
42	rna-XM_716341.2	XM_716341.2	107	556	21.0	19.0
43	rna-XM_716341.2	XM_716341.2	147	516	182.0	19.0
44	rna-XM_716371.1	XM_716371.1	216	837	74.0	19.0
45	rna-XM_716388.2	XM_716388.2	80	1033	22.0	19.0
46	rna-XM_716397.1	XM_716397.1	141	180	37.0	19.0
47	rna-XM_716399.1	XM_716399.1	428	181	62.0	19.0
48	rna-XM_716399.1	XM_716399.1	475	134	33.0	19.0
49	rna-XM_716399.1	XM_716399.1	522	87	118.0	19.0
50	rna-XM_716407.2	XM_716407.2	661	110	58.0	19.0
51	rna-XM_716419.1	XM_716419.1	113	682	24.0	19.0
52	rna-XM_716419.1	XM_716419.1	154	641	20.0	19.0
53	rna-XM_716442.2	XM_716442.2	529	1361	21.0	19.0
54	rna-XM_716442.2	XM_716442.2	582	1308	231.0	19.0
55	rna-XM_716442.2	XM_716442.2	616	1274	24.0	19.0
56	rna-XM_716442.2	XM_716442.2	626	1264	38.0	19.0
57	rna-XM_716447.2	XM_716447.2	619	206	37.0	19.0
58	rna-XM_708542.1	XM_708542.1	134	1147	43.0	19.0
59	rna-XM_708542.1	XM_708542.1	168	1113	28.0	19.0
60	rna-XM_708542.1	XM_708542.1	178	1103	834.0	19.0
61	rna-XM_708542.1	XM_708542.1	179	1102	24.0	19.0
62	rna-XM_708542.1	XM_708542.1	194	1087	22.0	19.0
63	rna-XM_708542.1	XM_708542.1	196	1085	20.0	19.0
64	rna-XM_708542.1	XM_708542.1	224	1057	20.0	19.0
65	rna-XM_708542.1	XM_708542.1	230	1051	64.0	19.0
66	rna-XM_708542.1	XM_708542.1	242	1039	21.0	19.0
67	rna-XM_708542.1	XM_708542.1	245	1036	33.0	19.0
68	rna-XM_708542.1	XM_708542.1	246	1035	26.0	19.0
69	rna-XM_708542.1	XM_708542.1	257	1024	25.0	19.0
70	rna-XM_708542.1	XM_708542.1	260	1021	23.0	19.0
71	rna-XM_708542.1	XM_708542.1	269	1012	21.0	19.0
72	rna-XM_708542.1	XM_708542.1	307	974	28.0	19.0
73	rna-XM_708542.1	XM_708542.1	311	970	26.0	19.0
74	rna-XM_708542.1	XM_708542.1	332	949	80.0	19.0
75	rna-XM_708542.1	XM_708542.1	335	946	20.0	19.0
76	rna-XM_708542.1	XM_708542.1	338	943	54.0	19.0
77	rna-XM_708542.1	XM_708542.1	341	940	22.0	19.0
78	rna-XM_708542.1	XM_708542.1	344	937	30.0	19.0
79	rna-XM_708542.1	XM_708542.1	347	934	50.0	19.0
80	rna-XM_708542.1	XM_708542.1	350	931	27.0	19.0
81	rna-XM_708542.1	XM_708542.1	352	929	20.0	19.0
82	rna-XM_708542.1	XM_708542.1	353	928	59.0	19.0
83	rna-XM_708542.1	XM_708542.1	359	922	26.0	19.0
84	rna-XM_708542.1	XM_708542.1	456	825	21.0	19.0
85	rna-XM_708542.1	XM_708542.1	470	811	30.0	19.0
86	rna-XM_708542.1	XM_708542.1	473	808	28.0	19.0
87	rna-XM_708542.1	XM_708542.1	527	754	76.0	19.0
88	rna-XM_708542.1	XM_708542.1	534	747	70.0	19.0
89	rna-XM_708542.1	XM_708542.1	566	715	21.0	19.0
90	rna-XM_708553.2	XM_708553.2	798	690	33.0	19.0
91	rna-XM_708563.1	XM_708563.1	226	167	22.0	19.0
92	rna-XM_019475091.1	XM_019475091.1	698	589	21.0	19.0
93	rna-XM_708570.1	XM_708570.1	164	154	24.0	19.0
94	rna-XM_708576.2	XM_708576.2	239	1699	36.0	19.0
95	rna-XM_708576.2	XM_708576.2	629	1309	109.0	19.0
96	rna-XM_708576.2	XM_708576.2	1080	858	20.0	19.0
97	rna-XM_708576.2	XM_708576.2	1205	733	38.0	19.0
98	rna-XM_707150.2	XM_707150.2	212	1519	22.0	19.0
99	rna-XM_705770.2	XM_705770.2	2111	1981	24.0	19.0
100	rna-XM_705770.2	XM_705770.2	2114	1978	20.0	19.0
101	rna-XM_705770.2	XM_705770.2	2150	1942	26.0	19.0
