	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713978.2	XM_713978.2	9	759	72.0	19.0
1	rna-XM_713978.2	XM_713978.2	17	751	20.0	19.0
2	rna-XM_713978.2	XM_713978.2	251	517	26.0	19.0
3	rna-XM_713975.2	XM_713975.2	73	1466	22.0	19.0
4	rna-XM_713957.1	XM_713957.1	0	1203	43.0	19.0
5	rna-XM_713957.1	XM_713957.1	55	1148	40.0	19.0
6	rna-XM_713957.1	XM_713957.1	94	1109	34.0	19.0
7	rna-XM_713954.1	XM_713954.1	91	512	59.0	19.0
8	rna-XM_713954.1	XM_713954.1	127	476	25.0	19.0
9	rna-XM_713954.1	XM_713954.1	369	234	24.0	19.0
10	rna-XM_713900.2	XM_713900.2	1134	1392	20.0	19.0
11	rna-XM_019475067.1	XM_019475067.1	339	450	26.0	19.0
12	rna-XM_019475067.1	XM_019475067.1	364	425	39.0	19.0
13	rna-XM_019475067.1	XM_019475067.1	412	377	37.0	19.0
14	rna-XM_019475068.1	XM_019475068.1	1861	1199	32.0	19.0
15	rna-XM_707863.2	XM_707863.2	308	3517	43.0	19.0
16	rna-XM_716341.2	XM_716341.2	36	627	27.0	19.0
17	rna-XM_716341.2	XM_716341.2	49	614	32.0	19.0
18	rna-XM_716341.2	XM_716341.2	107	556	22.0	19.0
19	rna-XM_716341.2	XM_716341.2	147	516	107.0	19.0
20	rna-XM_716341.2	XM_716341.2	307	356	32.0	19.0
21	rna-XM_716371.1	XM_716371.1	216	837	35.0	19.0
22	rna-XM_716375.2	XM_716375.2	1740	819	24.0	19.0
23	rna-XM_716388.2	XM_716388.2	80	1033	21.0	19.0
24	rna-XM_716397.1	XM_716397.1	141	180	20.0	19.0
25	rna-XM_716399.1	XM_716399.1	428	181	63.0	19.0
26	rna-XM_716399.1	XM_716399.1	475	134	27.0	19.0
27	rna-XM_716399.1	XM_716399.1	522	87	83.0	19.0
28	rna-XM_716407.2	XM_716407.2	661	110	30.0	19.0
29	rna-XM_019475081.1	XM_019475081.1	533	739	26.0	19.0
30	rna-XM_716442.2	XM_716442.2	529	1361	22.0	19.0
31	rna-XM_716442.2	XM_716442.2	582	1308	99.0	19.0
32	rna-XM_716442.2	XM_716442.2	626	1264	44.0	19.0
33	rna-XM_708542.1	XM_708542.1	178	1103	491.0	19.0
34	rna-XM_708542.1	XM_708542.1	245	1036	21.0	19.0
35	rna-XM_708542.1	XM_708542.1	281	1000	21.0	19.0
36	rna-XM_708542.1	XM_708542.1	307	974	53.0	19.0
37	rna-XM_708542.1	XM_708542.1	347	934	21.0	19.0
38	rna-XM_708542.1	XM_708542.1	350	931	20.0	19.0
39	rna-XM_708542.1	XM_708542.1	374	907	20.0	19.0
40	rna-XM_708542.1	XM_708542.1	452	829	23.0	19.0
