	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713978.2	XM_713978.2	9	759	47.0	19.0
1	rna-XM_713978.2	XM_713978.2	53	715	58.0	19.0
2	rna-XM_713978.2	XM_713978.2	251	517	28.0	19.0
3	rna-XM_713978.2	XM_713978.2	263	505	21.0	19.0
4	rna-XM_713957.1	XM_713957.1	0	1203	31.0	19.0
5	rna-XM_713954.1	XM_713954.1	91	512	97.0	19.0
6	rna-XM_713954.1	XM_713954.1	127	476	27.0	19.0
7	rna-XM_019475060.1	XM_019475060.1	2611	1625	25.0	19.0
8	rna-XM_713064.2	XM_713064.2	4	746	23.0	19.0
9	rna-XM_019475067.1	XM_019475067.1	339	450	23.0	19.0
10	rna-XM_019475067.1	XM_019475067.1	364	425	24.0	19.0
11	rna-XM_707863.2	XM_707863.2	308	3517	57.0	19.0
12	rna-XM_716341.2	XM_716341.2	36	627	22.0	19.0
13	rna-XM_716341.2	XM_716341.2	147	516	59.0	19.0
14	rna-XM_716371.1	XM_716371.1	216	837	35.0	19.0
15	rna-XM_716399.1	XM_716399.1	475	134	22.0	19.0
16	rna-XM_716399.1	XM_716399.1	522	87	27.0	19.0
17	rna-XM_716442.2	XM_716442.2	529	1361	21.0	19.0
18	rna-XM_716442.2	XM_716442.2	593	1297	24.0	19.0
19	rna-XM_716442.2	XM_716442.2	626	1264	36.0	19.0
20	rna-XM_716447.2	XM_716447.2	619	206	28.0	19.0
21	rna-XM_708542.1	XM_708542.1	134	1147	20.0	19.0
22	rna-XM_708542.1	XM_708542.1	178	1103	377.0	19.0
23	rna-XM_708542.1	XM_708542.1	179	1102	22.0	19.0
24	rna-XM_708542.1	XM_708542.1	230	1051	29.0	19.0
25	rna-XM_708542.1	XM_708542.1	332	949	34.0	19.0
26	rna-XM_708542.1	XM_708542.1	338	943	20.0	19.0
27	rna-XM_708542.1	XM_708542.1	347	934	20.0	19.0
28	rna-XM_708542.1	XM_708542.1	424	857	21.0	19.0
29	rna-XM_708542.1	XM_708542.1	439	842	20.0	19.0
30	rna-XM_708542.1	XM_708542.1	470	811	20.0	19.0
31	rna-XM_708542.1	XM_708542.1	527	754	36.0	19.0
32	rna-XM_708542.1	XM_708542.1	534	747	55.0	19.0
33	rna-XM_708553.2	XM_708553.2	798	690	20.0	19.0
34	rna-XM_708576.2	XM_708576.2	239	1699	41.0	19.0
35	rna-XM_708576.2	XM_708576.2	629	1309	52.0	19.0
36	rna-XM_705770.2	XM_705770.2	2234	1858	24.0	19.0
37	rna-XM_705770.2	XM_705770.2	2308	1784	23.0	19.0
38	rna-XM_713365.1	XM_713365.1	1441	665	22.0	19.0
39	rna-XM_019475113.1	XM_019475113.1	23	376	24.0	19.0
40	rna-XM_019475113.1	XM_019475113.1	41	358	21.0	19.0
41	rna-XM_019475113.1	XM_019475113.1	80	319	33.0	19.0
42	rna-XM_019475113.1	XM_019475113.1	98	301	26.0	19.0
43	rna-XM_019475113.1	XM_019475113.1	99	300	22.0	19.0
44	rna-XM_019475113.1	XM_019475113.1	101	298	25.0	19.0
45	rna-XM_019475113.1	XM_019475113.1	105	294	23.0	19.0
46	rna-XM_019475113.1	XM_019475113.1	106	293	22.0	19.0
47	rna-XM_019475113.1	XM_019475113.1	128	271	40.0	19.0
48	rna-XM_019475113.1	XM_019475113.1	200	199	25.0	19.0
49	rna-XM_019475113.1	XM_019475113.1	203	196	22.0	19.0
50	rna-XM_019475113.1	XM_019475113.1	206	193	28.0	19.0
51	rna-XM_019475113.1	XM_019475113.1	255	144	22.0	19.0
52	rna-XM_019475113.1	XM_019475113.1	285	114	21.0	19.0
53	rna-XM_713748.2	XM_713748.2	0	438	28.0	19.0
54	rna-XM_713748.2	XM_713748.2	16	422	23.0	19.0
55	rna-XM_713748.2	XM_713748.2	41	397	26.0	19.0
56	rna-XM_713748.2	XM_713748.2	42	396	37.0	19.0
57	rna-XM_713748.2	XM_713748.2	43	395	21.0	19.0
58	rna-XM_713748.2	XM_713748.2	48	390	22.0	19.0
59	rna-XM_713748.2	XM_713748.2	57	381	31.0	19.0
60	rna-XM_713748.2	XM_713748.2	58	380	20.0	19.0
61	rna-XM_713748.2	XM_713748.2	60	378	36.0	19.0
62	rna-XM_713748.2	XM_713748.2	62	376	27.0	19.0
63	rna-XM_713748.2	XM_713748.2	63	375	26.0	19.0
64	rna-XM_713748.2	XM_713748.2	65	373	25.0	19.0
65	rna-XM_713748.2	XM_713748.2	67	371	22.0	19.0
66	rna-XM_713748.2	XM_713748.2	69	369	21.0	19.0
67	rna-XM_713748.2	XM_713748.2	80	358	22.0	19.0
68	rna-XM_713748.2	XM_713748.2	88	350	20.0	19.0
69	rna-XM_713748.2	XM_713748.2	92	346	20.0	19.0
70	rna-XM_713748.2	XM_713748.2	97	341	20.0	19.0
71	rna-XM_713748.2	XM_713748.2	106	332	24.0	19.0
72	rna-XM_713748.2	XM_713748.2	115	323	25.0	19.0
73	rna-XM_713748.2	XM_713748.2	116	322	32.0	19.0
74	rna-XM_713748.2	XM_713748.2	120	318	21.0	19.0
75	rna-XM_713748.2	XM_713748.2	133	305	21.0	19.0
76	rna-XM_713748.2	XM_713748.2	140	298	22.0	19.0
77	rna-XM_713748.2	XM_713748.2	142	296	29.0	19.0
78	rna-XM_713748.2	XM_713748.2	148	290	22.0	19.0
79	rna-XM_713748.2	XM_713748.2	149	289	23.0	19.0
80	rna-XM_713748.2	XM_713748.2	156	282	31.0	19.0
81	rna-XM_713748.2	XM_713748.2	157	281	30.0	19.0
82	rna-XM_713748.2	XM_713748.2	168	270	20.0	19.0
83	rna-XM_713748.2	XM_713748.2	169	269	20.0	19.0
84	rna-XM_713748.2	XM_713748.2	170	268	22.0	19.0
85	rna-XM_713748.2	XM_713748.2	179	259	30.0	19.0
86	rna-XM_713748.2	XM_713748.2	185	253	20.0	19.0
87	rna-XM_713748.2	XM_713748.2	187	251	33.0	19.0
88	rna-XM_713748.2	XM_713748.2	188	250	30.0	19.0
89	rna-XM_713748.2	XM_713748.2	189	249	22.0	19.0
90	rna-XM_713748.2	XM_713748.2	190	248	29.0	19.0
91	rna-XM_713748.2	XM_713748.2	191	247	29.0	19.0
92	rna-XM_713748.2	XM_713748.2	192	246	30.0	19.0
93	rna-XM_713748.2	XM_713748.2	193	245	30.0	19.0
94	rna-XM_713748.2	XM_713748.2	200	238	24.0	19.0
95	rna-XM_713748.2	XM_713748.2	202	236	26.0	19.0
96	rna-XM_713748.2	XM_713748.2	204	234	28.0	19.0
97	rna-XM_713748.2	XM_713748.2	205	233	20.0	19.0
98	rna-XM_713748.2	XM_713748.2	206	232	24.0	19.0
99	rna-XM_713748.2	XM_713748.2	207	231	53.0	19.0
100	rna-XM_713748.2	XM_713748.2	208	230	44.0	19.0
101	rna-XM_713748.2	XM_713748.2	209	229	44.0	19.0
102	rna-XM_713748.2	XM_713748.2	210	228	38.0	19.0
103	rna-XM_713748.2	XM_713748.2	211	227	43.0	19.0
104	rna-XM_713748.2	XM_713748.2	213	225	23.0	19.0
105	rna-XM_713748.2	XM_713748.2	215	223	22.0	19.0
106	rna-XM_713748.2	XM_713748.2	216	222	21.0	19.0
107	rna-XM_713748.2	XM_713748.2	217	221	29.0	19.0
108	rna-XM_713748.2	XM_713748.2	221	217	34.0	19.0
109	rna-XM_713748.2	XM_713748.2	223	215	23.0	19.0
110	rna-XM_713748.2	XM_713748.2	226	212	26.0	19.0
111	rna-XM_713748.2	XM_713748.2	227	211	27.0	19.0
112	rna-XM_713748.2	XM_713748.2	228	210	30.0	19.0
113	rna-XM_713748.2	XM_713748.2	229	209	34.0	19.0
114	rna-XM_713748.2	XM_713748.2	230	208	25.0	19.0
115	rna-XM_713748.2	XM_713748.2	232	206	37.0	19.0
116	rna-XM_713748.2	XM_713748.2	233	205	56.0	19.0
117	rna-XM_713748.2	XM_713748.2	234	204	39.0	19.0
118	rna-XM_713748.2	XM_713748.2	235	203	23.0	19.0
119	rna-XM_713748.2	XM_713748.2	236	202	25.0	19.0
120	rna-XM_713748.2	XM_713748.2	237	201	26.0	19.0
121	rna-XM_713748.2	XM_713748.2	238	200	37.0	19.0
122	rna-XM_713748.2	XM_713748.2	240	198	20.0	19.0
123	rna-XM_713748.2	XM_713748.2	245	193	21.0	19.0
124	rna-XM_713748.2	XM_713748.2	246	192	22.0	19.0
