	count	F	f_count	f_perc	fpi
0	101	0	37	36.633663366336634	0.20945336562894978
1	9	1	4	44.44444444444444	0.6780719051126377
2	1151	1	396	34.404865334491745	0.06902378586716822
3	1078	1	414	38.40445269016698	0.3184475261524004
4	316	1	126	39.87341772151899	0.40742431516896854
5	167	1	66	39.52095808383233	0.3861826366066588
6	48	0	22	45.83333333333333	0.7589919004962051
7	179	1	73	40.78212290502793	0.46190410431681794
8	219	1	92	42.00913242009132	0.5348772692848471
9	71	2	26	36.61971830985916	0.2085866218114173
10	216	0	99	45.83333333333333	0.7589919004962051
11	538	1	197	36.61710037174721	0.20842389043220388
12	439	0	183	41.68564920273349	0.5156998382840424
13	3725	2	1321	35.463087248322154	0.1361935705356421
14	15	2	6	40.0	0.4150374992788437
15	3169	1	1164	36.73082991479962	0.21548882156600108
16	0	0	0		
17	4	2	3	75.0	2.584962500721156
18	650	1	245	37.69230769230769	0.27485984123058355
19	223	1	100	44.843049327354265	0.7013416844354847
20	207	0	87	42.028985507246375	0.5360529002402097
21	171	2	83	48.53801169590643	0.9156078127096275
22	0	0	0		
23	2	2	2	100.0	2.0
24	60	0	22	36.666666666666664	0.21150410519371185
25	109	0	46	42.201834862385326	0.5462820325570963
26	42	0	17	40.476190476190474	0.44360665147561484
27	1332	0	488	36.63663663663664	0.2096381488557011
28	103	1	49	47.57281553398058	0.8598223419517397
29	38	1	17	44.73684210526316	0.6951454184715791
30	2	0	1	50.0	1.0
31	232	0	84	36.206896551724135	0.18286405714981044
32	249	0	92	36.94779116465863	0.22894120716538582
33	273	1	96	35.16483516483517	0.11735695063815874
34	35	0	13	37.142857142857146	0.24100809950379498
35	44	1	18	40.909090909090914	0.4694852833012202
36	104	0	38	36.53846153846153	0.20353339408513216
37	1313	1	460	35.03427265803503	0.10908811962608497
38	95	0	35	36.84210526315789	0.22239242133644802
39	53	0	24	45.28301886792453	0.726981505593584
40	63	1	24	38.095238095238095	0.29956028185890793
41	1205	0	450	37.344398340248965	0.25344835700459595
42	48	0	17	35.41666666666667	0.1332665308634641
43	322	1	129	40.06211180124223	0.41877021815517385
44	43	0	21	48.837209302325576	0.932885804141463
45	80	1	27	33.75	0.02696704760026936
46	105	0	42	40.0	0.4150374992788437
47	215	1	84	39.06976744186046	0.35889442124130994
48	55	2	21	38.18181818181819	0.30485458152842093
49	793	1	291	36.69609079445145	0.21333178895751198
