	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713978.2	XM_713978.2	9	759	89.0	20.0
1	rna-XM_713978.2	XM_713978.2	251	517	62.0	20.0
2	rna-XM_713957.1	XM_713957.1	0	1203	72.0	20.0
3	rna-XM_713957.1	XM_713957.1	28	1175	23.0	20.0
4	rna-XM_713957.1	XM_713957.1	40	1163	27.0	20.0
5	rna-XM_713957.1	XM_713957.1	48	1155	21.0	20.0
6	rna-XM_713957.1	XM_713957.1	50	1153	25.0	20.0
7	rna-XM_713957.1	XM_713957.1	55	1148	29.0	20.0
8	rna-XM_713957.1	XM_713957.1	94	1109	23.0	20.0
9	rna-XM_713954.1	XM_713954.1	91	512	126.0	20.0
10	rna-XM_713954.1	XM_713954.1	369	234	27.0	20.0
11	rna-XM_019475060.1	XM_019475060.1	2611	1625	25.0	20.0
12	rna-XM_019475067.1	XM_019475067.1	339	450	49.0	20.0
13	rna-XM_019475067.1	XM_019475067.1	364	425	68.0	20.0
14	rna-XM_019475067.1	XM_019475067.1	757	32	21.0	20.0
15	rna-XM_019475068.1	XM_019475068.1	1861	1199	25.0	20.0
16	rna-XM_707863.2	XM_707863.2	308	3517	75.0	20.0
17	rna-XM_019475073.1	XM_019475073.1	366	18	21.0	20.0
18	rna-XM_716341.2	XM_716341.2	147	516	83.0	20.0
19	rna-XM_716371.1	XM_716371.1	216	837	27.0	20.0
20	rna-XM_716375.2	XM_716375.2	1740	819	23.0	20.0
21	rna-XM_716388.2	XM_716388.2	80	1033	22.0	20.0
22	rna-XM_716399.1	XM_716399.1	428	181	117.0	20.0
23	rna-XM_716399.1	XM_716399.1	475	134	42.0	20.0
24	rna-XM_716399.1	XM_716399.1	517	92	22.0	20.0
25	rna-XM_716399.1	XM_716399.1	522	87	152.0	20.0
26	rna-XM_716403.1	XM_716403.1	532	98	28.0	20.0
27	rna-XM_019475082.1	XM_019475082.1	475	719	22.0	20.0
28	rna-XM_716439.1	XM_716439.1	545	1324	26.0	20.0
29	rna-XM_716440.2	XM_716440.2	2516	1717	23.0	20.0
30	rna-XM_716442.2	XM_716442.2	529	1361	40.0	20.0
31	rna-XM_716442.2	XM_716442.2	582	1308	48.0	20.0
32	rna-XM_716442.2	XM_716442.2	615	1275	21.0	20.0
33	rna-XM_716442.2	XM_716442.2	616	1274	30.0	20.0
34	rna-XM_716442.2	XM_716442.2	626	1264	60.0	20.0
35	rna-XM_708542.1	XM_708542.1	134	1147	48.0	20.0
36	rna-XM_708542.1	XM_708542.1	178	1103	862.0	20.0
37	rna-XM_708542.1	XM_708542.1	179	1102	27.0	20.0
38	rna-XM_708542.1	XM_708542.1	230	1051	35.0	20.0
39	rna-XM_708542.1	XM_708542.1	245	1036	46.0	20.0
40	rna-XM_708542.1	XM_708542.1	260	1021	33.0	20.0
41	rna-XM_708542.1	XM_708542.1	263	1018	30.0	20.0
42	rna-XM_708542.1	XM_708542.1	271	1010	21.0	20.0
43	rna-XM_708542.1	XM_708542.1	272	1009	22.0	20.0
44	rna-XM_708542.1	XM_708542.1	281	1000	39.0	20.0
45	rna-XM_708542.1	XM_708542.1	288	993	23.0	20.0
46	rna-XM_708542.1	XM_708542.1	306	975	23.0	20.0
47	rna-XM_708542.1	XM_708542.1	307	974	67.0	20.0
48	rna-XM_708542.1	XM_708542.1	311	970	22.0	20.0
49	rna-XM_708542.1	XM_708542.1	341	940	28.0	20.0
50	rna-XM_708542.1	XM_708542.1	347	934	34.0	20.0
51	rna-XM_708542.1	XM_708542.1	348	933	24.0	20.0
52	rna-XM_708542.1	XM_708542.1	349	932	21.0	20.0
53	rna-XM_708542.1	XM_708542.1	350	931	32.0	20.0
54	rna-XM_708542.1	XM_708542.1	356	925	29.0	20.0
55	rna-XM_708542.1	XM_708542.1	362	919	31.0	20.0
56	rna-XM_708542.1	XM_708542.1	368	913	24.0	20.0
57	rna-XM_708542.1	XM_708542.1	372	909	23.0	20.0
58	rna-XM_708542.1	XM_708542.1	374	907	31.0	20.0
59	rna-XM_708542.1	XM_708542.1	380	901	27.0	20.0
60	rna-XM_708542.1	XM_708542.1	386	895	27.0	20.0
61	rna-XM_708542.1	XM_708542.1	393	888	22.0	20.0
62	rna-XM_708542.1	XM_708542.1	395	886	22.0	20.0
63	rna-XM_708542.1	XM_708542.1	437	844	22.0	20.0
64	rna-XM_708542.1	XM_708542.1	438	843	30.0	20.0
65	rna-XM_708542.1	XM_708542.1	439	842	24.0	20.0
66	rna-XM_708542.1	XM_708542.1	440	841	32.0	20.0
67	rna-XM_708542.1	XM_708542.1	441	840	25.0	20.0
68	rna-XM_708542.1	XM_708542.1	442	839	27.0	20.0
69	rna-XM_708542.1	XM_708542.1	444	837	32.0	20.0
70	rna-XM_708542.1	XM_708542.1	445	836	25.0	20.0
71	rna-XM_708542.1	XM_708542.1	451	830	27.0	20.0
72	rna-XM_708542.1	XM_708542.1	452	829	35.0	20.0
73	rna-XM_708542.1	XM_708542.1	453	828	24.0	20.0
74	rna-XM_708542.1	XM_708542.1	456	825	32.0	20.0
75	rna-XM_708542.1	XM_708542.1	457	824	26.0	20.0
76	rna-XM_708542.1	XM_708542.1	461	820	24.0	20.0
77	rna-XM_708542.1	XM_708542.1	466	815	22.0	20.0
78	rna-XM_708542.1	XM_708542.1	467	814	23.0	20.0
79	rna-XM_708542.1	XM_708542.1	469	812	21.0	20.0
80	rna-XM_708542.1	XM_708542.1	470	811	63.0	20.0
81	rna-XM_708542.1	XM_708542.1	473	808	27.0	20.0
82	rna-XM_708542.1	XM_708542.1	475	806	30.0	20.0
83	rna-XM_708542.1	XM_708542.1	527	754	104.0	20.0
84	rna-XM_708542.1	XM_708542.1	528	753	21.0	20.0
85	rna-XM_708542.1	XM_708542.1	534	747	103.0	20.0
86	rna-XM_708542.1	XM_708542.1	548	733	25.0	20.0
87	rna-XM_708542.1	XM_708542.1	550	731	22.0	20.0
88	rna-XM_708542.1	XM_708542.1	560	721	32.0	20.0
89	rna-XM_708542.1	XM_708542.1	562	719	22.0	20.0
90	rna-XM_708542.1	XM_708542.1	563	718	23.0	20.0
91	rna-XM_708542.1	XM_708542.1	566	715	56.0	20.0
92	rna-XM_706866.2	XM_706866.2	1549	503	46.0	20.0
93	rna-XM_706866.2	XM_706866.2	1697	355	65.0	20.0
94	rna-XM_708553.2	XM_708553.2	798	690	24.0	20.0
95	rna-XM_708563.1	XM_708563.1	226	167	22.0	20.0
96	rna-XM_708570.1	XM_708570.1	164	154	34.0	20.0
97	rna-XM_708572.1	XM_708572.1	148	263	43.0	20.0
98	rna-XM_708576.2	XM_708576.2	239	1699	22.0	20.0
99	rna-XM_707150.2	XM_707150.2	212	1519	54.0	20.0
100	rna-XM_705770.2	XM_705770.2	2111	1981	26.0	20.0
101	rna-XM_705770.2	XM_705770.2	2114	1978	34.0	20.0
102	rna-XM_705770.2	XM_705770.2	2156	1936	26.0	20.0
103	rna-XM_705770.2	XM_705770.2	2162	1930	27.0	20.0
104	rna-XM_705770.2	XM_705770.2	2170	1922	21.0	20.0
105	rna-XM_705770.2	XM_705770.2	2196	1896	21.0	20.0
106	rna-XM_705773.2	XM_705773.2	1364	601	47.0	20.0
107	rna-XM_019475109.1	XM_019475109.1	708	18	21.0	20.0
108	rna-XM_019475113.1	XM_019475113.1	80	319	94.0	20.0
109	rna-XM_019475113.1	XM_019475113.1	101	298	33.0	20.0
110	rna-XM_019475113.1	XM_019475113.1	128	271	33.0	20.0
111	rna-XM_019475113.1	XM_019475113.1	195	204	21.0	20.0
112	rna-XM_019475113.1	XM_019475113.1	198	201	37.0	20.0
113	rna-XM_019475113.1	XM_019475113.1	199	200	29.0	20.0
114	rna-XM_019475113.1	XM_019475113.1	200	199	21.0	20.0
115	rna-XM_019475113.1	XM_019475113.1	201	198	25.0	20.0
116	rna-XM_019475113.1	XM_019475113.1	203	196	28.0	20.0
117	rna-XM_019475113.1	XM_019475113.1	204	195	21.0	20.0
118	rna-XM_019475113.1	XM_019475113.1	205	194	25.0	20.0
119	rna-XM_019475113.1	XM_019475113.1	206	193	54.0	20.0
120	rna-XM_019475113.1	XM_019475113.1	232	167	23.0	20.0
121	rna-XM_019475113.1	XM_019475113.1	235	164	22.0	20.0
122	rna-XM_019475113.1	XM_019475113.1	254	145	32.0	20.0
123	rna-XM_019475113.1	XM_019475113.1	263	136	23.0	20.0
124	rna-XM_019475113.1	XM_019475113.1	273	126	25.0	20.0
125	rna-XM_019475113.1	XM_019475113.1	274	125	22.0	20.0
126	rna-XM_019475113.1	XM_019475113.1	288	111	21.0	20.0
127	rna-XM_019475113.1	XM_019475113.1	294	105	23.0	20.0
128	rna-XM_713748.2	XM_713748.2	0	438	29.0	20.0
129	rna-XM_713748.2	XM_713748.2	57	381	92.0	20.0
130	rna-XM_713748.2	XM_713748.2	61	377	32.0	20.0
131	rna-XM_713748.2	XM_713748.2	62	376	29.0	20.0
132	rna-XM_713748.2	XM_713748.2	79	359	22.0	20.0
133	rna-XM_713748.2	XM_713748.2	80	358	23.0	20.0
134	rna-XM_713748.2	XM_713748.2	106	332	26.0	20.0
135	rna-XM_713748.2	XM_713748.2	118	320	29.0	20.0
136	rna-XM_713748.2	XM_713748.2	120	318	21.0	20.0
137	rna-XM_713748.2	XM_713748.2	124	314	23.0	20.0
138	rna-XM_713748.2	XM_713748.2	126	312	23.0	20.0
139	rna-XM_713748.2	XM_713748.2	127	311	76.0	20.0
140	rna-XM_713748.2	XM_713748.2	133	305	95.0	20.0
141	rna-XM_713748.2	XM_713748.2	135	303	22.0	20.0
142	rna-XM_713748.2	XM_713748.2	137	301	30.0	20.0
143	rna-XM_713748.2	XM_713748.2	139	299	21.0	20.0
144	rna-XM_713748.2	XM_713748.2	142	296	75.0	20.0
145	rna-XM_713748.2	XM_713748.2	143	295	23.0	20.0
146	rna-XM_713748.2	XM_713748.2	144	294	42.0	20.0
147	rna-XM_713748.2	XM_713748.2	150	288	35.0	20.0
148	rna-XM_713748.2	XM_713748.2	151	287	23.0	20.0
149	rna-XM_713748.2	XM_713748.2	153	285	25.0	20.0
150	rna-XM_713748.2	XM_713748.2	155	283	29.0	20.0
151	rna-XM_713748.2	XM_713748.2	156	282	79.0	20.0
152	rna-XM_713748.2	XM_713748.2	157	281	146.0	20.0
153	rna-XM_713748.2	XM_713748.2	169	269	21.0	20.0
154	rna-XM_713748.2	XM_713748.2	171	267	28.0	20.0
155	rna-XM_713748.2	XM_713748.2	181	257	25.0	20.0
156	rna-XM_713748.2	XM_713748.2	188	250	23.0	20.0
157	rna-XM_713748.2	XM_713748.2	192	246	22.0	20.0
158	rna-XM_713748.2	XM_713748.2	193	245	33.0	20.0
159	rna-XM_713748.2	XM_713748.2	194	244	23.0	20.0
160	rna-XM_713748.2	XM_713748.2	202	236	23.0	20.0
161	rna-XM_713748.2	XM_713748.2	206	232	47.0	20.0
162	rna-XM_713748.2	XM_713748.2	208	230	34.0	20.0
163	rna-XM_713748.2	XM_713748.2	209	229	32.0	20.0
164	rna-XM_713748.2	XM_713748.2	210	228	42.0	20.0
165	rna-XM_713748.2	XM_713748.2	211	227	48.0	20.0
166	rna-XM_713748.2	XM_713748.2	217	221	22.0	20.0
167	rna-XM_713748.2	XM_713748.2	219	219	33.0	20.0
168	rna-XM_713748.2	XM_713748.2	227	211	28.0	20.0
169	rna-XM_713748.2	XM_713748.2	228	210	26.0	20.0
170	rna-XM_713748.2	XM_713748.2	229	209	30.0	20.0
171	rna-XM_713748.2	XM_713748.2	230	208	34.0	20.0
172	rna-XM_713748.2	XM_713748.2	231	207	42.0	20.0
173	rna-XM_713748.2	XM_713748.2	232	206	32.0	20.0
174	rna-XM_713748.2	XM_713748.2	233	205	50.0	20.0
175	rna-XM_713748.2	XM_713748.2	234	204	38.0	20.0
176	rna-XM_713748.2	XM_713748.2	235	203	51.0	20.0
177	rna-XM_713748.2	XM_713748.2	236	202	51.0	20.0
178	rna-XM_713748.2	XM_713748.2	237	201	33.0	20.0
179	rna-XM_713748.2	XM_713748.2	238	200	58.0	20.0
180	rna-XM_713748.2	XM_713748.2	241	197	30.0	20.0
181	rna-XM_713748.2	XM_713748.2	242	196	30.0	20.0
182	rna-XM_713748.2	XM_713748.2	243	195	34.0	20.0
183	rna-XM_713748.2	XM_713748.2	244	194	42.0	20.0
184	rna-XM_713748.2	XM_713748.2	245	193	26.0	20.0
185	rna-XM_713748.2	XM_713748.2	246	192	26.0	20.0
186	rna-XM_713748.2	XM_713748.2	249	189	21.0	20.0
187	rna-XM_713748.2	XM_713748.2	252	186	28.0	20.0
188	rna-XM_713748.2	XM_713748.2	253	185	23.0	20.0
189	rna-XM_713748.2	XM_713748.2	255	183	21.0	20.0
190	rna-XM_713748.2	XM_713748.2	256	182	21.0	20.0
191	rna-XM_713748.2	XM_713748.2	258	180	24.0	20.0
192	rna-XM_713748.2	XM_713748.2	274	164	21.0	20.0
193	rna-XM_713748.2	XM_713748.2	279	159	21.0	20.0
194	rna-XM_713748.2	XM_713748.2	280	158	65.0	20.0
195	rna-XM_713748.2	XM_713748.2	282	156	22.0	20.0
196	rna-XM_713748.2	XM_713748.2	287	151	24.0	20.0
197	rna-XM_713748.2	XM_713748.2	288	150	29.0	20.0
198	rna-XM_713748.2	XM_713748.2	289	149	23.0	20.0
199	rna-XM_713748.2	XM_713748.2	290	148	23.0	20.0
200	rna-XM_713748.2	XM_713748.2	291	147	33.0	20.0
201	rna-XM_713748.2	XM_713748.2	294	144	25.0	20.0
202	rna-XM_713748.2	XM_713748.2	295	143	40.0	20.0
203	rna-XM_713748.2	XM_713748.2	296	142	30.0	20.0
204	rna-XM_713748.2	XM_713748.2	299	139	78.0	20.0
205	rna-XM_713748.2	XM_713748.2	301	137	21.0	20.0
206	rna-XM_713748.2	XM_713748.2	303	135	24.0	20.0
207	rna-XM_713748.2	XM_713748.2	304	134	34.0	20.0
208	rna-XM_713748.2	XM_713748.2	309	129	23.0	20.0
209	rna-XM_713748.2	XM_713748.2	336	102	42.0	20.0
210	rna-XM_713748.2	XM_713748.2	337	101	21.0	20.0
211	rna-XM_713748.2	XM_713748.2	437	1	30.0	20.0
212	rna-XM_019475120.1	XM_019475120.1	185	184	21.0	20.0
213	rna-XM_705351.2	XM_705351.2	2011	566	21.0	20.0
214	rna-XM_712526.2	XM_712526.2	683	2371	21.0	20.0
215	rna-XM_712555.2	XM_712555.2	1877	157	80.0	20.0
216	rna-XM_712560.1	XM_712560.1	634	827	21.0	20.0
217	rna-XM_718339.2	XM_718339.2	1217	412	38.0	20.0
218	rna-XM_718354.2	XM_718354.2	64	1904	23.0	20.0
219	rna-XM_718485.1	XM_718485.1	389	334	46.0	20.0
220	rna-XM_019475144.1	XM_019475144.1	206	115	22.0	20.0
221	rna-XM_706117.2	XM_706117.2	623	904	48.0	20.0
222	rna-XM_706117.2	XM_706117.2	753	774	145.0	20.0
223	rna-XM_705625.1	XM_705625.1	749	691	21.0	20.0
224	rna-XM_705625.1	XM_705625.1	862	578	98.0	20.0
225	rna-XM_705625.1	XM_705625.1	1038	402	24.0	20.0
226	rna-XM_705625.1	XM_705625.1	1039	401	31.0	20.0
227	rna-XM_705625.1	XM_705625.1	1065	375	26.0	20.0
228	rna-XM_705625.1	XM_705625.1	1084	356	28.0	20.0
229	rna-XM_705625.1	XM_705625.1	1130	310	21.0	20.0
230	rna-XM_705625.1	XM_705625.1	1274	166	27.0	20.0
231	rna-XM_705628.2	XM_705628.2	762	594	75.0	20.0
232	rna-XM_019475147.1	XM_019475147.1	0	414	45.0	20.0
233	rna-XM_019475147.1	XM_019475147.1	263	151	230.0	20.0
234	rna-XM_708831.2	XM_708831.2	1134	885	57.0	20.0
235	rna-XM_708702.2	XM_708702.2	619	458	25.0	20.0
236	rna-XM_708702.2	XM_708702.2	653	424	22.0	20.0
237	rna-XM_708702.2	XM_708702.2	664	413	24.0	20.0
238	rna-XM_708702.2	XM_708702.2	670	407	24.0	20.0
239	rna-XM_708702.2	XM_708702.2	687	390	46.0	20.0
240	rna-XM_708702.2	XM_708702.2	688	389	31.0	20.0
241	rna-XM_708702.2	XM_708702.2	690	387	27.0	20.0
242	rna-XM_708702.2	XM_708702.2	693	384	21.0	20.0
243	rna-XM_708702.2	XM_708702.2	736	341	21.0	20.0
244	rna-XM_708702.2	XM_708702.2	742	335	25.0	20.0
245	rna-XM_708702.2	XM_708702.2	750	327	24.0	20.0
246	rna-XM_708702.2	XM_708702.2	776	301	75.0	20.0
247	rna-XM_708702.2	XM_708702.2	813	264	26.0	20.0
248	rna-XM_708702.2	XM_708702.2	844	233	22.0	20.0
249	rna-XM_708702.2	XM_708702.2	846	231	22.0	20.0
250	rna-XM_708702.2	XM_708702.2	849	228	22.0	20.0
251	rna-XM_708702.2	XM_708702.2	853	224	22.0	20.0
252	rna-XM_019475158.1	XM_019475158.1	1637	2254	29.0	20.0
253	rna-XM_019475165.1	XM_019475165.1	323	88	65.0	20.0
254	rna-XM_705694.2	XM_705694.2	153	1770	21.0	20.0
255	rna-XM_706488.2	XM_706488.2	3485	916	23.0	20.0
256	rna-XM_706471.2	XM_706471.2	1748	1045	50.0	20.0
257	rna-XM_706471.2	XM_706471.2	2310	483	82.0	20.0
258	rna-XM_706471.2	XM_706471.2	2357	436	28.0	20.0
259	rna-XM_717055.2	XM_717055.2	3480	162	31.0	20.0
260	rna-XM_019475180.1	XM_019475180.1	2537	439	46.0	20.0
261	rna-XM_717126.1	XM_717126.1	2665	2021	21.0	20.0
262	rna-XM_717144.1	XM_717144.1	996	663	47.0	20.0
263	rna-XM_709943.1	XM_709943.1	24	816	27.0	20.0
264	rna-XM_709943.1	XM_709943.1	31	809	22.0	20.0
265	rna-XM_709943.1	XM_709943.1	32	808	46.0	20.0
266	rna-XM_709943.1	XM_709943.1	33	807	35.0	20.0
267	rna-XM_709943.1	XM_709943.1	34	806	58.0	20.0
268	rna-XM_709943.1	XM_709943.1	35	805	28.0	20.0
269	rna-XM_709943.1	XM_709943.1	44	796	72.0	20.0
270	rna-XM_709943.1	XM_709943.1	51	789	1060.0	20.0
271	rna-XM_709943.1	XM_709943.1	52	788	30.0	20.0
272	rna-XM_709943.1	XM_709943.1	62	778	31.0	20.0
273	rna-XM_709943.1	XM_709943.1	64	776	26.0	20.0
274	rna-XM_709943.1	XM_709943.1	65	775	33.0	20.0
275	rna-XM_709943.1	XM_709943.1	69	771	36.0	20.0
276	rna-XM_709943.1	XM_709943.1	80	760	21.0	20.0
277	rna-XM_709943.1	XM_709943.1	86	754	30.0	20.0
278	rna-XM_709943.1	XM_709943.1	97	743	21.0	20.0
279	rna-XM_019475187.1	XM_019475187.1	830	1153	21.0	20.0
280	rna-XM_709968.1	XM_709968.1	68	871	21.0	20.0
281	rna-XM_705397.2	XM_705397.2	31	500	130.0	20.0
282	rna-XM_705397.2	XM_705397.2	53	478	169.0	20.0
283	rna-XM_705397.2	XM_705397.2	59	472	21.0	20.0
284	rna-XM_705390.2	XM_705390.2	4	1142	27.0	20.0
285	rna-XM_705388.2	XM_705388.2	33	1671	28.0	20.0
286	rna-XM_705388.2	XM_705388.2	36	1668	49.0	20.0
287	rna-XM_705388.2	XM_705388.2	47	1657	55.0	20.0
288	rna-XM_705388.2	XM_705388.2	51	1653	31.0	20.0
289	rna-XM_705388.2	XM_705388.2	1388	316	26.0	20.0
290	rna-XM_705388.2	XM_705388.2	1452	252	44.0	20.0
291	rna-XM_705388.2	XM_705388.2	1453	251	28.0	20.0
292	rna-XM_717410.1	XM_717410.1	458	2413	28.0	20.0
293	rna-XM_717427.1	XM_717427.1	0	360	31.0	20.0
294	rna-XM_717427.1	XM_717427.1	12	348	21.0	20.0
295	rna-XM_717427.1	XM_717427.1	13	347	185.0	20.0
296	rna-XM_717427.1	XM_717427.1	21	339	25.0	20.0
297	rna-XM_717427.1	XM_717427.1	73	287	157.0	20.0
298	rna-XM_717427.1	XM_717427.1	108	252	42.0	20.0
299	rna-XM_717514.2	XM_717514.2	986	856	23.0	20.0
300	rna-XM_717527.2	XM_717527.2	104	5065	55.0	20.0
301	rna-XM_717527.2	XM_717527.2	221	4948	72.0	20.0
302	rna-XM_717527.2	XM_717527.2	239	4930	287.0	20.0
303	rna-XM_717527.2	XM_717527.2	3682	1487	24.0	20.0
304	rna-XM_717527.2	XM_717527.2	3887	1282	54.0	20.0
305	rna-XM_717527.2	XM_717527.2	3898	1271	40.0	20.0
306	rna-XM_019475213.1	XM_019475213.1	168	2361	24.0	20.0
307	rna-XM_019475213.1	XM_019475213.1	587	1942	32.0	20.0
308	rna-XM_710225.2	XM_710225.2	6542	3319	36.0	20.0
309	rna-XM_715872.2	XM_715872.2	59	2032	92.0	20.0
310	rna-XM_019475216.1	XM_019475216.1	94	389	25.0	20.0
311	rna-XM_019475216.1	XM_019475216.1	237	246	21.0	20.0
312	rna-XM_019475216.1	XM_019475216.1	336	147	24.0	20.0
313	rna-XM_019475220.1	XM_019475220.1	0	300	39.0	20.0
314	rna-XM_019475220.1	XM_019475220.1	1	299	56.0	20.0
315	rna-XM_019475220.1	XM_019475220.1	70	230	44.0	20.0
316	rna-XM_019475220.1	XM_019475220.1	72	228	33.0	20.0
317	rna-XM_019475220.1	XM_019475220.1	111	189	24.0	20.0
318	rna-XM_019475220.1	XM_019475220.1	126	174	35.0	20.0
319	rna-XM_019475220.1	XM_019475220.1	141	159	31.0	20.0
320	rna-XM_019475220.1	XM_019475220.1	162	138	62.0	20.0
321	rna-XM_019475220.1	XM_019475220.1	184	116	21.0	20.0
322	rna-XM_019475220.1	XM_019475220.1	186	114	28.0	20.0
323	rna-XM_715844.1	XM_715844.1	212	1867	101.0	20.0
324	rna-XM_715844.1	XM_715844.1	992	1087	21.0	20.0
325	rna-XM_715844.1	XM_715844.1	996	1083	28.0	20.0
326	rna-XM_715844.1	XM_715844.1	1051	1028	23.0	20.0
327	rna-XM_715844.1	XM_715844.1	1081	998	26.0	20.0
328	rna-XM_715844.1	XM_715844.1	1083	996	28.0	20.0
329	rna-XM_715844.1	XM_715844.1	1134	945	53.0	20.0
330	rna-XM_715844.1	XM_715844.1	1170	909	42.0	20.0
331	rna-XM_715844.1	XM_715844.1	1243	836	25.0	20.0
332	rna-XM_715844.1	XM_715844.1	1259	820	35.0	20.0
333	rna-XM_715844.1	XM_715844.1	1290	789	22.0	20.0
334	rna-XM_715844.1	XM_715844.1	1431	648	26.0	20.0
335	rna-XM_707825.2	XM_707825.2	101	1183	21.0	20.0
