	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713954.1	XM_713954.1	291	312	36.0	18.0
1	rna-XM_019475064.1	XM_019475064.1	176	88	23.0	18.0
2	rna-XM_019475067.1	XM_019475067.1	360	429	22.0	18.0
3	rna-XM_019475067.1	XM_019475067.1	441	348	29.0	18.0
4	rna-XM_708670.1	XM_708670.1	1548	240	34.0	18.0
5	rna-XM_019475073.1	XM_019475073.1	333	51	21.0	18.0
6	rna-XM_019475073.1	XM_019475073.1	364	20	39.0	18.0
7	rna-XM_716341.2	XM_716341.2	454	209	20.0	18.0
8	rna-XM_716399.1	XM_716399.1	372	237	20.0	18.0
9	rna-XM_019475076.1	XM_019475076.1	379	50	25.0	18.0
10	rna-XM_019475076.1	XM_019475076.1	409	20	23.0	18.0
11	rna-XM_019475113.1	XM_019475113.1	206	193	19.0	18.0
12	rna-XM_019475113.1	XM_019475113.1	216	183	25.0	18.0
13	rna-XM_019475113.1	XM_019475113.1	261	138	32.0	18.0
14	rna-XM_019475113.1	XM_019475113.1	262	137	19.0	18.0
15	rna-XM_019475114.1	XM_019475114.1	123	33	27.0	18.0
16	rna-XM_019475114.1	XM_019475114.1	124	32	39.0	18.0
17	rna-XM_713748.2	XM_713748.2	156	282	25.0	18.0
18	rna-XM_713748.2	XM_713748.2	157	281	20.0	18.0
19	rna-XM_713748.2	XM_713748.2	291	147	20.0	18.0
20	rna-XM_706790.2	XM_706790.2	1153	170	19.0	18.0
21	rna-XM_706790.2	XM_706790.2	1158	165	20.0	18.0
22	rna-XM_019475147.1	XM_019475147.1	263	151	55.0	18.0
23	rna-XM_019475147.1	XM_019475147.1	394	20	19.0	18.0
24	rna-XM_019475165.1	XM_019475165.1	333	78	22.0	18.0
25	rna-XM_019475165.1	XM_019475165.1	363	48	30.0	18.0
26	rna-XM_019475165.1	XM_019475165.1	364	47	21.0	18.0
27	rna-XM_019475180.1	XM_019475180.1	2478	498	24.0	18.0
28	rna-XM_714379.2	XM_714379.2	1554	87	30.0	18.0
29	rna-XM_714379.2	XM_714379.2	1596	45	25.0	18.0
30	rna-XM_715896.2	XM_715896.2	796	1127	42.0	18.0
31	rna-XM_709841.1	XM_709841.1	1336	179	21.0	18.0
32	rna-XM_710955.2	XM_710955.2	2086	2114	27.0	18.0
33	rna-XM_705590.2	XM_705590.2	981	189	29.0	18.0
34	rna-XM_712044.1	XM_712044.1	0	612	21.0	18.0
35	rna-XM_712051.1	XM_712051.1	501	288	25.0	18.0
36	rna-XM_712061.1	XM_712061.1	183	282	19.0	18.0
37	rna-XM_712061.1	XM_712061.1	184	281	33.0	18.0
38	rna-XM_714842.1	XM_714842.1	414	162	22.0	18.0
39	rna-XM_714842.1	XM_714842.1	489	87	21.0	18.0
40	rna-XM_714842.1	XM_714842.1	555	21	21.0	18.0
41	rna-XM_019475321.1	XM_019475321.1	0	684	35.0	18.0
42	rna-XM_019475328.1	XM_019475328.1	238	200	27.0	18.0
43	rna-XM_019475329.1	XM_019475329.1	550	236	22.0	18.0
44	rna-XM_019475329.1	XM_019475329.1	765	21	26.0	18.0
45	rna-XM_714816.1	XM_714816.1	960	48	20.0	18.0
46	rna-XM_708236.1	XM_708236.1	220	389	33.0	18.0
47	rna-XM_707552.1	XM_707552.1	319	311	27.0	18.0
48	rna-XM_019475360.1	XM_019475360.1	207	504	22.0	18.0
49	rna-XM_019475360.1	XM_019475360.1	261	450	37.0	18.0
50	rna-XM_019475360.1	XM_019475360.1	306	405	29.0	18.0
51	rna-XM_019475360.1	XM_019475360.1	312	399	24.0	18.0
52	rna-XM_019475360.1	XM_019475360.1	315	396	27.0	18.0
53	rna-XM_019475360.1	XM_019475360.1	329	382	23.0	18.0
54	rna-XM_019475360.1	XM_019475360.1	330	381	41.0	18.0
55	rna-XM_019475360.1	XM_019475360.1	333	378	39.0	18.0
56	rna-XM_019475360.1	XM_019475360.1	342	369	27.0	18.0
57	rna-XM_019475360.1	XM_019475360.1	346	365	22.0	18.0
58	rna-XM_019475360.1	XM_019475360.1	357	354	24.0	18.0
59	rna-XM_019475360.1	XM_019475360.1	363	348	19.0	18.0
60	rna-XM_019475360.1	XM_019475360.1	369	342	39.0	18.0
61	rna-XM_019475360.1	XM_019475360.1	372	339	37.0	18.0
62	rna-XM_019475360.1	XM_019475360.1	374	337	21.0	18.0
63	rna-XM_019475360.1	XM_019475360.1	378	333	47.0	18.0
64	rna-XM_019475360.1	XM_019475360.1	384	327	24.0	18.0
65	rna-XM_019475360.1	XM_019475360.1	387	324	51.0	18.0
66	rna-XM_019475360.1	XM_019475360.1	388	323	77.0	18.0
67	rna-XM_019475360.1	XM_019475360.1	390	321	20.0	18.0
68	rna-XM_019475360.1	XM_019475360.1	392	319	21.0	18.0
69	rna-XM_019475360.1	XM_019475360.1	394	317	25.0	18.0
70	rna-XM_019475360.1	XM_019475360.1	395	316	23.0	18.0
71	rna-XM_019475360.1	XM_019475360.1	396	315	47.0	18.0
72	rna-XM_019475360.1	XM_019475360.1	397	314	23.0	18.0
73	rna-XM_019475360.1	XM_019475360.1	399	312	24.0	18.0
74	rna-XM_019475360.1	XM_019475360.1	401	310	21.0	18.0
75	rna-XM_019475360.1	XM_019475360.1	411	300	31.0	18.0
76	rna-XM_019475360.1	XM_019475360.1	414	297	23.0	18.0
77	rna-XM_019475360.1	XM_019475360.1	415	296	35.0	18.0
78	rna-XM_019475360.1	XM_019475360.1	417	294	33.0	18.0
79	rna-XM_019475360.1	XM_019475360.1	420	291	28.0	18.0
80	rna-XM_019475360.1	XM_019475360.1	421	290	25.0	18.0
81	rna-XM_019475360.1	XM_019475360.1	424	287	33.0	18.0
82	rna-XM_019475360.1	XM_019475360.1	426	285	23.0	18.0
83	rna-XM_019475360.1	XM_019475360.1	427	284	20.0	18.0
84	rna-XM_019475360.1	XM_019475360.1	429	282	35.0	18.0
85	rna-XM_019475360.1	XM_019475360.1	430	281	39.0	18.0
86	rna-XM_019475360.1	XM_019475360.1	432	279	37.0	18.0
87	rna-XM_019475360.1	XM_019475360.1	433	278	33.0	18.0
88	rna-XM_019475360.1	XM_019475360.1	456	255	26.0	18.0
89	rna-XM_019475360.1	XM_019475360.1	459	252	19.0	18.0
90	rna-XM_019475360.1	XM_019475360.1	465	246	34.0	18.0
91	rna-XM_019475360.1	XM_019475360.1	466	245	37.0	18.0
92	rna-XM_019475360.1	XM_019475360.1	471	240	19.0	18.0
93	rna-XM_019475360.1	XM_019475360.1	486	225	31.0	18.0
94	rna-XM_019475360.1	XM_019475360.1	550	161	24.0	18.0
95	rna-XM_717611.1	XM_717611.1	336	183	19.0	18.0
96	rna-XM_717597.2	XM_717597.2	825	255	21.0	18.0
97	rna-XM_717597.2	XM_717597.2	845	235	21.0	18.0
98	rna-XM_717597.2	XM_717597.2	870	210	22.0	18.0
99	rna-XM_717597.2	XM_717597.2	878	202	19.0	18.0
100	rna-XM_717597.2	XM_717597.2	882	198	29.0	18.0
101	rna-XM_717597.2	XM_717597.2	883	197	20.0	18.0
102	rna-XM_717597.2	XM_717597.2	886	194	35.0	18.0
103	rna-XM_717597.2	XM_717597.2	888	192	19.0	18.0
104	rna-XM_717597.2	XM_717597.2	891	189	21.0	18.0
105	rna-XM_717597.2	XM_717597.2	892	188	28.0	18.0
106	rna-XM_717597.2	XM_717597.2	900	180	29.0	18.0
107	rna-XM_717597.2	XM_717597.2	906	174	19.0	18.0
108	rna-XM_717597.2	XM_717597.2	912	168	20.0	18.0
109	rna-XM_715424.2	XM_715424.2	201	141	103.0	18.0
110	rna-XM_715424.2	XM_715424.2	283	59	33.0	18.0
111	rna-XM_710440.1	XM_710440.1	767	937	19.0	18.0
112	rna-XM_710440.1	XM_710440.1	809	895	21.0	18.0
113	rna-XM_710440.1	XM_710440.1	813	891	20.0	18.0
114	rna-XM_710440.1	XM_710440.1	814	890	30.0	18.0
115	rna-XM_710440.1	XM_710440.1	815	889	25.0	18.0
116	rna-XM_710440.1	XM_710440.1	817	887	24.0	18.0
117	rna-XM_710440.1	XM_710440.1	818	886	22.0	18.0
118	rna-XM_710440.1	XM_710440.1	820	884	25.0	18.0
119	rna-XM_710440.1	XM_710440.1	821	883	19.0	18.0
120	rna-XM_710440.1	XM_710440.1	826	878	36.0	18.0
121	rna-XM_710440.1	XM_710440.1	828	876	23.0	18.0
122	rna-XM_710440.1	XM_710440.1	832	872	22.0	18.0
123	rna-XM_710440.1	XM_710440.1	889	815	22.0	18.0
124	rna-XM_710440.1	XM_710440.1	1525	179	22.0	18.0
125	rna-XM_710440.1	XM_710440.1	1528	176	19.0	18.0
126	rna-XM_710440.1	XM_710440.1	1531	173	24.0	18.0
127	rna-XM_710440.1	XM_710440.1	1548	156	28.0	18.0
128	rna-XM_710440.1	XM_710440.1	1683	21	21.0	18.0
129	rna-XM_710304.1	XM_710304.1	69	513	45.0	18.0
