	count	F	f_count	f_perc	fpi
0	883	0	301	34.08833522083805	0.04874433385141833
1	19	1	10	52.63157894736842	1.15200309344505
2	734	0	306	41.689373297002724	0.5159208562915049
3	3444	1	1244	36.120789779326365	0.17748296171858055
4	910	2	310	34.065934065934066	0.04730571477835682
5	1638	0	616	37.60683760683761	0.26960705975728
6	226	1	84	37.16814159292036	0.24257030327407822
7	587	1	234	39.86371379897785	0.4068403463122243
8	705	1	293	41.56028368794326	0.5082563272390295
9	140	2	62	44.285714285714285	0.6687940915246268
10	1591	0	625	39.28346951602766	0.37183300071367625
11	1876	0	765	40.77825159914712	0.46167283619092214
12	2301	0	1046	45.45849630595393	0.7371954874088069
13	7183	1	2702	37.61659473757483	0.27020694817317936
14	162	1	63	38.88888888888889	0.3479233034203068
15	7534	1	2649	35.160605256172026	0.11708928151387453
16	1	1	1	100.0	1.0
17	14	1	7	50.0	1.0
18	5313	0	1943	36.57067570111048	0.20553730951612362
19	389	1	146	37.53213367609254	0.26501205527423644
20	565	0	213	37.69911504424779	0.275278001588541
21	171	2	62	36.25730994152047	0.18601198560994894
22	0	0	0		
23	204	2	70	34.31372549019608	0.06319382648719389
24	115	0	46	40.0	0.4150374992788437
25	507	0	197	38.8560157790927	0.34592741418213874
26	173	0	68	39.30635838150289	0.37321732358421683
27	4251	0	1833	43.11926605504588	0.6003925412907621
28	254	1	99	38.976377952755904	0.35323221480537204
29	67	0	30	44.776119402985074	0.6974372299795688
30	10	0	5	50.0	1.0
31	837	0	343	40.97968936678614	0.4736975345881346
32	1459	0	572	39.204934886908845	0.3670810424773256
33	624	0	231	37.019230769230774	0.23336353915745103
34	39	0	17	43.58974358974359	0.6280312226130421
35	775	1	302	38.96774193548387	0.3527083659856837
36	830	0	356	42.89156626506024	0.5869901820681387
37	7015	0	2748	39.17320028510335	0.3651598936169887
38	395	0	167	42.278481012658226	0.5508142783093104
39	167	0	67	40.119760479041915	0.4222330006830478
40	565	0	259	45.84070796460177	0.759420444993902
41	5374	1	1908	35.50427986602159	0.13878951684534177
42	61	2	24	39.34426229508197	0.37550913509220646
43	1525	1	576	37.77049180327869	0.27966072442120304
44	251	1	103	41.03585657370518	0.4770471615542686
45	648	0	225	34.72222222222222	0.0892673380970873
46	897	0	365	40.691192865105904	0.45647021826618994
47	492	0	205	41.66666666666667	0.5145731728297582
48	184	1	63	34.23913043478261	0.05841668622532208
49	408	1	161	39.46078431372549	0.38254964652993945
50	1626	0	773	47.539975399754	0.8579226726065572
51	191	0	82	42.93193717277487	0.5893676798411573
52	2859	0	1044	36.51626442812172	0.20215216368677133
53	674	0	260	38.57566765578635	0.3288808555291293
54	1293	0	503	38.90177880897138	0.3487057467410617
55	267	0	113	42.32209737827715	0.5533924217202862
56	45	0	18	40.0	0.4150374992788437
57	2163	0	926	42.81091077207582	0.5822385982838666
58	3504	0	1276	36.41552511415525	0.19587909642483772
59	517	0	224	43.32688588007737	0.6125980676353563
60	136	0	50	36.76470588235294	0.21759143507262685
61	51	1	21	41.17647058823529	0.48542682717024166
62	588	0	246	41.83673469387755	0.524661990453342
63	639	0	245	38.341158059467915	0.31458611954619436
64	407	0	158	38.82063882063882	0.343778816109022
65	468	0	189	40.38461538461539	0.43812111239188495
66	176	0	65	36.93181818181818	0.2279519466783486
67	4518	0	1852	40.991589198760515	0.4744073181712634
68	424	0	171	40.33018867924528	0.43485894019158766
69	46	1	17	36.95652173913043	0.22948184612276717
70	1	2	1	100.0	1.0
71	341	0	157	46.04105571847507	0.7710587928346141
72	318	0	133	41.82389937106918	0.5239009749848774
73	88	1	47	53.40909090909091	1.1970368470595536
74	273	0	116	42.49084249084249	0.563360246235945
75	162	0	70	43.20987654320987	0.6057210608879536
76	124	0	49	39.516129032258064	0.3858911536193273
77	7	0	3	42.857142857142854	0.5849625007211562
78	149	0	62	41.61073825503356	0.511252814538147
79	1042	0	405	38.86756238003839	0.3466285355156866
80	137	0	52	37.95620437956204	0.2910487820033905
81	965	0	406	42.07253886010363	0.5386314443419862
82	320	0	161	50.31250000000001	1.0180339228302615
83	153	0	68	44.44444444444444	0.6780719051126377
84	995	0	450	45.22613065326633	0.7236687715527484
85	9006	0	3440	38.1967577170775	0.3057676562578528
86	241	1	102	42.32365145228216	0.5534842692479881
87	207	0	88	42.51207729468599	0.5646138553293538
88	3112	0	1355	43.541131105398456	0.6251786602328577
89	61	1	22	36.0655737704918	0.1740293997750489
90	201	1	79	39.30348258706468	0.37304341061421675
91	660	0	273	41.36363636363637	0.49656738477544227
92	922	0	399	43.275488069414315	0.6095777999754044
93	843	0	323	38.31553973902728	0.31302254166547044
94	660	0	244	36.96969696969697	0.2302976194217942
95	427	1	163	38.17330210772833	0.30433403487262417
96	123	0	47	38.21138211382114	0.306661338234052
97	1979	0	732	36.988377968671045	0.23145408845437251
98	1861	0	862	46.31918323481999	0.7872031912966797
99	579	0	260	44.90500863557859	0.7049551992635852
100	96	2	38	39.58333333333333	0.3899465183160134
101	5745	0	2282	39.72149695387293	0.3982764040914532
102	686	0	302	44.02332361516035	0.6534422386039228
103	4065	0	1880	46.248462484624845	0.783099382177039
104	1800	0	706	39.22222222222223	0.3681273504786237
105	235	0	100	42.5531914893617	0.5670405927238937
106	340	0	138	40.588235294117645	0.4503129740263745
107	140	0	58	41.42857142857143	0.5004289905094883
108	1	0	1	100.0	1.0
109	786	0	343	43.63867684478372	0.630901877617794
110	215	0	96	44.651162790697676	0.6901447374132127
111	539	0	228	42.30055658627087	0.5521192440341391
112	155	0	61	39.35483870967742	0.3761484858852489
113	74	0	29	39.189189189189186	0.36612789879789753
114	1496	0	552	36.898395721925134	0.22588140741632778
115	15	1	6	40.0	0.4150374992788437
116	903	0	383	42.414174972314505	0.5588327688965027
117	55	0	23	41.81818181818181	0.5235619560570128
118	654	0	285	43.57798165137615	0.627341102991708
119	494	0	176	35.62753036437247	0.14654866335294187
120	6690	0	2641	39.47683109118087	0.38351865849063543
121	173	0	68	39.30635838150289	0.37321732358421683
122	317	0	143	45.110410094637224	0.7169278409296611
