	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713978.2	XM_713978.2	9	759	91.0	20.0
1	rna-XM_713978.2	XM_713978.2	53	715	54.0	20.0
2	rna-XM_713978.2	XM_713978.2	251	517	28.0	20.0
3	rna-XM_713978.2	XM_713978.2	263	505	27.0	20.0
4	rna-XM_713957.1	XM_713957.1	0	1203	83.0	20.0
5	rna-XM_713957.1	XM_713957.1	18	1185	24.0	20.0
6	rna-XM_713957.1	XM_713957.1	20	1183	30.0	20.0
7	rna-XM_713957.1	XM_713957.1	34	1169	22.0	20.0
8	rna-XM_713957.1	XM_713957.1	40	1163	28.0	20.0
9	rna-XM_713957.1	XM_713957.1	41	1162	24.0	20.0
10	rna-XM_713957.1	XM_713957.1	43	1160	38.0	20.0
11	rna-XM_713957.1	XM_713957.1	44	1159	28.0	20.0
12	rna-XM_713957.1	XM_713957.1	45	1158	24.0	20.0
13	rna-XM_713957.1	XM_713957.1	46	1157	28.0	20.0
14	rna-XM_713957.1	XM_713957.1	47	1156	42.0	20.0
15	rna-XM_713957.1	XM_713957.1	48	1155	26.0	20.0
16	rna-XM_713957.1	XM_713957.1	50	1153	26.0	20.0
17	rna-XM_713957.1	XM_713957.1	51	1152	21.0	20.0
18	rna-XM_713957.1	XM_713957.1	53	1150	23.0	20.0
19	rna-XM_713957.1	XM_713957.1	55	1148	37.0	20.0
20	rna-XM_713957.1	XM_713957.1	77	1126	28.0	20.0
21	rna-XM_713957.1	XM_713957.1	94	1109	40.0	20.0
22	rna-XM_713957.1	XM_713957.1	149	1054	23.0	20.0
23	rna-XM_713954.1	XM_713954.1	91	512	189.0	20.0
24	rna-XM_713954.1	XM_713954.1	127	476	56.0	20.0
25	rna-XM_713954.1	XM_713954.1	369	234	23.0	20.0
26	rna-XM_713910.2	XM_713910.2	1274	2629	22.0	20.0
27	rna-XM_019475060.1	XM_019475060.1	2611	1625	24.0	20.0
28	rna-XM_019475064.1	XM_019475064.1	14	250	41.0	20.0
29	rna-XM_019475064.1	XM_019475064.1	166	98	35.0	20.0
30	rna-XM_713064.2	XM_713064.2	4	746	32.0	20.0
