	ID	Name	position_from_start	position_from_term	actual_count	downsampled_count
0	rna-XM_713978.2	XM_713978.2	9	759	54.0	19.0
1	rna-XM_713978.2	XM_713978.2	53	715	60.0	19.0
2	rna-XM_713978.2	XM_713978.2	251	517	41.0	19.0
3	rna-XM_713978.2	XM_713978.2	263	505	32.0	19.0
4	rna-XM_713957.1	XM_713957.1	0	1203	38.0	19.0
5	rna-XM_713957.1	XM_713957.1	47	1156	24.0	19.0
6	rna-XM_713957.1	XM_713957.1	50	1153	23.0	19.0
7	rna-XM_713957.1	XM_713957.1	78	1125	21.0	19.0
8	rna-XM_713957.1	XM_713957.1	94	1109	20.0	19.0
9	rna-XM_713954.1	XM_713954.1	91	512	122.0	19.0
10	rna-XM_713954.1	XM_713954.1	127	476	23.0	19.0
11	rna-XM_019475060.1	XM_019475060.1	2611	1625	45.0	19.0
12	rna-XM_019475067.1	XM_019475067.1	339	450	28.0	19.0
13	rna-XM_019475067.1	XM_019475067.1	364	425	25.0	19.0
14	rna-XM_707863.2	XM_707863.2	308	3517	69.0	19.0
15	rna-XM_716341.2	XM_716341.2	36	627	24.0	19.0
16	rna-XM_716341.2	XM_716341.2	147	516	83.0	19.0
17	rna-XM_716341.2	XM_716341.2	307	356	21.0	19.0
18	rna-XM_716371.1	XM_716371.1	216	837	76.0	19.0
19	rna-XM_716399.1	XM_716399.1	428	181	38.0	19.0
20	rna-XM_716399.1	XM_716399.1	475	134	23.0	19.0
21	rna-XM_716399.1	XM_716399.1	522	87	40.0	19.0
22	rna-XM_716419.1	XM_716419.1	113	682	24.0	19.0
23	rna-XM_716442.2	XM_716442.2	529	1361	20.0	19.0
24	rna-XM_716442.2	XM_716442.2	582	1308	87.0	19.0
25	rna-XM_716442.2	XM_716442.2	626	1264	24.0	19.0
26	rna-XM_716442.2	XM_716442.2	1470	420	24.0	19.0
27	rna-XM_716442.2	XM_716442.2	1833	57	25.0	19.0
28	rna-XM_716447.2	XM_716447.2	619	206	32.0	19.0
29	rna-XM_708542.1	XM_708542.1	178	1103	563.0	19.0
