	count	period	signal
0	0		
1	0		
2	0		
3	0		
4	3	3.497354497354497	2.9975182413286268
5	0		
6	0		
7	13		
8	0		
9	0		
10	0		
11	25	1042.5	18.22003037765773
12	40		
13	72		
14	83		
15	1	4.078431372549019	1.0000000000000002
16	167		
17	167		
18	1	3.4716981132075473	1.0000000000000002
19	391		
20	144		
21	9		
22	327		
23	246		
24	78		
25	88		
26	1	3.992481203007519	1.0000000000000002
27	218	690.0	134.34094707734675
28	18	3.244186046511628	11.31200956163372
29	0		
30	63	2.507042253521127	21.98247318422124
31	466		
32	449		
33	3	2.0034602076124566	3.0
34	1106		
35	826		
36	486		
37	270		
38	2650		
39	8		
40	0		
41	29	62.8125	18.183054006528973
42	1526		
43	7771		
44	7		
45	223		
46	77		
47	246		
48	236		
49	0		
50	164	828.0	72.78274941775511
51	51	5.0	20.383896818301782
52	953	1539.0	355.9104115498791
53	31		
54	112		
55	398		
56	657		
57	2459		
58	756	1127.25	321.64942173315217
59	728		
60	190		
61	505		
62	146		
63	12	4.81875	9.24328656842691
64	1267	1199.0	565.9364280838657
65	0		
66	563		
67	0		
68	2	13.578947368421053	1.9999627879204622
69	220		
70	187		
71	135		
72	590		
73	733	462.0	217.49698228384815
74	641		
75	45		
76	278		
77	108		
78	238		
79	4200		
80	5	38.59090909090909	4.8435818315901535
81	6191		
82	234		
83	356		
84	393	607.0	116.23964107880781
85	222		
86	318		
87	231		
88	198	343.0	77.8467723613417
89	1040		
90	339		
91	129		
92	129		
93	12	66.75	11.560994951044112
94	2	2.005434782608696	2.0
95	11	5.571428571428571	8.207407816883665
96	93		
97	52	2.162291169451074	21.15109826507678
98	100		
99	1	5.838709677419355	1.0000000000000007
100	44		
101	102		
102	19		
103	2	3.710526315789474	1.9998750078950545
104	772		
105	2	2.533980582524272	1.9999636400746525
106	11	7.0394736842105265	8.54924873658579
107	1	4.98	1.0000000000000002
108	0		
109	1	2.8959537572254335	1.0000000000000002
110	7	116.14285714285714	6.443228112996986
111	11	2.4535714285714287	7.776322014536574
112	4	17.06896551724138	3.966376779794441
113	0		
114	319	535.0	91.44748905977897
115	1	26.660377358490567	1.0000000000000007
116	1	2.0705521472392636	1.0000000000000007
117	28		
118	1	27.36	1.0000000000000007
119	0		
120	0		
121	2	2.003731343283582	2.0
122	12		
123	0		
124	0		
125	137	31.68	39.68230142968545
126	127		
127	960	1219.0	237.12730634094464
128	212		
129	654		
130	197		
131	212	3.0	41.46829952893508
132	4	13.375	3.941699186383697
133	0		
134	175		
135	42		
136	1145		
137	29	127.5	28.840159191974138
138	73		
139	3	3.216867469879518	2.9894017174086183
140	694		
141	1644		
142	62		
143	694		
144	96	245.0	33.309539894025015
145	118		
146	241		
147	760		
148	476		
149	929	786.0	466.0046282036764
150	250		
151	40		
152	53		
153	750		
154	107	609.0	57.461936141540306
155	1065	785.0	376.55992664532295
156	63	2.3922413793103448	19.898333294735128
157	1	2.0031645569620253	1.0
158	1394		
159	171		
160	81		
161	0		
162	686	268.0	407.5773521798491
163	180		
164	243		
165	3	2.1794871794871793	2.978856744009491
166	0		
167	193	3.0	48.514532224436024
168	74	3.0	24.93982491357046
169	172		
170	390		
171	324		
172	0		
173	46	2.002028397565923	22.0
174	210	1179.0	94.51765806021446
175	1	3.3257142857142856	1.0000000000000002
176	800		
177	338		
178	152	177.0	53.62225884754529
179	85		
180	899		
181	209		
182	142		
183	181		
184	1100		
185	4	2.3801652892561984	3.9483893819985636
186	1542		
187	760		
188	334		
189	3	103.0	2.9807078624624297
190	1	2.00390625	1.0
191	2885		
192	465		
193	145		
194	1	8.382352941176471	1.0000000000000004
195	14		
196	283		
197	656		
198	201		
199	10	5.602941176470588	6.599496192457725
200	614	388.2	182.75471885471066
201	120		
202	311		
203	285		
204	228		
205	462		
206	869		
207	166		
208	336	112.25	98.43004944365151
209	142		
210	148		
211	24	4.418181818181818	14.19652913994948
212	70		
213	246		
214	4147		
215	82		
216	117		
217	1638		
218	531	936.0	253.4010088123959
219	1659		
220	99		
221	217		
222	66		
223	80		
224	1185		
225	373		
226	76		
227	522		
228	87		
229	0		
230	685		
231	326		
232	328		
233	43		
234	369		
235	1282		
236	370		
237	0		
238	190		
239	1820		
240	771		
241	465		
